month,name,value,Color,Size,Line,date_popup
2026-04-01,Inflation risk,0.172413793103448,Value,20,,2026-04-01
2026-04-01,3mm,0.115331719061104,Line,1,Average,2026-04-01
2026-03-01,Inflation risk,0.0957556935817805,Value,20,,2026-03-01
2026-03-01,3mm,0.0783682671932883,Line,1,Average,2026-03-01
2026-02-01,Inflation risk,0.0778256704980843,Value,20,,2026-02-01
2026-02-01,3mm,0.0707260798835818,Line,1,Average,2026-02-01
2026-01-01,Inflation risk,0.0615234375,Value,20,,2026-01-01
2026-01-01,3mm,0.0643970272111859,Line,1,Average,2026-01-01
2025-12-01,Inflation risk,0.0728291316526611,Value,20,,2025-12-01
2025-12-01,3mm,0.0695421277076316,Line,1,Average,2025-12-01
2025-11-01,Inflation risk,0.0588385124808966,Value,20,,2025-11-01
2025-11-01,3mm,0.0801634640881525,Line,1,Average,2025-11-01
2025-10-01,Inflation risk,0.076958738989337,Value,20,,2025-10-01
2025-10-01,3mm,0.0863565841716702,Line,1,Average,2025-10-01
2025-09-01,Inflation risk,0.104693140794224,Value,20,,2025-09-01
2025-09-01,3mm,0.103149618913651,Line,1,Average,2025-09-01
2025-08-01,Inflation risk,0.0774178727314496,Value,20,,2025-08-01
2025-08-01,3mm,0.110735565446296,Line,1,Average,2025-08-01
2025-07-01,Inflation risk,0.127337843215281,Value,20,,2025-07-01
2025-07-01,3mm,0.127576556857121,Line,1,Average,2025-07-01
2025-06-01,Inflation risk,0.127450980392157,Value,20,,2025-06-01
2025-06-01,3mm,0.147767971756057,Line,1,Average,2025-06-01
2025-05-01,Inflation risk,0.127940846963926,Value,20,,2025-05-01
2025-05-01,3mm,0.144299054523576,Line,1,Average,2025-05-01
2025-04-01,Inflation risk,0.187912087912088,Value,20,,2025-04-01
2025-04-01,3mm,0.142013798918256,Line,1,Average,2025-04-01
2025-03-01,Inflation risk,0.117044228694714,Value,20,,2025-03-01
2025-03-01,3mm,0.123342759947872,Line,1,Average,2025-03-01
2025-02-01,Inflation risk,0.121085080147965,Value,20,,2025-02-01
2025-02-01,3mm,0.109969042690659,Line,1,Average,2025-02-01
2025-01-01,Inflation risk,0.131898971000935,Value,20,,2025-01-01
2025-01-01,3mm,0.0916369628869135,Line,1,Average,2025-01-01
2024-12-01,Inflation risk,0.0769230769230769,Value,20,,2024-12-01
2024-12-01,3mm,0.0773649623640398,Line,1,Average,2024-12-01
2024-11-01,Inflation risk,0.0660888407367281,Value,20,,2024-11-01
2024-11-01,3mm,0.0827470390332452,Line,1,Average,2024-11-01
2024-10-01,Inflation risk,0.0890829694323144,Value,20,,2024-10-01
2024-10-01,3mm,0.0894764834253503,Line,1,Average,2024-10-01
2024-09-01,Inflation risk,0.0930693069306931,Value,20,,2024-09-01
2024-09-01,3mm,0.0935296675676391,Line,1,Average,2024-09-01
2024-08-01,Inflation risk,0.0862771739130435,Value,20,,2024-08-01
2024-08-01,3mm,0.0901308746496733,Line,1,Average,2024-08-01
2024-07-01,Inflation risk,0.101242521859181,Value,20,,2024-07-01
2024-07-01,3mm,0.0904556373414269,Line,1,Average,2024-07-01
2024-06-01,Inflation risk,0.0828729281767956,Value,20,,2024-06-01
2024-06-01,3mm,0.101215705812609,Line,1,Average,2024-06-01
2024-05-01,Inflation risk,0.0872514619883041,Value,20,,2024-05-01
2024-05-01,3mm,0.113606285681464,Line,1,Average,2024-05-01
2024-04-01,Inflation risk,0.133522727272727,Value,20,,2024-04-01
2024-04-01,3mm,0.126542063092106,Line,1,Average,2024-04-01
2024-03-01,Inflation risk,0.120044667783361,Value,20,,2024-03-01
2024-03-01,3mm,0.116632701620244,Line,1,Average,2024-03-01
2024-02-01,Inflation risk,0.126058794220229,Value,20,,2024-02-01
2024-02-01,3mm,0.10225883800015,Line,1,Average,2024-02-01
2024-01-01,Inflation risk,0.103794642857143,Value,20,,2024-01-01
2024-01-01,3mm,0.0957705570644031,Line,1,Average,2024-01-01
2023-12-01,Inflation risk,0.0769230769230769,Value,20,,2023-12-01
2023-12-01,3mm,0.11795700354565,Line,1,Average,2023-12-01
2023-11-01,Inflation risk,0.10659395141299,Value,20,,2023-11-01
2023-11-01,3mm,0.142930583833764,Line,1,Average,2023-11-01
2023-10-01,Inflation risk,0.170353982300885,Value,20,,2023-10-01
2023-10-01,3mm,0.154516439665723,Line,1,Average,2023-10-01
2023-09-01,Inflation risk,0.151843817787419,Value,20,,2023-09-01
2023-09-01,3mm,0.166293363739416,Line,1,Average,2023-09-01
2023-08-01,Inflation risk,0.141351518908865,Value,20,,2023-08-01
2023-08-01,3mm,0.158805442446395,Line,1,Average,2023-08-01
2023-07-01,Inflation risk,0.205684754521964,Value,20,,2023-07-01
2023-07-01,3mm,0.159000097433762,Line,1,Average,2023-07-01
2023-06-01,Inflation risk,0.129380053908356,Value,20,,2023-06-01
2023-06-01,3mm,0.158331913608336,Line,1,Average,2023-06-01
2023-05-01,Inflation risk,0.141935483870968,Value,20,,2023-05-01
2023-05-01,3mm,0.186977000743989,Line,1,Average,2023-05-01
2023-04-01,Inflation risk,0.203680203045685,Value,20,,2023-04-01
2023-04-01,3mm,0.229170537874674,Line,1,Average,2023-04-01
2023-03-01,Inflation risk,0.215315315315315,Value,20,,2023-03-01
2023-03-01,3mm,0.253760411160901,Line,1,Average,2023-03-01
2023-02-01,Inflation risk,0.26851609526302,Value,20,,2023-02-01
2023-02-01,3mm,0.267022652994572,Line,1,Average,2023-02-01
2023-01-01,Inflation risk,0.277449822904368,Value,20,,2023-01-01
2023-01-01,3mm,0.253563220613877,Line,1,Average,2023-01-01
2022-12-01,Inflation risk,0.255102040816327,Value,20,,2022-12-01
2022-12-01,3mm,0.285363320595795,Line,1,Average,2022-12-01
2022-11-01,Inflation risk,0.228137798120935,Value,20,,2022-11-01
2022-11-01,3mm,0.304205275982601,Line,1,Average,2022-11-01
2022-10-01,Inflation risk,0.372850122850123,Value,20,,2022-10-01
2022-10-01,3mm,0.32485886537837,Line,1,Average,2022-10-01
2022-09-01,Inflation risk,0.311627906976744,Value,20,,2022-09-01
2022-09-01,3mm,0.349573112569682,Line,1,Average,2022-09-01
2022-08-01,Inflation risk,0.290098566308244,Value,20,,2022-08-01
2022-08-01,3mm,0.344431320792623,Line,1,Average,2022-08-01
2022-07-01,Inflation risk,0.446992864424057,Value,20,,2022-07-01
2022-07-01,3mm,0.335859869699544,Line,1,Average,2022-07-01
2022-06-01,Inflation risk,0.29620253164557,Value,20,,2022-06-01
2022-06-01,3mm,0.316890125564564,Line,1,Average,2022-06-01
2022-05-01,Inflation risk,0.264384213029006,Value,20,,2022-05-01
2022-05-01,3mm,0.296307337878009,Line,1,Average,2022-05-01
2022-04-01,Inflation risk,0.390083632019116,Value,20,,2022-04-01
