date,ref_area,Negotiated wages,Unit labour costs,Compensation per employee,Wages & salaries,Indeed wage growth
2025-12-01,Eurozone,NA,NA,NA,NA,2.4646076999999997
2025-11-01,Eurozone,NA,NA,NA,NA,2.6432371
2025-10-01,Eurozone,NA,NA,NA,NA,2.7153503999999997
2025-09-01,Eurozone,1.87,3.999499787541266,4.0408798584671155,4.486098318262429,2.7701091
2025-08-01,Eurozone,NA,NA,NA,NA,2.5848923999999998
2025-07-01,Eurozone,NA,NA,NA,NA,2.5415436
2025-06-01,Eurozone,4,3.95759047282651,3.982003951529959,4.42996045940911,2.705737
2025-05-01,Eurozone,NA,NA,NA,NA,2.8972636
2025-04-01,Eurozone,NA,NA,NA,NA,2.9048422
2025-03-01,Eurozone,2.48,4.071245926959714,3.919774955504728,4.551419520801696,2.6871289
2025-02-01,Eurozone,NA,NA,NA,NA,2.7631794000000003
2025-01-01,Eurozone,NA,NA,NA,NA,3.1167163
2024-12-01,Eurozone,4.11,3.703075387012185,4.080606913777981,4.842443471044497,3.4270999000000004
2024-11-01,Eurozone,NA,NA,NA,NA,3.5597032
2024-10-01,Eurozone,NA,NA,NA,NA,3.6166406999999996
2024-09-01,Eurozone,5.38,4.723756567746287,4.410367142632308,5.44355642492893,3.7951233
2024-08-01,Eurozone,NA,NA,NA,NA,3.7383633
2024-07-01,Eurozone,NA,NA,NA,NA,3.5170076000000003
2024-06-01,Eurozone,3.6,5.053148586815888,4.6986232803179995,5.641857764726151,3.3776777
2024-05-01,Eurozone,NA,NA,NA,NA,3.4541337999999997
2024-04-01,Eurozone,NA,NA,NA,NA,3.787344
2024-03-01,Eurozone,4.83,5.3583494556716484,4.641389153615397,5.812207286549709,3.8550936
2024-02-01,Eurozone,NA,NA,NA,NA,3.7047718
2024-01-01,Eurozone,NA,NA,NA,NA,3.5533028
2023-12-01,Eurozone,4.47,5.809980120775295,5.087753785173379,6.704813697634739,3.6042286999999997
2023-11-01,Eurozone,NA,NA,NA,NA,3.7290479000000003
2023-10-01,Eurozone,NA,NA,NA,NA,3.8177399000000003
2023-09-01,Eurozone,4.63,5.193686197441369,5.165581588350255,6.921413451523789,3.7904944000000005
2023-08-01,Eurozone,NA,NA,NA,NA,3.884025
2023-07-01,Eurozone,NA,NA,NA,NA,4.023433600000001
2023-06-01,Eurozone,4.34,5.489311867497749,5.498966891945757,7.502447354626762,4.2092523
2023-05-01,Eurozone,NA,NA,NA,NA,4.4306161
2023-04-01,Eurozone,NA,NA,NA,NA,4.5361794
2023-03-01,Eurozone,4.3,3.7848038847565073,5.39444122241394,7.656550962386478,4.5162562
2023-02-01,Eurozone,NA,NA,NA,NA,4.807251
2023-01-01,Eurozone,NA,NA,NA,NA,5.0610927
