date,ONS (private sector average),HMRC (median monthly pay),Indeed (average posted pay)
2025-05-01,NA,5.791019723038187,NA
2025-04-01,5.1,6.244725738396625,5.6015674
2025-03-01,5.5,5.64516129032258,5.8313486
2025-02-01,5.9,5.799573560767591,5.9919674
2025-01-01,5.9,5.99828620394173,6.1852233
2024-12-01,6.2,5.464716006884681,6.204219
2024-11-01,5.9,6.360120326600774,6.3581725
2024-10-01,5.6,7.813871817383671,6.3761345
2024-09-01,5.1,5.9392872855257375,6.2942737
2024-08-01,5.1,5.841018884497146,6.3456989
2024-07-01,5.2,5.778561976179974,6.3201966
2024-06-01,5.4,3.69244135534318,6.6457635
2024-05-01,5.6,5.817051509769095,6.5555737
2024-04-01,5.8,6.46900269541779,6.5550758
2024-03-01,5.8,6.31768953068592,6.3570133
2024-02-01,5.9,6.204710144927536,6.4117184
2024-01-01,6.1,6.381039197812215,6.365776400000001
2023-12-01,6.2,6.167199634536318,6.4006311
2023-11-01,6.6,6.255707762557078,6.4858506
2023-10-01,7.2,6.101537028411737,6.8146626
2023-09-01,7.8,5.868653935724266,7.2547889
2023-08-01,8.1,7.4563473336479476,7.450292699999999
2023-07-01,8.1,7.440758293838863,7.539815699999999
2023-06-01,8.2,9.46267237280076,7.341576
2023-05-01,7.9,8.061420345489443,7.0950633
2023-04-01,7.7,7.173808377467501,6.7128613
2023-03-01,7.2,6.74373795761079,6.338007599999999
2023-02-01,7.1,7.445255474452554,6.2255305
2023-01-01,7.1,7.02439024390244,6.2344805
2022-12-01,7.3,7.567567567567568,6.344109100000001
2022-11-01,7.3,8.630952380952381,6.3676704
2022-10-01,7,6.869089099054255,6.381914900000001
2022-09-01,6.7,6.975585450921774,6.2246206
2022-08-01,6.4,6.643180674383492,6.1681244
2022-07-01,6.1,6.619504800404244,6.2503274
2022-06-01,5.7,6.481012658227849,6.392417
2022-05-01,5.4,6.218144750254842,6.069836700000001
2022-04-01,5.2,5.807437595517065,5.317652
2022-03-01,5.3,6.570841889117044,4.5271547000000005
2022-02-01,4.9,5.818743563336766,4.0256243
2022-01-01,4.5,6.217616580310881,3.8308180999999997
2021-12-01,4.2,5.714285714285714,3.6338483999999998
2021-11-01,4.3,5.38421327757449,3.5453698
