date,Atl Fed (median hourly wages),Indeed (average posted pay)
2025-12-01,3.7,2.2913080999999997
2025-11-01,4,2.4712354999999997
2025-10-01,NA,2.5784857000000003
2025-09-01,4.3,2.6017191
2025-08-01,4.2,2.6831701
2025-07-01,4.3,2.7772940999999998
2025-06-01,4.1,2.9508478
2025-05-01,4.2,3.0206659
2025-04-01,4.3,3.1367521000000003
2025-03-01,4.4,3.2709246
2025-02-01,4.5,3.3205524
2025-01-01,4.3,3.3561017
2024-12-01,4.2,3.3713545999999996
2024-11-01,4.3,3.4071969
2024-10-01,4.6,3.3716475000000004
2024-09-01,4.7,3.3211233
2024-08-01,4.7,3.2409399999999997
2024-07-01,4.6,3.1399299
2024-06-01,5.4,3.0214209999999997
2024-05-01,5.3,3.0005942
2024-04-01,5.4,3.0005942
2024-03-01,4.8,3.030303
2024-02-01,5.1,3.1313131000000003
2024-01-01,5.2,3.3087120999999997
2023-12-01,5.2,3.533179
2023-11-01,5.2,3.8109568000000005
2023-10-01,5.2,4.0123457
2023-09-01,5.3,4.2270531
2023-08-01,5.2,4.4641805
2023-07-01,5.7,4.7846933
2023-06-01,5.8,5.1131956999999995
2023-05-01,6.2,5.4226629
2023-04-01,6.2,5.7334633
2023-03-01,6.4,5.975887500000001
2023-02-01,6.2,6.1237373999999996
2023-01-01,6,6.1868687
2022-12-01,6.1,6.3741722
2022-11-01,6.5,6.513061100000001
2022-10-01,6.7,6.874172000000001
2022-09-01,6.7,7.230769
2022-08-01,6.9,7.622925899999999
2022-07-01,7,7.910722100000001
2022-06-01,7.1,8.3769226
2022-05-01,6.6,8.8875435
2022-04-01,6.6,9.185606100000001
2022-03-01,6.6,9.3299062
2022-02-01,6.5,9.2750816
2022-01-01,5.8,9.3894327
2021-12-01,5,9.3398295
2021-11-01,4.6,9.2029867
2021-10-01,4.4,8.9154751
2021-09-01,4.7,8.6476179
2021-08-01,4.4,8.4635024
2021-07-01,4.2,8.273026699999999
2021-06-01,3.4,7.1702698
2021-05-01,3.3,5.9714402
2021-04-01,3.4,4.8920751
2021-03-01,3.7,4.4710225
2021-02-01,3.6,4.1552028
2021-01-01,3.6,3.7173264999999995
2020-12-01,3.7,3.5075887
2020-11-01,3.9,3.2831218000000004
2020-10-01,3.6,3.072787
2020-09-01,3.3,2.6584114
2020-08-01,3.4,2.2038659
2020-07-01,3.9,1.8854174000000001
2020-06-01,3.9,2.3457882
2020-05-01,3.6,2.8318993
2020-04-01,3.3,3.0112565
2020-03-01,3.6,2.7182090999999997
2020-02-01,3.9,2.4701931999999998
2020-01-01,4.3,2.7011218
2019-12-01,4.1,2.7769596
2019-11-01,4.3,2.9092347000000003
2019-10-01,3.7,3.0277322
2019-09-01,3.7,3.1318638
2019-08-01,3.8,3.3553632
2019-07-01,4.1,3.3553632
2019-06-01,4.3,3.4893267999999997
2019-05-01,4.1,3.6219525000000004
2019-04-01,3.9,3.6773464999999996
2019-03-01,3.8,3.7063825
2019-02-01,3.7,NA
2019-01-01,3.9,NA
