date,Period,Personal consumption expenditures (PCE),PCE excluding food and energy,FT core
2024-07-01,One year,2.4964070015701156,2.620420339892074,2.42561956791407
2024-06-01,One year,2.467123048385884,2.578258060727087,2.4862611300031023
2024-05-01,One year,2.5762372937843683,2.587742889800316,2.492515105419101
2024-04-01,One year,2.677387337042191,2.7789484331012604,2.6929843227571144
2024-03-01,One year,2.7206559022839416,2.8322863737434445,2.8348866402488566
2024-02-01,One year,2.496942690097674,2.834166079926714,2.951561094456167
2024-01-01,One year,2.482963759652468,2.938847787776367,2.9321306998593792
2023-12-01,One year,2.6193936526176986,2.9409248040524454,2.940197851941469
2023-11-01,One year,2.702702702702709,3.182524888976694,3.112261009215025
2023-10-01,One year,2.9420749817552307,3.383669144693202,3.3466146995316794
2023-09-01,One year,3.369589307329051,3.5924831008073506,3.585506784525216
2023-08-01,One year,3.3475917529301022,3.726184893798083,3.7168156257501503
2023-07-01,One year,3.3147084824608917,4.189149073637512,3.937180027346759
2023-06-01,One year,3.1984205330700877,4.280077342362438,4.1744454236097575
2023-05-01,One year,3.9620255357483134,4.687829942985842,4.498452005928748
2023-04-01,One year,4.446419081967783,4.762998022040117,4.8007576456210455
2023-03-01,One year,4.4422697167223,4.782955350815025,4.924515590354295
2023-02-01,One year,5.189610206527103,4.8445337792166105,5.0910275742565245
2023-01-01,One year,5.479087823166032,4.90118153483429,5.341184109908235
2022-12-01,One year,5.441910192444765,4.865136478653336,5.237228108452388
2022-11-01,One year,5.928570147272499,5.090360901984145,5.54876512664502
2022-10-01,One year,6.347917117897617,5.325857172668467,5.685210658547189
2022-09-01,One year,6.556096497602083,5.472083439699509,5.742105789472639
2022-08-01,One year,6.515400036449797,5.20747684043195,5.584787605574586
2022-07-01,One year,6.616947291361634,4.96151026392962,5.272275449514744
2022-06-01,One year,7.116914164865992,5.192582025677599,5.324469482747197
2022-05-01,One year,6.689955363331397,5.074560633095125,5.136546852392603
2022-04-01,One year,6.619791569913243,5.254939866535318,5.138315124591323
2022-03-01,One year,6.8929445388825545,5.549581560615272,5.301380932418732
2022-02-01,One year,6.547004374683153,5.574700231927072,5.263506229788013
2022-01-01,One year,6.29704649300485,5.3694938221649275,5.0437470195470855
2021-12-01,One year,6.18029080382567,5.238009801792272,4.9399869280964115
2021-11-01,One year,5.985912145783622,4.951114142792177,4.67025721496705
2021-10-01,One year,5.406947985236494,4.500805916374325,4.341117811550676
2021-09-01,One year,4.805422283146753,4.074390359616659,3.9589054682363454
2021-08-01,One year,4.644842613164991,4.018854118161343,3.7361334087669222
2021-07-01,One year,4.533149673333912,4.009989229170845,3.7750492426861246
2021-06-01,One year,4.372402806168963,3.9492188621121818,3.6799846775293066
2021-05-01,One year,4.155356627201842,3.6439768502548744,3.441744156455435
2021-04-01,One year,3.724613665266484,3.2205454876867137,3.078412884535404
2021-03-01,One year,2.713022122450549,2.255560017593172,2.473050765144518
2021-02-01,One year,1.8852043500301323,1.7532293816402904,1.9714306609826515
2021-01-01,One year,1.6150031591644465,1.7152428810720284,2.011777514124363
2020-12-01,One year,1.3664870255652914,1.5535246789861856,1.8525769513509576
2020-11-01,One year,1.153879438829969,1.4279399611784869,1.7112814285733746
2020-10-01,One year,1.11868873904637,1.3666769183453762,1.839693441678307
2020-09-01,One year,1.2471808315823938,1.444811288971888,1.8522556668516696
2020-08-01,One year,1.1653370119910076,1.3659438787796978,1.6748141220369124
2020-07-01,One year,0.9005096131572781,1.163867085800237,1.3773584922545492
2020-06-01,One year,0.7055253264262764,0.9084239182901188,1.4744160335574648
2020-05-01,One year,0.44862993831338216,0.9508517038914347,1.4333154985509222
2020-04-01,One year,0.4111404552534187,0.9324709026473206,1.412458850671043
2020-03-01,One year,1.1469492314857963,1.491523450009211,1.5657919622474303
2020-02-01,One year,1.642005794170838,1.6559989898891774,1.8563912199675099
2020-01-01,One year,1.697918492123761,1.55232411205505,1.736244882684424
2019-12-01,One year,1.539420258809557,1.5028957998734578,1.678627631975326
2019-11-01,One year,1.331969209782719,1.4723663169390433,1.7784914183602096
2019-10-01,One year,1.331448901018568,1.643123693413831,1.7939270834261727
2019-09-01,One year,1.3044582007069054,1.647668900738709,1.823383271856034
2019-08-01,One year,1.4216108328115244,1.7595279171894622,1.9961517523236418
2019-07-01,One year,1.4402224463221003,1.6665686332176566,1.7550073129996098
2019-06-01,One year,1.4113634358858733,1.6825035338463943,1.8436530273247131
2019-05-01,One year,1.456724968364053,1.5730005895067785,1.8351305019305197
2019-04-01,One year,1.5771475738458713,1.6456368969114752,1.7545952382702292
2019-03-01,One year,1.5090027973681066,1.607193918299342,1.7226340217986
2019-02-01,One year,1.4258105229943974,1.7401529674499594,1.760940972969256
2019-01-01,One year,1.4970503661103376,1.8523468670488135,1.9751578059410433
2018-12-01,One year,1.8646908878110668,2.0380799141861012,2.104070480166581
2018-11-01,One year,1.9418922274646124,2.010245188242901,2.0228743640076967
2018-10-01,One year,2.053098049357902,1.8709073900841862,1.9040179261945722
2018-09-01,One year,2.0099601593625502,1.9602952913008815,2.04230383527264
2018-08-01,One year,2.18041128895198,1.8957629996604113,2.0179063849797436
2018-07-01,One year,2.3386070559001264,1.9958004199579993,2.1195080987095043
2018-06-01,One year,2.2683078403464014,1.936219818485648,2.0012030491177186
2018-05-01,One year,2.2662065367869832,1.9809023776840413,2.054820867736576
2018-04-01,One year,2.0466282276259826,1.8842192874261754,1.9755511978256948
2018-03-01,One year,1.99829205807003,1.909183171052755,1.9170837281923354
2018-02-01,One year,1.8376076958608625,1.644218117535969,1.6613147451287769
2018-01-01,One year,1.7576494957315711,1.6320370277204808,1.711515660002608
2017-12-01,One year,1.7664099484208293,1.5768765133171936,1.614807365167497
2017-11-01,One year,1.7937129048240168,1.54537649613656,1.4948590286937427
2017-10-01,One year,1.6820407007323006,1.5410111053849553,1.6448719781482555
2017-09-01,One year,1.7574443070561379,1.4225873687192583,1.505552223252206
2017-08-01,One year,1.571908731810845,1.4335937104241938,1.459151210889841
2017-07-01,One year,1.485631774826624,1.5031107592688537,1.471957290482902
2017-06-01,One year,1.4655479277904933,1.5764438029801007,1.4478730041470875
2017-05-01,One year,1.5577720497590457,1.5455211428106215,1.5136763884351232
2017-04-01,One year,1.767473186860285,1.6368213459441223,1.6226191504018925
2017-03-01,One year,1.9063610209576798,1.6786546242183995,1.656182374581819
2017-02-01,One year,2.1971368464261944,1.8672751084554338,1.7826142674713839
2017-01-01,One year,2.0052104701731337,1.863334939067525,1.7490678034706468
2016-12-01,One year,1.6571581021178734,1.7700932276479564,1.7092382336109906
2016-11-01,One year,1.3974040886628796,1.7188591624542824,1.4646027385974354
2016-10-01,One year,1.4270032930845133,1.782408359731769,1.4492249210065302
2016-09-01,One year,1.2197749212634703,1.6852545372237595,1.4342863693987875
2016-08-01,One year,0.8882104659263251,1.6969584569732996,1.4658274761702383
2016-07-01,One year,0.7550842682239586,1.5993318072140095,1.3957122926857277
2016-06-01,One year,0.8296074490340021,1.5524039553270892,1.2902479458728644
2016-05-01,One year,0.8486853596638215,1.568732819378708,1.3228646990465218
2016-04-01,One year,0.925906853152616,1.5199486797450628,1.3415615420786318
2016-03-01,One year,0.6855104733630281,1.4574479112677579,1.2892446748778807
2016-02-01,One year,0.6403304931577488,1.4658859681906962,1.3143055756843016
2016-01-01,One year,0.8711486332691858,1.4062402560957807,1.3459992498642066
2015-12-01,One year,0.3459637561779227,1.1917006929942189,1.1459765586136488
2015-11-01,One year,0.2538775426298423,1.1967020513406974,1.1500641610240083
2015-10-01,One year,0.09549823379610975,1.1779886779886684,1.2017373511910665
2015-09-01,One year,0.06569964994406,1.2321248164311005,1.2571569612755376
2015-08-01,One year,0.23927130079379522,1.2212546279397112,1.2084230169350376
2015-07-01,One year,0.21973282952223372,1.1789500041732697,1.2022207918427466
2015-06-01,One year,0.27042867572209106,1.2541543864049693,1.384158809754222
2015-05-01,One year,0.18528621573490955,1.2472011216439693,1.3546491276006327
2015-04-01,One year,0.11032406404982041,1.2943728841981694,1.3382072764713926
2015-03-01,One year,0.19934927438929698,1.2808398950131221,1.3164202679723211
2015-02-01,One year,0.1707014276846744,1.2774816263445137,1.3967647633961116
2015-01-01,One year,0.041401867224203574,1.2097113523521057,1.3326355786052635
2014-12-01,One year,0.7322588005891293,1.3563462895293823,1.4212928018164785
2014-11-01,One year,1.0857594081831992,1.3925785367910584,1.4260271307990948
2014-10-01,One year,1.3329448612426313,1.4709143321753277,1.4913212765025023
2014-09-01,One year,1.4972493123280795,1.554848058555365,1.5586515924324864
2014-08-01,One year,1.5062438759980896,1.539748599506526,1.554425836192721
2014-07-01,One year,1.6692416903290503,1.6103213221808834,1.5137060775475002
2014-06-01,One year,1.6514586142380798,1.563544884246727,1.4976305255772364
2014-05-01,One year,1.7661662878034037,1.6236562569778952,1.6396639139842786
2014-04-01,One year,1.673113815768772,1.5712658483877484,1.672078432399656
2014-03-01,One year,1.389703418230561,1.4474230756941502,1.500512136821131
2014-02-01,One year,1.0939820528374424,1.3901177975587524,1.3512124194634096
2014-01-01,One year,1.405405405405404,1.4524615006990065,1.2945542456905303
2013-12-01,One year,1.3881001955959447,1.5473618923369792,1.4332325290590209
2013-11-01,One year,1.1954704602088135,1.5142597249719154,1.3211369804331872
2013-10-01,One year,0.9761069199571183,1.454818147731538,1.5315146690894887
2013-09-01,One year,1.1412854478201748,1.5292260440941232,1.5443155186656292
2013-08-01,One year,1.4047883304265034,1.5332509004892232,1.5884258365293245
2013-07-01,One year,1.595112845749199,1.4879607514040363,1.6567420589364938
2013-06-01,One year,1.5055063976064642,1.463651050080785,1.5369707806101278
2013-05-01,One year,1.229030137218714,1.392916823890897,1.5620258220004275
2013-04-01,One year,1.0412253198881494,1.3770626261318097,1.5319360575549217
2013-03-01,One year,1.2769929150226904,1.480744911965937,1.55722738662595
2013-02-01,One year,1.6046076681118817,1.5601316530249907,1.698869971389653
2013-01-01,One year,1.4708075063369332,1.5915867078657813,1.6624753528365581
2012-12-01,One year,1.6243828413875605,1.6898651587646827,1.8446804524302824
2012-11-01,One year,1.6991017964071844,1.7830690135935714,1.9648440752728762
2012-10-01,One year,1.9768774978838444,1.8894492108193008,2.0173966862887127
2012-09-01,One year,1.6779710051753538,1.6916020530741582,1.8650643729538854
2012-08-01,One year,1.5118674621228445,1.6359225422913843,1.83871800867379
2012-07-01,One year,1.4100261354958676,1.7738650548584245,1.844105997839061
2012-06-01,One year,1.5460196726963253,1.8192584794552005,1.9415867463403842
2012-05-01,One year,1.5769404769598796,1.8267446838875427,1.9525137381013906
2012-04-01,One year,1.9998487418563686,1.9653370013755174,2.1216048629281907
2012-03-01,One year,2.2980274721697906,2.044845423362413,2.1982813896316418
2012-02-01,One year,2.513154024641331,2.0258477852645567,2.2549688502740937
2012-01-01,One year,2.56931244674576,2.0614792192271936,2.2305594868149474
2011-12-01,One year,2.526624884954198,1.974960911076849,2.2277277370391855
