date,Unemployment,Job vacancies,Period
2024-12-31,6.274101,2.5,2024
2024-09-30,6.30629,2.5,2024
2024-06-30,6.445249,2.6,2024
2024-03-31,6.4723560000000004,2.9,2024
2023-12-31,6.484937,2.9,2023
2023-09-30,6.576457,3,2023
2023-06-30,6.474282,3.1,2023
2023-03-31,6.555245,3.2,2023
2022-12-31,6.708017,3.2,2021-2022
2022-09-30,6.705678,3.2,2021-2022
2022-06-30,6.754179,3.3,2021-2022
2022-03-31,6.818142,3.2,2021-2022
2021-12-31,7.012967,2.9,2021-2022
2021-09-30,7.394072,2.7,2021-2022
2021-06-30,7.903904,2.4,2021-2022
2021-03-31,8.224373,2.2,2021-2022
2020-12-31,8.206413,1.9,2020
2020-09-30,8.565253,1.8,2020
2020-06-30,8.099391,1.7,2020
2020-03-31,7.185596,2.1,2020
2019-12-31,7.472449,2.3,2013-2019
2019-09-30,7.443752,2.3,2013-2019
2019-06-30,7.552827,2.3,2013-2019
2019-03-31,7.729818,2.4,2013-2019
2018-12-31,7.858233,2.3,2013-2019
2018-09-30,7.996738,2.1,2013-2019
2018-06-30,8.246607,2.1,2013-2019
2018-03-31,8.529608,2.2,2013-2019
2017-12-31,8.705638,2,2013-2019
2017-09-30,8.919621,2,2013-2019
2017-06-30,9.123893,2,2013-2019
2017-03-31,9.461715,2,2013-2019
2016-12-31,9.727729,1.7,2013-2019
2016-09-30,9.918921,1.6,2013-2019
2016-06-30,10.173756,1.7,2013-2019
2016-03-31,10.347414,1.7,2013-2019
2015-12-31,10.568044,1.6,2013-2019
2015-09-30,10.718712,1.5,2013-2019
2015-06-30,11.084384,1.5,2013-2019
2015-03-31,11.317007,1.6,2013-2019
2014-12-31,11.483239,1.5,2013-2019
2014-09-30,11.619017,1.4,2013-2019
2014-06-30,11.616918,1.4,2013-2019
2014-03-31,11.931305,1.5,2013-2019
2013-12-31,11.996073,1.4,2013-2019
2013-09-30,12.13895,1.3,2013-2019
2013-06-30,12.155946,1.3,2013-2019
2013-03-31,12.223155,1.4,2013-2019
2012-12-31,12.024293,1.4,2008-2012
2012-09-30,11.719083,1.4,2008-2012
2012-06-30,11.494195,1.5,2008-2012
2012-03-31,11.222339,1.6,2008-2012
2011-12-31,10.820389,1.5,2008-2012
2011-09-30,10.461513,1.5,2008-2012
2011-06-30,10.123501,1.5,2008-2012
2011-03-31,10.094935,1.6,2008-2012
2010-12-31,10.199725,1.4,2008-2012
2010-09-30,10.240189,1.2,2008-2012
2010-06-30,10.311707,1.2,2008-2012
2010-03-31,10.26865,1.2,2008-2012
2009-12-31,10.147368,1.2,2008-2012
2009-09-30,10.001642,1,2008-2012
2009-06-30,9.697816,1,2008-2012
2009-03-31,9.336795,1.1,2008-2012
2008-12-31,8.356903,1.2,2008-2012
2008-09-30,7.754404,1.1,2008-2012
2008-06-30,7.594505,1.1,2008-2012
2008-03-31,7.349314,1.5,2008-2012
2007-12-31,7.452195,1.4,2006-2007
2007-09-30,7.522311,1.1,2006-2007
2007-06-30,7.596527,1.2,2006-2007
2007-03-31,7.813579,1.3,2006-2007
2006-12-31,8.046109,1.1,2006-2007
2006-09-30,8.3095,1.3,2006-2007
2006-06-30,8.495192,1.2,2006-2007
2006-03-31,8.808757,1.1,2006-2007
