date,Unemployment,Job vacancies,Period,size
2001-06-01,5.030759819417534,2.4932284099710804,2000-2007,1
2001-07-01,5.046280325908875,2.4731144208769607,2000-2007,1
2001-08-01,5.077597468729997,2.4313354027188048,2000-2007,1
2001-09-01,5.09318297311624,2.432253575385242,2000-2007,1
2001-10-01,5.090188389768683,2.342654114928778,2000-2007,1
2001-11-01,5.106411519802768,2.291320795269865,2000-2007,1
2001-12-01,5.182511048396456,2.1994487983690263,2000-2007,1
2002-01-01,5.183714906623382,2.2200266183389585,2000-2007,1
2002-02-01,5.1475242704192805,2.255511686992391,2000-2007,1
2002-03-01,5.168866854092757,2.2654125918365877,2000-2007,1
2002-04-01,5.181792860286796,2.2605694494958293,2000-2007,1
2002-05-01,5.240599599418039,2.2362287887497776,2000-2007,1
2002-06-01,5.15925515181433,2.2435114625589625,2000-2007,1
2002-07-01,5.187282151245284,2.227470205216356,2000-2007,1
2002-08-01,5.219396767155736,2.230754484107639,2000-2007,1
2002-09-01,5.308407360168423,2.2178659628153103,2000-2007,1
2002-10-01,5.227358537403311,2.211388476356608,2000-2007,1
2002-11-01,5.176087121820164,2.205490561497946,2000-2007,1
2002-12-01,5.116348573052076,2.1833633434150648,2000-2007,1
2003-01-01,5.008083271737641,2.182054537009711,2000-2007,1
2003-02-01,5.127926823990219,2.162680373802611,2000-2007,1
2003-03-01,5.166501896730171,2.149296047553302,2000-2007,1
2003-04-01,5.116309963447993,2.1175925571653162,2000-2007,1
2003-05-01,5.004769540055714,2.1282530836183047,2000-2007,1
2003-06-01,4.939741580471592,2.089385801046519,2000-2007,1
2003-07-01,5.06413021660066,2.071446275128195,2000-2007,1
2003-08-01,5.057787876223573,2.0796596290407137,2000-2007,1
2003-09-01,5.0485891891032715,2.135321606305778,2000-2007,1
2003-10-01,4.950207315777351,2.1760690623793972,2000-2007,1
2003-11-01,4.910450883544224,2.196422143550302,2000-2007,1
2003-12-01,4.896167608632381,2.210722862809776,2000-2007,1
2004-01-01,4.830923038673972,2.199189686496362,2000-2007,1
2004-02-01,4.80720375612376,2.2102986303313155,2000-2007,1
2004-03-01,4.797504509660327,2.2342321749627216,2000-2007,1
2004-04-01,4.809534060881459,2.256582208525604,2000-2007,1
2004-05-01,4.798012482452467,2.2808994650055414,2000-2007,1
2004-06-01,4.8051855689120515,2.295521251817571,2000-2007,1
2004-07-01,4.761490345353865,2.3350764511909214,2000-2007,1
2004-08-01,4.700884215688558,2.340475649068652,2000-2007,1
2004-09-01,4.683710023402892,2.3367589003984386,2000-2007,1
2004-10-01,4.664609339518897,2.338203710518672,2000-2007,1
2004-11-01,4.684259590305834,2.34258121262684,2000-2007,1
2004-12-01,4.728898015652206,2.353401735559125,2000-2007,1
2005-01-01,4.7271894633455975,2.3457548207834447,2000-2007,1
2005-02-01,4.783751202649823,2.320061190108506,2000-2007,1
2005-03-01,4.689320995849359,2.2820613676067767,2000-2007,1
2005-04-01,4.704337840723776,2.2565062952977675,2000-2007,1
2005-05-01,4.751391623297015,2.276362054321019,2000-2007,1
2005-06-01,4.753556996350715,2.2745907977496573,2000-2007,1
2005-07-01,4.70178378086851,2.2383779913906254,2000-2007,1
2005-08-01,4.683323773580426,2.2025913133822566,2000-2007,1
2005-09-01,4.7321238063187,2.193575722039959,2000-2007,1
2005-10-01,4.931822242581938,2.146678897087225,2000-2007,1
2005-11-01,5.055045342239433,2.142147688993808,2000-2007,1
2005-12-01,5.1464703107414564,2.1533692520510574,2000-2007,1
2006-01-01,5.0868502184110165,2.1702830934911725,2000-2007,1
2006-02-01,5.1813045933785435,2.156056800400435,2000-2007,1
2006-03-01,5.234041704973756,2.109592337454328,2000-2007,1
