item,One month,Three months,Six months,One year,Included,Excluded
All items,0.06898577854825838,2.8211624584774553,3.405520067989287,3.2502101428971746,100,0
All items less food and energy,1.974693308876052,3.3041556307061626,3.7424054690360364,3.4110633650364286,79.79,20.209999999999994
Airline fares,-35.31049440876337,-17.528258407231633,1.8956403594841742,-5.873293282359357,0.751,99.249
Household furnishings and operations,-2.2001575958777164,-2.3234340194251857,-1.9375568292799406,-1.3108815964881586,4.506,95.494
Food,1.6723071365661202,1.0299392912978655,1.7574318220542784,2.143096847966588,13.555,86.445
Energy,-21.780481322599975,0.800491553422189,2.650390895480248,3.515819552042924,6.655,93.345
Food at home,-0.035395851435882086,-0.8321956239498607,0.5377882691167235,1.043350380243261,8.167,91.833
Food away from home,4.301077933380215,3.909778395065877,3.7618748823824655,4.025877605613047,5.388,94.612
Energy commodities,-35.02952791563027,2.09449830865851,0.06260360584018354,2.109820182816322,3.539,96.461
Fuel oil,-5.16945227083302,-3.5753337260806206,-14.501144750057083,3.646411261709264,0.084,99.916
Energy services,-1.8982840158638936,-0.7256745380956553,4.723908736028171,4.658570808791048,3.116,96.884
Electricity,0.09003102251465833,3.1724269021105034,5.980433856115441,5.893252160102867,2.428,97.572
New vehicles,-5.7548400372650965,-4.363702618014786,-2.1090364930533956,-0.7644609598853787,3.684,96.316
Used cars and trucks,7.505392214221751,-7.333087096254365,-8.09546596813795,-8.641652372065415,2.012,97.988
Services less energy services,2.663663218726864,4.727137274888027,5.450566640025367,5.20882405085734,60.899,39.101
Shelter,4.938360084941817,4.899177799952681,5.463515432319199,5.391001521941326,36.191,63.809
Transportation services,-5.863412187699701,7.767570298940507,8.991470168433246,10.278392897418549,6.294,93.706
Medical care services,4.137508569336101,5.496906942042745,5.076857482006569,3.059236427509067,6.515,93.485
Apparel,-3.994612277508236,6.2019388538828935,2.739482707794094,0.8060203224081343,2.512,97.488
Medical care commodities,16.49048291274071,7.8176211767786885,2.524700431407245,3.134436406368529,1.489,98.511
Alcoholic beverages,1.4438528727470645,1.0544852529965176,1.2166155812103785,1.686303955761708,0.854,99.146
Tobacco and smoking products,20.997956482709746,8.533980462276292,6.316952309298096,7.797798318312074,0.542,99.458
Rent of primary residence,4.792597033813273,4.696286992492871,4.841660583353358,5.305109930239,7.671,92.329
Owners' equivalent rent of residences,5.3185702772525545,5.29334294460897,5.57203853731838,5.650746322552678,26.769,73.231
Physicians' services,-0.19326150555382116,0.8505371435464815,1.7404713460100085,1.3896580748258722,1.828,98.172
Hospital services,3.5828132166892734,8.764407970347566,8.099405592567344,7.349664176762291,1.987,98.013
Motor vehicle maintenance and repair,3.3349437102807578,8.238069430102746,5.956837640662838,7.220068644197769,1.233,98.767
Motor vehicle insurance,-1.387166222222369,18.19843804764414,17.66919914775549,20.262471045694898,2.794,97.206
Other uncooked poultry including turkey,-31.86103007974127,-8.603625877892151,-7.988887060664995,0.1809932064876739,0.06,99.94
Potatoes,-10.783765709886783,-8.127248829017276,-7.048430120332949,-3.247136805863598,0.073,99.927
Alcoholic beverages at home,2.4727136630055213,-0.04362459227926774,2.1162121557281255,1.4035770861173291,0.477,99.523
Wine at home,1.1538493635180558,0.008737201359942937,2.410369196469242,0.511517373479025,0.184,99.816
"Beer, ale, and other malt beverages at home",5.702038627490058,2.905878029648812,4.31747366149946,3.0703035477565375,0.176,99.824
Butter and margarine,-12.651533180211228,-4.538409062121662,-3.992777371406475,0.0336283953831326,0.076,99.924
