date,Period,All items,FT core
2024-10-01,One year,2.5763256387160975,3.0701728694145327
2024-09-01,One year,2.4075134727031213,3.2620883273646
2024-08-01,One year,2.591226929948028,2.962434022916831
2024-07-01,One year,2.923565791719739,2.8945150996807136
2024-06-01,One year,2.9756285299816096,2.9780765356720416
2024-05-01,One year,3.2502101428971746,3.1817841826804107
2024-04-01,One year,3.3577311967053025,3.3469157402387966
2024-03-01,One year,3.475131237075133,3.408677152474856
2024-02-01,One year,3.1657429794798695,3.3843509690102684
2024-01-01,One year,3.1059809026621767,3.72664291416967
2023-12-01,One year,3.323159712461349,3.837899531262372
2023-11-01,One year,3.13948193190645,3.9486891562243835
2023-10-01,One year,3.2457874929078154,4.055304052772982
2023-09-01,One year,3.6940551594278217,4.210545672799427
2023-08-01,One year,3.718721312697109,4.575437554813746
2023-07-01,One year,3.271780511700916,4.86669831570602
2023-06-01,One year,3.0532617391422274,5.150032217347878
2023-05-01,One year,4.120689595996701,5.507933580154811
2023-04-01,One year,4.941059134795187,5.651828871426153
2023-03-01,One year,4.9350902268451495,5.806114581576299
2023-02-01,One year,5.965522694923292,5.843726361250736
2023-01-01,One year,6.362123304649601,5.839961047994329
2022-12-01,One year,6.411498247913173,5.921708341811282
2022-11-01,One year,7.119465995215209,6.077983401350227
2022-10-01,One year,7.751940788759694,6.243424680000345
2022-09-01,One year,8.198271549945783,6.450780764064181
2022-08-01,One year,8.218806476800756,6.138510738131021
2022-07-01,One year,8.44981874600173,6.113804146364823
2022-06-01,One year,8.989743741317646,6.256028701279014
2022-05-01,One year,8.532996587844375,5.974000938217465
2022-04-01,One year,8.251859404990402,5.898120252008685
2022-03-01,One year,8.547431203050081,6.031212265628364
2022-02-01,One year,7.948919315737355,5.812566039066278
2022-01-01,One year,7.569766644572949,5.7978135725968
2021-12-01,One year,7.176580599606877,5.308278382099136
2021-11-01,One year,6.862530903236934,5.080460351736868
2021-10-01,One year,6.2190440693335995,4.6578283293679625
2021-09-01,One year,5.361010344257179,4.150461336872029
2021-08-01,One year,5.175312107215287,3.9572622112172526
2021-07-01,One year,5.257577164793664,4.056389845082038
2021-06-01,One year,5.315092372103146,4.264421546030528
2021-05-01,One year,4.926362527750846,3.8193095592933366
2021-04-01,One year,4.148739292379545,3.227149276536893
2021-03-01,One year,2.6186325779585697,1.9275500449461027
2021-02-01,One year,1.672928415481838,1.523040569029718
2021-01-01,One year,1.3951009246599022,1.4877511165022381
2020-12-01,One year,1.304953021691219,1.6609282654020903
2020-11-01,One year,1.1695407536092364,1.6689850597391567
2020-10-01,One year,1.2031654060780663,1.7827440109313817
2020-09-01,One year,1.3730842725110226,1.8639732450415263
2020-08-01,One year,1.300598353356553,1.868608822328207
2020-07-01,One year,1.0187566946310127,1.7300628616587255
2020-06-01,One year,0.7017667595302846,1.5164063066545777
2020-05-01,One year,0.21621960391076275,1.4869168223283058
2020-04-01,One year,0.3498763874577238,1.5970912716980885
2020-03-01,One year,1.5231420852062871,1.8992530501612066
2020-02-01,One year,2.339737643050854,2.2329323416009155
2020-01-01,One year,2.512264363856652,2.3006321090369646
2019-12-01,One year,2.3195274699624555,2.1104020361994964
2019-11-01,One year,2.092290394862913,2.1592015823968285
2019-10-01,One year,1.7339736996186215,2.129059754925109
2019-09-01,One year,1.6844977040391538,2.0182191595000942
2019-08-01,One year,1.7376412106666417,2.129087334900298
2019-07-01,One year,1.8263313350370576,2.1004391000417453
2019-06-01,One year,1.671194894390041,2.0728033122803944
2019-05-01,One year,1.795910555360614,1.858505594111755
2019-04-01,One year,2.0005834702090506,1.9773203701446505
2019-03-01,One year,1.883186351306406,1.977129109192243
2019-02-01,One year,1.518861535132186,2.0163612990551254
2019-01-01,One year,1.4875893578291313,1.878768781398874
2018-12-01,One year,2.0023809043401015,1.9405951172787184
2018-11-01,One year,2.1473285776677837,2.0266789393470344
2018-10-01,One year,2.4920324702180574,2.0039845020415505
2018-09-01,One year,2.3320551058088284,2.007823810185277
2018-08-01,One year,2.6429238568742606,2.06196107900174
2018-07-01,One year,2.8541247855619214,2.413345082923392
2018-06-01,One year,2.807550693594029,2.362213447938082
2018-05-01,One year,2.781921607842499,2.31606035025703
2018-04-01,One year,2.4709963021052985,2.1858937467426687
2018-03-01,One year,2.3309497646499278,1.9769397715815815
2018-02-01,One year,2.263468931091857,1.796827288111854
2018-01-01,One year,2.151318868063942,1.8402503928511265
2017-12-01,One year,2.1299307195522554,1.873475787764896
2017-11-01,One year,2.172493864295564,1.8047786107696309
2017-10-01,One year,2.020757753132481,1.9461492985429092
2017-09-01,One year,2.1805652303711875,1.7226355133916322
2017-08-01,One year,1.9281215572969739,1.9469287359747207
2017-07-01,One year,1.7251073506565968,1.893788671061782
2017-06-01,One year,1.640565809959122,1.7431504648200558
2017-05-01,One year,1.8563431667619825,1.8715368412443378
2017-04-01,One year,2.176223471915387,1.9984862992918282
2017-03-01,One year,2.441196236559133,2.240365693300707
2017-02-01,One year,2.810361681329418,2.2804906865621795
2017-01-01,One year,2.510393348257119,2.1582494117179234
2016-12-01,One year,2.0507989115119822,1.9916732124623637
2016-11-01,One year,1.6843334719788983,1.7458458701618556
2016-10-01,One year,1.685924966243647,1.8954051528886535
2016-09-01,One year,1.5486446201652213,1.9059017379873713
2016-08-01,One year,1.0553158595656909,1.9081006067907818
2016-07-01,One year,0.868363343051836,1.7897518422175192
2016-06-01,One year,1.0792865347959444,1.7902172362686355
2016-05-01,One year,1.0784764621246252,1.7587153015388677
2016-04-01,One year,1.1726257503534734,1.8468539947966667
2016-03-01,One year,0.8916160965521974,1.7312374406352427
2016-02-01,One year,0.8472775790126708,1.820780946284859
2016-01-01,One year,1.2375025026943784,1.7564538491542132
2015-12-01,One year,0.638724751536489,1.6589350189094412
2015-11-01,One year,0.4363182169185097,1.6989605164242265
2015-10-01,One year,0.12761656067051227,1.7128805937153315
2015-09-01,One year,0.00884296163417366,1.682227637165783
2015-08-01,One year,0.2413037985344812,1.6693631382183072
2015-07-01,One year,0.22568611104093567,1.695727105916808
2015-06-01,One year,0.17957180975505568,1.681959597905406
2015-05-01,One year,0.03503321824428638,1.600532738569113
2015-04-01,One year,-0.1040309893939057,1.6804987378030947
2015-03-01,One year,-0.022031284423878736,1.6752191556411529
2015-02-01,One year,-0.08703146293520363,1.7319641247509658
2015-01-01,One year,-0.229930978205432,1.6973817720974753
2014-12-01,One year,0.6531213919623104,1.6777257956520428
2014-11-01,One year,1.2315249893208071,1.7427099752459874
2014-10-01,One year,1.6095417021513319,1.8503576245520568
2014-09-01,One year,1.6840509711232112,1.7319106168980083
2014-08-01,One year,1.7150983482969036,1.7262624963839213
2014-07-01,One year,1.9742378703306074,1.8635728439217654
2014-06-01,One year,2.058981694594421,1.8384232321923468
2014-05-01,One year,2.166947687079819,1.8388371927085054
2014-04-01,One year,2.0151253036061694,1.6836007043346821
2014-03-01,One year,1.6126949139408049,1.6112233287126894
2014-02-01,One year,1.1204746347724857,1.4022561932311994
2014-01-01,One year,1.5577587955749157,1.4675026557386202
2013-12-01,One year,1.5128383667573404,1.524455944498227
2013-11-01,One year,1.2328701961954427,1.5149289313419656
2013-10-01,One year,0.8767991434911396,1.4479623869217535
2013-09-01,One year,1.0947341081748048,1.56305997196539
2013-08-01,One year,1.5388094886002759,1.5704141797022202
2013-07-01,One year,1.8854718054158108,1.6556968991887122
2013-06-01,One year,1.7157935271568816,1.6254311024354684
2013-05-01,One year,1.3903888279197103,1.4646147047868756
2013-04-01,One year,1.1388080475768632,1.47616539886491
2013-03-01,One year,1.518747241124626,1.5079125298306568
2013-02-01,One year,2.018140490257481,1.6762402363610063
