date,year,jolts_openings,jolts_opening_rate,jolts_quit_rate,jolts_separations_rate,jolts_layoffs_rate,unemp_level,unemp_rate,Vacancies to unemployed,openings_mom,openings_yoy
2025-05-01,2025,7769,4.6,2.1,3.3,1,7237,4.2,1.0735111233936714,5.057471264367819,0.09018294254057313
2025-04-01,2025,7395,4.4,2,3.3,1.1,7166,4.2,1.0319564610661456,2.708333333333335,-1.5050612679808228
2025-03-01,2025,7200,4.3,2.1,3.3,1,7083,4.2,1.0165184243964422,-3.7433155080213942,-10.347403810235335
2025-02-01,2025,7480,4.5,2,3.3,1.1,7052,4.1,1.06069200226886,-3.6330842566348887,-1.7728168089297447
2025-01-01,2025,7762,4.7,2,3.3,1.1,6849,4,1.1333041319900716,3.383058071390521,9.277769956356474
2024-12-01,2024,7508,4.5,1.9,3.2,1.1,6886,4.1,1.0903282021492884,-6.512264973228743,-1.8433782193750803
2024-11-01,2024,8031,4.8,1.9,3.2,1.1,7121,4.2,1.1277910405841876,5.462902166776096,7.0229211087420085
2024-10-01,2024,7615,4.6,2,3.3,1.1,6972,4.1,1.0922260470453242,7.208221878079679,2.738801942795477
2024-09-01,2024,7103,4.3,1.9,3.3,1.2,6901,4.1,1.0292711201275178,-7.138187998431167,-10.099987343374261
2024-08-01,2024,7649,4.6,2,3.3,1.1,7071,4.2,1.0817423278178475,1.93230277185501,0.39375246095287864
2024-07-01,2024,7504,4.5,2.1,3.4,1.1,7097,4.2,1.0573481752853318,1.2412304371289817,-7.277894476708269
2024-06-01,2024,7412,4.5,2.1,3.2,0.9,6849,4.1,1.082201781281939,-6.189089988609043,-12.232089994079331
2024-05-01,2024,7901,4.8,2.1,3.4,1.1,6635,4,1.1908063300678222,3.7012731329570725,-6.6957959376476195
2024-04-01,2024,7619,4.6,2.2,3.4,1,6492,3.9,1.1735982747997535,-5.856913381935003,-11.25218404193361
2024-03-01,2024,8093,4.9,2.1,3.3,1,6497,3.9,1.245651839310451,-4.168146832445229,-6.57970679903036
2024-02-01,2024,8445,5.1,2.2,3.5,1.1,6462,3.9,1.306870937790158,-0.27161076995748656,-1.2280701754386003
2024-01-01,2024,8468,5.1,2.1,3.5,1.1,6149,3.7,1.3771344934135632,-1.3628421665696,-8.740165966160152
2023-12-01,2023,8585,5.2,2.1,3.4,1,6315,3.8,1.3594615993665875,-0.9003809303936294,-7.558953375686439
2023-11-01,2023,8663,5.2,2.3,3.5,1,6254,3.7,1.3851934761752478,1.3216374269005904,0.6623286079479485
2023-10-01,2023,8550,5.2,2.3,3.5,1,6479,3.9,1.3196480938416422,-7.85645004849661,-6.9742139049069785
2023-09-01,2023,9279,5.6,2.3,3.5,1,6326,3.8,1.466803667404363,-0.08614191881124444,-0.3329752953813103
2023-08-01,2023,9287,5.6,2.3,3.6,1.1,6284,3.7,1.4778803309993636,7.913083894956996,-7.055644515612491
2023-07-01,2023,8606,5.2,2.3,3.6,1.1,5920,3.5,1.4537162162162163,-6.364922206506362,-10.091934809862103
2023-06-01,2023,9191,5.6,2.4,3.6,1.1,5958,3.6,1.5426317556226923,-1.2781954887218006,-6.652447694495223
2023-05-01,2023,9310,5.6,2.6,3.8,1,6089,3.6,1.5289866973230415,-6.8254603682946335,-10.420475319926869
2023-04-01,2023,9992,6,2.3,3.6,1.1,5751,3.4,1.7374369674839159,4.387797743418309,-8.127988230967265
2023-03-01,2023,9572,5.8,2.5,3.8,1.2,5839,3.5,1.6393218016783695,-2.782855982124721,-9.85968546944157
2023-02-01,2023,9846,6,2.5,3.7,1,5962,3.6,1.651459241865146,-5.263157894736848,-6.121281464530892
2023-01-01,2023,10393,6.3,2.5,3.9,1.2,5747,3.5,1.808421785279276,-4.44097094520044,-3.875323714391421
2022-12-01,2022,10876,6.6,2.7,3.9,1,5766,3.5,1.8862296219216095,2.420190225068275,7.173827355143869
2022-11-01,2022,10619,6.4,2.6,3.8,0.9,5943,3.6,1.7868080094228505,1.249046529366904,-8.535745047372956
2022-10-01,2022,10488,6.4,2.6,3.7,1,5964,3.6,1.7585513078470825,-2.9966703662597127,-6.823027718550112
2022-09-01,2022,10812,6.6,2.7,3.8,0.9,5792,3.5,1.8667127071823204,6.543161214032311,-5.8434207088739925
2022-08-01,2022,10148,6.2,2.7,4,1,5919,3.6,1.7144787970941038,-12.592592592592588,-14.586314283309488
2022-07-01,2022,11610,7.1,2.6,3.8,1,5768,3.5,2.0128294036061027,3.1449893390191885,-4.318444041536185
2022-06-01,2022,11256,6.9,2.7,3.9,1,5951,3.6,1.8914468156612334,-1.9768353217800239,-3.473115513249292
2022-05-01,2022,11483,7,2.8,4,1,5983,3.6,1.9192712685943507,-3.3498863732009054,2.180103221213736
2022-04-01,2022,11881,7.3,2.9,4,0.9,6002,3.7,1.9795068310563146,-2.0850502719630737,4.064114916352812
2022-03-01,2022,12134,7.4,3,4.1,0.9,6014,3.7,2.01762554040572,4.056255895720784,9.128518751686299
2022-02-01,2022,11661,7.2,2.9,4,0.9,6301,3.8,1.8506586256149817,3.7640149492792263,2.821620668371394
2022-01-01,2022,11238,7,2.9,4.2,1,6512,4,1.7257371007371007,-1.5678374354033409,3.2999356558507165
2021-12-01,2021,11417,7.1,2.9,4.1,0.9,6398,3.9,1.7844638949671772,2.6800971310369626,4.207740051113551
2021-11-01,2021,11119,6.9,3,4.2,0.9,6751,4.2,1.6470152569989631,-1.9574993386826556,0.6335414969680597
2021-10-01,2021,11341,7.1,2.8,3.9,0.9,7279,4.5,1.5580436873196868,4.246713852376138,10.128180229170702
2021-09-01,2021,10879,6.9,2.9,4.1,1,7652,4.7,1.421719811813905,-0.7028112449799173,9.833417465926297
2021-08-01,2021,10956,6.9,2.8,4,0.9,8276,5.1,1.3238279362010634,-0.8417051316861213,17.101325352714824
2021-07-01,2021,11049,7,2.7,3.9,0.9,8731,5.4,1.2654907799793838,7.292678189939794,30.448642266824088
2021-06-01,2021,10298,6.6,2.7,3.9,0.9,9462,5.9,1.0883534136546185,3.9676930843008495,32.843137254901954
2021-05-01,2021,9905,6.4,2.6,3.8,0.9,9266,5.8,1.0689617958126485,5.867892261650276,37.49305941143808
2021-04-01,2021,9356,6.1,2.7,3.9,1,9762,6.1,0.9584101618520795,10.46044864226683,38.13671932673852
2021-03-01,2021,8470,5.5,2.5,3.8,1,9756,6.1,0.8681836818368184,9.262125902992778,24.193548387096776
