date,year,month,payroll_total,payroll_services,average_hourly_earnings,unemployment_rate,unemployment_level,unemployment_reentrants,unemployment_new_entrants,unemployment_layoffs,unemployment_job_losers,unemployment_job_quitters,unemployment_layoffs_permanent,unemployment_layoffs_temporary,unemployment_job_leavers,Monthly change,payroll_services_change,Wage change YoY,Wage change MoM
2024-08-01,2024,8,158779,136937,35.21,4.2,7115,2132,718,872,3328,845,1688,768,2456,142,132,3.8336773813034686,0.3992015968063978
2024-07-01,2024,7,158637,136805,35.07,4.3,7163,2160,650,1062,3490,855,1682,746,2427,89,69,3.634751773049638,0.2286367533580913
2024-06-01,2024,6,158548,136736,34.99,4.1,6811,2094,708,813,3176,752,1643,719,2362,118,116,3.8278931750741707,0.31536697247707135
2024-05-01,2024,5,158430,136620,34.88,4,6649,2046,630,836,3220,717,1764,620,2384,216,204,3.9952295766249257,0.374100719424475
2024-04-01,2024,4,158214,136416,34.75,3.9,6492,1929,574,871,3241,785,1756,615,2370,108,111,3.917464114832536,0.1729605073508278
2024-03-01,2024,3,158106,136305,34.69,3.8,6429,1920,678,779,3042,823,1655,607,2263,310,277,4.142900030021002,0.3761574074073959
2024-02-01,2024,2,157796,136028,34.56,3.9,6458,1946,611,827,3216,711,1730,659,2389,236,221,4.253393665158378,0.14488554042306756
2024-01-01,2024,1,157560,135807,34.51,3.7,6124,1834,550,876,3028,794,1556,595,2151,256,226,4.354399758088889,0.4950495049504733
2023-12-01,2023,12,157304,135581,34.34,3.7,6268,1741,609,917,3058,833,1543,597,2140,290,257,4.250151791135415,0.32135553607948175
2023-11-01,2023,11,157014,135324,34.23,3.7,6262,1771,582,889,3058,821,1589,580,2169,182,146,4.264392324093813,0.38123167155423854
2023-10-01,2023,10,156832,135178,34.1,3.8,6443,1869,603,904,3120,801,1636,581,2217,165,175,4.281345565749239,0.2646280505733678
2023-09-01,2023,9,156667,135003,34.01,3.8,6347,2024,586,813,2869,797,1421,636,2056,246,219,4.51751690227411,0.29489826010027365
2023-08-01,2023,8,156421,134784,33.91,3.8,6340,1931,592,813,2946,804,1545,588,2132,210,177,4.531442663378549,0.2068557919621572
2023-07-01,2023,7,156211,134607,33.84,3.5,5904,1868,534,723,2703,854,1398,582,1980,184,177,4.670584596350147,0.4154302670623222
2023-06-01,2023,6,156027,134430,33.7,3.6,5997,1776,559,781,2790,796,1443,566,2009,240,198,4.658385093167694,0.4770423375074717
2023-05-01,2023,5,155787,134232,33.54,3.7,6117,1851,527,782,2999,764,1612,605,2218,303,289,4.551122194513724,0.29904306220096544
2023-04-01,2023,4,155484,133943,33.44,3.4,5715,1778,519,760,2676,786,1426,490,1916,278,245,4.663536776212829,0.3902731912338586
2023-03-01,2023,3,155206,133698,33.31,3.5,5866,1683,506,781,2884,841,1539,565,2104,146,158,4.616834170854278,0.4826546003016796
2023-02-01,2023,2,155060,133540,33.15,3.6,5962,1844,521,807,2766,888,1403,556,1959,287,261,4.739336492891,0.2419110976715988
2023-01-01,2023,1,154773,133279,33.07,3.4,5719,1799,526,763,2568,883,1265,539,1804,482,436,4.552639898830235,0.3946569520340004
