Date,Quote,Significance,Central Banker,geo,Source..link,Stance,Position,Voter,Scale value,Active
2026-02-06T00:00:00Z,I believe it would be unadvisable to lower the rate into accommodative territory at this time.,NA,Alberto Musalem,Fed,NA,Hawkish,Board of governors,Yes,76,Yes
2026-02-06T00:00:00Z,I think that we need to keep our policy in a restrictive posture so that we get inflation back to 2%. That’s paramount.,NA,Raphael Bostic,Fed,NA,Hawkish,Board of governors,Yes,76,Yes
2026-02-06T00:00:00Z,"We’ve been in a relatively low-hiring, low-firing environment for some time. That may persist, but workers are aware that things could change quickly, leaving them in a no-hiring, more-firing labor market. With inflation printing above the FOMC’s 2 percent goal, this rightly feels precarious.",NA,Mary Daly,Fed,NA,Centrist,Board of governors,Yes,50,Yes
2026-02-06T00:00:00Z,"Until I see stronger evidence that inflation is moving sustainably back down to target, that is where my focus will be.",NA,Lisa Cook,Fed,NA,Hawkish,Board of governors,Yes,76,Yes
2026-02-06T00:00:00Z,I believe that the extent and timing of additional adjustments to our policy rate should be based on the incoming data.,NA,Philip Jefferson,Fed,NA,Centrist,Board of governors,Yes,50,Yes
2026-02-06T00:00:00Z,We can afford to take time and ‘keep policy powder dry’ for a little while in order to carefully assess how the lower degree of policy restraint is flowing through to broader financial conditions and strengthening the labor market.,"Bowman, normally a dove, suggests that she would prefer an extended hold.",Michelle Bowman,Fed,NA,Hawkish,Board of governors,Yes,76,Yes
2026-02-06T00:00:00Z,"Monetary policy is still restricting economic activity, and economic data make it clear to me further easing is needed",Waller indicates that he will continue voting for cuts.,Christopher Waller,Fed,NA,Dovish,Board of governors,Yes,25,Yes
2026-02-03T00:00:00Z,I think of these cuts as having taken out some insurance to support the labor market as we work to complete the last mile to bring inflation back to target.,NA,Thomas Barkin,Fed,NA,Centrist,Board of governors,Yes,76,Yes
2026-01-28T00:00:00Z,[We are] well-positioned [ . . . ] to let the data speak to us.,Powell suggests that the Fed will be on hold for some time.,Jerome Powell,Fed,NA,Hawkish,Board of governors,Yes,76,Yes
2026-01-16T00:00:00Z,"Absent a clear and sustained improvement in labor-market conditions, we should remain ready to adjust policy to bring it closer to neutral.",Bowman says that she sees the case for more rate reductions in the months ahead.,Michelle Bowman,Fed,NA,Dovish,Board of governors,Yes,25,Yes
2026-01-16T00:00:00Z,"The current policy stance leaves us well positioned to determine the extent and timing of additional adjustments to our policy rate based on the incoming data, the evolving outlook, and the balance of risks.",NA,Philip Jefferson,Fed,NA,Centrist,Board of governors,Yes,50,Yes
2026-01-15T00:00:00Z,"Fortunately, policy is in a good place to respond to however the economy evolves.",NA,Mary Daly,Fed,NA,Centrist,Board of governors,Yes,50,Yes
2026-01-15T00:00:00Z,"We’ve been five years fighting to get inflation on a path back to 2% and we made some progress, but we need that, and if we get that, I think rates can come down.",NA,Austan Goolsbee,Fed,NA,Dovish,Board of governors,Yes,25,Yes
2026-01-14T00:00:00Z,The substantial deregulation that has occurred in 2025 will continue over at least the next three years and be a large positive shock to productivity that will put downward pressure on prices.,NA,Stephen Miran,Fed,NA,Dove,Board of governors,Yes,0,Yes
2026-01-14T00:00:00Z,"I see inflation moderating, the labor market stabilizing and growth coming in around 2% this year. If all of that happens, then some modest further adjustments to the funds rate would likely be appropriate later in the year.","Paulson, a voter, says that she believes more rate reductions could be justified -- but not yet.",Anna Paulson,Fed,NA,Dovish,Board of governors,Yes,25,Yes
2026-01-14T00:00:00Z,I don't see any impetus to cut in January.,NA,Neel Kashkari,Fed,NA,Centrist,Board of governors,Yes,50,Yes
2026-01-13T00:00:00Z,"I think policy is really well positioned right now, balancing both the expected path of the economy and the risks on both sides.",NA,Alberto Musalem,Fed,NA,Centrist,Board of governors,Yes,50,Yes
2026-01-13T00:00:00Z,Nobody wants inflation expectations to get embedded and nobody wants the labor market to deteriorate further. And it's possible that neither one will happen.,NA,Thomas Barkin,Fed,NA,Centrist,Board of governors,Yes,50,Yes
2026-01-08T00:00:00Z,I’m looking for about a point and a half of cuts. A lot of that is driven by my view of inflation.,NA,Stephen Miran,Fed,NA,NA,NA,NA,NA,NA
2026-01-06T00:00:00Z,Current policy rate is within the range of neutral,NA,Thomas Barkin,Fed,NA,Centrist,Richmond,No,55,Yes
2026-01-06T00:00:00Z,Fed policy is restrictive nad holding the economy back,NA,Stephen Miran,Fed,NA,Dove,Board of governors,Yes,25,Yes
2026-01-06T00:00:00Z,Fed policy is restrictive and holding the economy back,NA,Stephen Miran,Fed,NA,Dove,Board of governors,Yes,25,Yes
2026-01-06T00:00:00Z,Current policy rate is within the range of neutral.,NA,Thomas Barkin,Fed,NA,Centrist,Richmond,No,55,Yes
2026-01-05T00:00:00Z,My guess is we’re pretty close to neutral right now,NA,Neel Kashkari,Fed,NA,Hawkish,Minneapolis,Yes,65,Yes
2026-01-03T00:00:00Z,"I see inflation moderating, the labor market stabilizing and growth coming in around 2 percent this year. If all of that happens, then some modest further adjustments to the funds rate would likely be appropriate later in the year",NA,Anna Paulson,Fed,NA,Centrist,Philadelphia,Yes,45,Yes
2025-12-22T00:00:00Z,See no need to change interest rates for months after the central bank cut rates at its last three meetings,NA,Beth Hammack,Fed,NA,Hawkish,Cleveland,Yes,75,Yes
2025-12-19T00:00:00Z,"No sense of urgency to need to act further on monetary policy right now, because I think the cuts we've made have positioned us really well",NA,John Williams,Fed,NA,Centrist,New York,Yes,50,Yes
2025-12-18T00:00:00Z,"My view is that the settling point of rates is a fair bit below where it is today, and that by the end of next year we can, as long as we are hitting our marks on getting inflation back on path to 2%, I think that it's realistic that rates can come down a fair amount,",NA,Austan Goolsbee,Fed,NA,Centrist,Chicago,No,60,Yes
2025-12-17T00:00:00Z,"I still think we're probably, you know, maybe we're 50 to 100 basis points off of neutral",NA,Christopher Waller,Fed,NA,Dovish,Board of governors,Yes,25,Yes
2025-12-12T00:00:00Z,I would prefer to be on a slightly more restrictive stance,NA,Beth Hammack,Fed,NA,Hawkish,Cleveland,Yes,75,Yes
2025-12-12T00:00:00Z,"I see an economy that is showing momentum and inflation that is too hot, suggesting that policy is not overly restrictive",NA,Jeffrey Schmid,Fed,NA,Hawk,Kansas City,Yes,100,Yes
2025-12-10T00:00:00Z,We are well positioned to wait to see how the economy evolves.,Powell sets up the FOMC for an extended hold.,Jerome Powell,Fed,NA,Hawkish,Chair,Yes,75,Yes
2025-11-24T00:00:00Z,"My concern is mainly labor market, in terms of our dual mandate. So I’m advocating for a rate cut at the next meeting. You may see a more of a meeting-by-meeting approach once you get to January.",Waller opens to a pause after December.,Christopher Waller,Fed,NA,Dovish,Board of governors,Yes,25,Yes
2025-11-22T00:00:00Z,"I have not made a decision, I don’t make a decision before I actually get to the meeting.",Collins softens her earlier opposition to a December rate reduction.,Susan Collins,Fed,NA,Centrist,Boston,Yes,50,Yes
2025-11-21T00:00:00Z,"I would absolutely vote for a 25-basis-point cut if my vote were the marginal vote, there's no question about that.",NA,Stephen Miran,Fed,NA,Dove,Board of governors,Yes,0,Yes
2025-11-21T00:00:00Z,"I still see room for a further adjustment in the near term to the target range for the federal funds rate to move the stance of policy closer to the range of neutral, thereby maintaining the balance between the achievement of our two goals.",Williams indicates that he supports a rate cut in December.,John Williams,Fed,NA,Dovish,President,Yes,25,Yes
2025-11-20T00:00:00Z,"Lowering interest rates to support the labor market risks prolonging this period of elevated inflation, and it could also encourage risk-taking in financial markets.",NA,Beth Hammack,Fed,NA,Hawk,Cleveland,No,100,Yes
2025-11-20T00:00:00Z,"Each rate cut brings us closer to the level where policy flips from restraining activity a bit to the place where it is providing a boost. So, I am approaching the December FOMC cautiously.",NA,Anna Paulson,Fed,NA,Hawkish,Philadelphia,No,75,Yes
2025-11-20T00:00:00Z,"We need to be careful and cautious now about monetary policy, because we want to make sure that we’re achieving both sides of our mandate.",NA,Michael Barr,Fed,NA,Hawkish,Board of governors,Yes,75,Yes
2025-11-20T00:00:00Z,"[Inflation] seems to have kind of stalled out and, if anything, given warnings of going the wrong way.",NA,Austan Goolsbee,Fed,NA,Hawkish,Chicago,Yes,75,Yes
2025-11-18T00:00:00Z,I think we have a lot to learn between now and then.,NA,Thomas Barkin,Fed,NA,Centrist,Richmond,No,50,Yes
2025-11-17T00:00:00Z,"The evolving balance of risks underscores the need to proceed slowly as we approach the neutral rate [...] I see the balance of risks in the economy as having shifted in recent months with increased downside risks to employment compared to the upside risks to inflation, which have likely declined somewhat.",NA,Philip Jefferson,Fed,NA,Hawkish,Vice chair,Yes,75,Yes
2025-11-17T00:00:00Z,I support cutting the committee’s policy rate by another 25 basis points at our December meeting.,NA,Christopher Waller,Fed,NA,Dovish,Board of governors,Yes,25,Yes
2025-11-14T00:00:00Z,"I view the current stance of monetary policy as being only modestly restrictive, which is about where I think it should be.",NA,Jeffrey Schmid,Fed,NA,Hawk,Kansas City,Yes,100,Yes
2025-11-14T00:00:00Z,"I’ve been able to get behind the last two cuts, and we’ll see what happens for this next one.",NA,Raphael Bostic,Fed,NA,Centrist,Atlanta,No,50,Yes
2025-11-14T00:00:00Z,I think it would be hard to support another rate cut unless we were to get convincing evidence that inflation is really coming down faster than my expectations or that we were seeing more than the gradual cooling that we've been seeing in the labor market.,NA,Lorie Logan,Fed,NA,Hawkish,Dallas,No,75,Yes
2025-11-13T00:00:00Z,I think we need to remain somewhat restrictive to continue putting pressure to bring inflation down towards our target.,NA,Beth Hammack,Fed,NA,Hawk,Cleveland,No,100,Yes
2025-11-13T00:00:00Z,"We need to proceed and tread with caution, because I think there’s limited room for further easing without monetary policy becoming overly accommodative.",Musalem suggests that he will vote for a December hold.,Alberto Musalem,Fed,NA,Hawkish,St. Louis,Yes,75,Yes
2025-11-13T00:00:00Z,"The anecdotal evidence and the data we got just implied to me underlying resilience in economic activity, more than I had expected.",NA,Neel Kashkari,Fed,NA,Hawk,Minneapolis,No,100,Yes
2025-11-13T00:00:00Z,"To my mind, it's premature to say definitely no cut, or definitely a cut.",NA,Mary Daly,Fed,NA,Centrist,San Francisco,No,50,Yes
2025-11-12T00:00:00Z,"Despite shifts in the labor market, the clearer and urgent risk is still price stability.",NA,Raphael Bostic,Fed,NA,Hawk,Atlanta,No,100,Yes
2025-11-12T00:00:00Z,"It's incumbent upon us to get monetary policy right, to get it out of such a restrictive state that would eliminate some of the downside risks to the economy.",Miran indicates that he will vote to cut rates again in December.,Stephen Miran,Fed,NA,Dove,Board of governors,Yes,0,Yes
2025-11-12T00:00:00Z,It will likely be appropriate to keep policy rates at the current level for some time to balance the inflation and employment risks in this highly uncertain environment.,Collins indicates that she will vote to hold in December.,Susan Collins,Fed,NA,Hawkish,Boston,Yes,75,Yes
2025-11-09T00:00:00Z,"I remain data dependent and focused on all the information that we’re getting between now and then, as I always am.",NA,John Williams,Fed,NA,Centrist,President,Yes,75,Yes
2025-11-07T00:00:00Z,It makes sense to proceed slowly as we approach the neutral rate.,NA,Philip Jefferson,Fed,NA,Hawkish,Vice chair,Yes,75,Yes
2025-11-06T00:00:00Z,"I have some concerns, and I lean more to the, ‘When it’s foggy, let’s just be a little careful and slow down.",NA,Austan Goolsbee,Fed,NA,Hawkish,Chicago,Yes,75,Yes
2025-11-06T00:00:00Z,I remain concerned about high inflation and believe policy should be leaning against it.,NA,Beth Hammack,Fed,NA,Hawk,Cleveland,No,100,Yes
2025-11-06T00:00:00Z,Getting policy right will require an open mind and digging for evidence on both sides of the debate.,NA,Mary Daly,Fed,NA,Centrist,San Francisco,No,50,Yes
2025-11-05T00:00:00Z,"Given the state of the labor market, I think that continuing to run policy that restrictive [would] run unnecessary risks.",NA,Stephen Miran,Fed,NA,Dove,Board of governors,Yes,0,Yes
2025-11-03T00:00:00Z,"The Fed is too restrictive, neutral is quite a ways below where current policy is.",Miran signals that he wants to see further rate reductions.,Stephen Miran,Fed,NA,Dove,Board of governors,Yes,0,Yes
2025-11-03T00:00:00Z,[The October cut was appropriate] because I believe that the downside risks to employment are greater than the upside risks to inflation,"In her first public intervention since the legal case, Cook signals that she is more concerned with growth risks but that she may not be supportive of a December cut.",Lisa Cook,Fed,NA,Centrist,Board of governors,Yes,50,Yes
2025-11-03T00:00:00Z,"This really means assessing the incoming information, keep an open mind and make the decision that balances those risks and ensures that the economy can go on and achieve the soft landing.",Daly signals that she will assess the merits of a December rate reduction in the coming weeks.,Mary Daly,Fed,NA,Centrist,San Francisco,No,50,Yes
2025-11-03T00:00:00Z,I'm not decided going into the December meeting [...] my threshold for cutting is a little bit higher than it was at the last two meetings.,NA,Austan Goolsbee,Fed,NA,Centrist,Chicago,Yes,50,Yes
2025-10-31T00:00:00Z,"We know inflation is going to come back down, so this is why I’m still advocating that we cut policy rates in December, because that’s what all the data is telling me to do.",Waller indicates that he will back a further rate reduction in December.,Christopher Waller,Fed,NA,Dove,Board of governors,Yes,0,Yes
