date,id,Value
2026-01-01,Weighted median,NA
2026-01-01,Prop. increasing,NA
2026-01-01,Volatility,NA
2026-01-01,Excl. energy & food,NA
2025-12-01,Weighted median,3.380788429692996
2025-12-01,Prop. increasing,0.8095238095238095
2025-12-01,Volatility,1.9715835196759965
2025-12-01,Excl. energy & food,2.6347372067702755
2025-09-01,Weighted median,3.445595701028421
2025-09-01,Prop. increasing,0.8253968253968254
2025-09-01,Volatility,1.7464587150777888
2025-09-01,Excl. energy & food,2.986893574578842
2025-08-01,Weighted median,3.921412413420147
2025-08-01,Prop. increasing,0.7619047619047619
2025-08-01,Volatility,1.6802092829587547
2025-08-01,Excl. energy & food,3.083113691576071
2025-07-01,Weighted median,3.8629810270795075
2025-07-01,Prop. increasing,0.7301587301587301
2025-07-01,Volatility,1.6161344489948728
2025-07-01,Excl. energy & food,3.056754867009693
2025-06-01,Weighted median,3.8266958189475044
2025-06-01,Prop. increasing,0.746031746031746
2025-06-01,Volatility,1.6096657361777085
2025-06-01,Excl. energy & food,2.9260891554078454
2025-05-01,Weighted median,3.846010915470152
2025-05-01,Prop. increasing,0.734375
2025-05-01,Volatility,1.6873225001764913
2025-05-01,Excl. energy & food,2.779410978673358
2025-04-01,Weighted median,3.953630845408634
2025-04-01,Prop. increasing,0.71875
2025-04-01,Volatility,1.7236055101859982
2025-04-01,Excl. energy & food,2.7931711986297
2025-03-01,Weighted median,3.9745324457121995
2025-03-01,Prop. increasing,0.6984126984126984
2025-03-01,Volatility,1.7298275581031406
2025-03-01,Excl. energy & food,2.8185198982201136
2025-02-01,Weighted median,3.684033927765977
2025-02-01,Prop. increasing,0.7142857142857143
2025-02-01,Volatility,1.7604765837928626
2025-02-01,Excl. energy & food,3.1404984867931
2025-01-01,Weighted median,3.3814270651811724
2025-01-01,Prop. increasing,0.7142857142857143
2025-01-01,Volatility,1.772450440698756
2025-01-01,Excl. energy & food,3.259974108508875
2024-12-01,Weighted median,3.8402542990132664
2024-12-01,Prop. increasing,0.6825396825396826
2024-12-01,Volatility,1.8082169811581184
2024-12-01,Excl. energy & food,3.220533254152974
2024-11-01,Weighted median,3.8903939284325872
2024-11-01,Prop. increasing,0.7142857142857143
2024-11-01,Volatility,1.822309559984708
2024-11-01,Excl. energy & food,3.287988756166992
2024-10-01,Weighted median,3.8074376295899874
2024-10-01,Prop. increasing,0.6507936507936508
2024-10-01,Volatility,1.8200210558076801
2024-10-01,Excl. energy & food,3.3071068435081417
2024-09-01,Weighted median,3.9486640110996696
2024-09-01,Prop. increasing,0.6825396825396826
2024-09-01,Volatility,1.821951684276952
2024-09-01,Excl. energy & food,3.2806041642523187
2024-08-01,Weighted median,4.006088468138042
2024-08-01,Prop. increasing,0.6031746031746031
2024-08-01,Volatility,1.803107889696853
2024-08-01,Excl. energy & food,3.2884878704110347
2024-07-01,Weighted median,4.2720308899205754
2024-07-01,Prop. increasing,0.6507936507936508
2024-07-01,Volatility,1.830307178061822
2024-07-01,Excl. energy & food,3.2329379015682407
2024-06-01,Weighted median,4.340199410996496
2024-06-01,Prop. increasing,0.6666666666666666
2024-06-01,Volatility,1.9487882892314357
2024-06-01,Excl. energy & food,3.2759655468864093
2024-05-01,Weighted median,4.592125885769461
2024-05-01,Prop. increasing,0.625
2024-05-01,Volatility,2.074897730671768
2024-05-01,Excl. energy & food,3.3827841090084
2024-04-01,Weighted median,4.1499044804505125
2024-04-01,Prop. increasing,0.65625
2024-04-01,Volatility,2.182046710526185
2024-04-01,Excl. energy & food,3.60704510682165
2024-03-01,Weighted median,4.172667626820284
2024-03-01,Prop. increasing,0.65625
2024-03-01,Volatility,2.397725367375111
2024-03-01,Excl. energy & food,3.818270012323336
2024-02-01,Weighted median,4.520954727210523
2024-02-01,Prop. increasing,0.625
2024-02-01,Volatility,2.6655498070625487
2024-02-01,Excl. energy & food,3.7586642290644545
2024-01-01,Weighted median,5.083358163835026
2024-01-01,Prop. increasing,0.59375
2024-01-01,Volatility,2.97793255362754
2024-01-01,Excl. energy & food,3.8584911581750156
2023-12-01,Weighted median,5.240730122045993
2023-12-01,Prop. increasing,0.671875
2023-12-01,Volatility,3.2484259300715386
2023-12-01,Excl. energy & food,3.9101196657189403
2023-11-01,Weighted median,5.293251447704406
2023-11-01,Prop. increasing,0.671875
2023-11-01,Volatility,3.4161563517940845
2023-11-01,Excl. energy & food,4.015091977142253
2023-10-01,Weighted median,5.371595033653234
2023-10-01,Prop. increasing,0.6875
2023-10-01,Volatility,3.5541759196968807
2023-10-01,Excl. energy & food,4.02170027826865
2023-09-01,Weighted median,5.963499906630417
2023-09-01,Prop. increasing,0.65625
2023-09-01,Volatility,3.6187462880923036
2023-09-01,Excl. energy & food,4.143701975298714
2023-08-01,Weighted median,6.523480565469012
2023-08-01,Prop. increasing,0.71875
2023-08-01,Volatility,3.620722014546298
2023-08-01,Excl. energy & food,4.412801068216836
2023-07-01,Weighted median,7.05739566231985
2023-07-01,Prop. increasing,0.6875
2023-07-01,Volatility,3.577490588179504
2023-07-01,Excl. energy & food,4.707596888715659
2023-06-01,Weighted median,7.662453310154296
2023-06-01,Prop. increasing,0.765625
