date,time,event
2025-01-30,14:15 (CET),Monetary policy meeting
2024-12-12,14:15 (CET),Monetary policy meeting
2024-10-17,14:15 (CET),Monetary policy meeting
2024-11-14,14:15 (CET),Monetary policy meeting
2024-09-12,14:15 (CET),Monetary policy meeting
2024-10-10,14:15 (CET),Monetary policy meeting
2024-07-18,14:15 (CET),Monetary policy meeting
2024-08-22,14:15 (CET),Monetary policy meeting
2024-06-06,14:15 (CET),Monetary policy meeting
2024-07-04,14:15 (CET),Monetary policy meeting
2024-04-11,14:15 (CET),Monetary policy meeting
2024-05-10,14:15 (CET),Monetary policy meeting
2024-03-07,14:15 (CET),Monetary policy meeting
2024-04-04,14:15 (CET),Monetary policy meeting
2024-01-25,14:15 (CET),Monetary policy meeting
2024-02-22,14:15 (CET),Monetary policy meeting
2019-12-12,14:15 (CET),Monetary policy meeting
2019-10-24,14:15 (CET),Monetary policy meeting
2019-09-12,14:15 (CET),Monetary policy meeting
2019-07-25,14:15 (CET),Monetary policy meeting
2019-06-06,14:15 (CET),Monetary policy meeting
2019-04-10,14:15 (CET),Monetary policy meeting
2019-03-07,14:15 (CET),Monetary policy meeting
2019-01-24,14:15 (CET),Monetary policy meeting
2018-12-13,14:15 (CET),Monetary policy meeting
2018-10-25,14:15 (CET),Monetary policy meeting
2018-09-13,14:15 (CET),Monetary policy meeting
2018-07-26,14:15 (CET),Monetary policy meeting
2018-06-14,14:15 (CET),Monetary policy meeting
2018-04-26,14:15 (CET),Monetary policy meeting
2018-03-08,14:15 (CET),Monetary policy meeting
2018-01-25,14:15 (CET),Monetary policy meeting
2017-12-14,14:15 (CET),Monetary policy meeting
2017-10-26,14:15 (CET),Monetary policy meeting
2017-09-07,14:15 (CET),Monetary policy meeting
2017-07-20,14:15 (CET),Monetary policy meeting
2017-06-08,14:15 (CET),Monetary policy meeting
2017-04-27,14:15 (CET),Monetary policy meeting
2017-03-09,14:15 (CET),Monetary policy meeting
2017-01-19,14:15 (CET),Monetary policy meeting
2016-12-08,14:15 (CET),Monetary policy meeting
2016-10-20,14:15 (CET),Monetary policy meeting
2016-09-08,14:15 (CET),Monetary policy meeting
2016-07-21,14:15 (CET),Monetary policy meeting
2016-06-02,14:15 (CET),Monetary policy meeting
2016-04-21,14:15 (CET),Monetary policy meeting
2016-03-10,14:15 (CET),Monetary policy meeting
2016-01-21,14:15 (CET),Monetary policy meeting
