date,country,Inflation perceptions over the previous 12 months,Inflation expectations over the next 12 months,Inflation expectations 3 years ahead
2024-09-01,AT,4.2,2.6,2.9
2024-08-01,AT,4.7,2.9,2.9
2024-07-01,AT,5,3,2.9
2024-06-01,AT,5.1,3,3
2024-05-01,AT,5.1,3.2,3
2024-04-01,AT,6.5,3.5,3
2024-03-01,AT,6.9,3.5,3
2024-02-01,AT,7,3.9,3
2024-01-01,AT,8,4.1,3
2023-12-01,AT,8.2,4,3
2023-11-01,AT,8.1,3.9,3.1
2023-10-01,AT,9.5,4.1,3.1
2023-09-01,AT,9.7,4.9,3.5
2023-08-01,AT,9.7,4.9,3.1
2023-07-01,AT,10,4.9,3.5
2023-06-01,AT,10,4.9,3.4
2023-05-01,AT,10.1,5,3.5
2023-04-01,AT,10.6,5.1,3.4
2023-03-01,AT,11.2,5.1,3.9
2023-02-01,AT,11.1,5.2,3.9
2023-01-01,AT,10.7,5.5,3.4
2022-12-01,AT,11.1,6.4,3.9
2022-11-01,AT,11,7,3.9
2022-10-01,AT,10.5,7.1,3.7
2022-09-01,AT,10,7.5,3.9
2022-08-01,AT,10,7.1,3.7
2022-07-01,AT,9.9,8.1,4.1
2022-06-01,AT,8.8,8,3.5
2022-05-01,AT,8.7,7.2,3.6
2022-04-01,AT,7.4,7,3.3
2024-09-01,BE,3.1,2.4,2.6
2024-08-01,BE,3.1,2.4,2.5
2024-07-01,BE,3.5,2.5,2.6
2024-06-01,BE,3.5,2.4,2.5
2024-05-01,BE,3.5,2.5,2.5
2024-04-01,BE,3.9,2.4,2.5
2024-03-01,BE,4.9,2.6,2.6
2024-02-01,BE,4.9,2.6,2.8
2024-01-01,BE,4.9,2.5,2.5
2023-12-01,BE,5.1,2.5,2.6
2023-11-01,BE,5.3,2.6,2.5
2023-10-01,BE,7.4,3,2.6
2023-09-01,BE,7.8,3.3,2.9
2023-08-01,BE,8.1,3.1,2.6
2023-07-01,BE,8,2.9,2.5
2023-06-01,BE,9,3.3,2.5
2023-05-01,BE,10,3.5,2.8
2023-04-01,BE,10.2,4.9,2.9
2023-03-01,BE,10,4.9,3
2023-02-01,BE,10.1,4.9,3
2023-01-01,BE,10.7,5,2.9
2022-12-01,BE,10.8,5,3.3
2022-11-01,BE,10.9,5,3.1
2022-10-01,BE,10.1,5.4,3.1
2022-09-01,BE,10,5.6,3.6
2022-08-01,BE,9.1,5,3.1
2022-07-01,BE,8.7,5,3.1
2022-06-01,BE,8,5,2.9
2022-05-01,BE,7.6,4.9,2.6
2022-04-01,BE,7.3,5,2.8
2024-09-01,DE,2.9,2.3,2.1
2024-08-01,DE,3.2,2.6,2.1
2024-07-01,DE,3.5,2.6,2.1
2024-06-01,DE,3.5,2.5,2.1
2024-05-01,DE,3.9,2.6,2.1
2024-04-01,DE,4,2.5,2.1
2024-03-01,DE,4.5,2.9,2.3
2024-02-01,DE,4.6,3,2.3
2024-01-01,DE,5.1,3.3,2.3
2023-12-01,DE,4.9,3,2.1
2023-11-01,DE,5,3,2
2023-10-01,DE,5.6,3.4,2.1
2023-09-01,DE,6.2,3.6,2.2
2023-08-01,DE,6.3,3.4,2.3
2023-07-01,DE,6.7,3.5,2.4
2023-06-01,DE,6.5,2.9,2.1
2023-05-01,DE,6.9,2.9,2
2023-04-01,DE,7.5,3.1,2
2023-03-01,DE,8.1,3.9,2.5
2023-02-01,DE,7.9,3.1,1.5
2023-01-01,DE,8,4,2
2022-12-01,DE,9.1,4.7,3
2022-11-01,DE,9.9,5,2.4
2022-10-01,DE,9,5.3,2.9
2022-09-01,DE,7.9,5,2.9
2022-08-01,DE,7.5,5,2.9
2022-07-01,DE,7.5,5,2.9
2022-06-01,DE,7.2,4.9,2.6
2022-05-01,DE,6.1,4.9,2.4
2022-04-01,DE,6,5,2.8
2024-09-01,EL,13,6.1,6.1
2024-08-01,EL,15,10,8.1
2024-07-01,EL,15.1,9.9,8.1
2024-06-01,EL,15.2,9.9,8.4
2024-05-01,EL,19.2,9.9,8.3
2024-04-01,EL,20,10,9.8
2024-03-01,EL,19.6,10,7
2024-02-01,EL,20,10,6.6
2024-01-01,EL,19.9,10.1,6.4
2023-12-01,EL,20,10.1,9.5
2023-11-01,EL,20,10.1,9.9
2023-10-01,EL,23.6,11.6,10.2
2023-09-01,EL,20.1,13.5,9.9
2023-08-01,EL,20.1,12.3,10
2023-07-01,EL,20.2,10.1,9.2
2023-06-01,EL,21.9,10,9.6
2023-05-01,EL,20.1,10.2,8.3
2023-04-01,EL,20.2,10.1,7.2
2023-03-01,EL,24.5,10.7,9.9
2023-02-01,EL,25,11.7,7
2023-01-01,EL,24.6,12,6.1
2022-12-01,EL,20.1,10,7.6
2022-11-01,EL,24.9,14.5,9.5
2022-10-01,EL,20.1,12.5,9.9
2022-09-01,EL,20,14.6,8.3
2022-08-01,EL,20.1,10.5,9.9
2022-07-01,EL,20.1,14.4,7.9
2022-06-01,EL,20.1,10.1,5.5
2022-05-01,EL,20,11.6,8
2022-04-01,EL,20,11.7,7.9
2024-09-01,ES,3.6,2.6,2.4
2024-08-01,ES,4,2.9,2.3
2024-07-01,ES,4.1,2.9,2.1
2024-06-01,ES,4.9,3,2.2
2024-05-01,ES,4.8,3,2.3
2024-04-01,ES,5,3,2.5
2024-03-01,ES,5.1,3,2.5
2024-02-01,ES,5.5,3.3,2.5
2024-01-01,ES,7.1,3.5,2.4
2023-12-01,ES,9.8,4.5,2.5
2023-11-01,ES,9.9,4.9,2.5
2023-10-01,ES,9.9,4.9,2.9
2023-09-01,ES,9.9,4.8,2.5
2023-08-01,ES,8,3.1,2.1
2023-07-01,ES,8.5,3.1,2.1
2023-06-01,ES,8.5,3.6,2.6
2023-05-01,ES,9.9,4.8,3
2023-04-01,ES,10,4.9,3
2023-03-01,ES,10,5,3
2023-02-01,ES,9,4.6,3
2023-01-01,ES,9.4,4.5,2.9
2022-12-01,ES,9.9,4.9,3.1
2022-11-01,ES,9.9,5,3
2022-10-01,ES,10,5,3.4
2022-09-01,ES,10.1,5,3.2
