date,Period,All items,FT core,"All items excluding energy, food, alcohol and tobacco"
2026-06-01,One year,2.767194706236219,2.3964628337864053,2.3537660256410198
2026-05-01,One year,3.1664656212303894,2.715578311028045,2.5514816675037735
2026-04-01,One year,3.062556481574452,2.4375264088112036,2.23738336510485
2026-03-01,One year,2.540415704387992,2.1996977662657136,2.253974642785278
2026-02-01,One year,1.880152825256389,2.1839886412630873,2.39176506206478
2026-01-01,One year,1.6809260191243096,2.038583003288743,2.1925836111953134
2025-12-01,One year,1.951663464455448,2.0187843666882683,2.308860759493672
2025-11-01,One year,2.1082505574700976,2.0951554534715786,2.3751522533495772
2025-10-01,One year,2.1127475876079207,2.2404954897086604,2.410006101281259
2025-09-01,One year,2.2613833146582447,2.36696943506923,2.3942944472745737
2025-08-01,One year,2.098400733421618,2.41403841571913,2.346699316396283
2025-07-01,One year,2.059963287782986,2.4737421029877034,2.341992227449368
2025-06-01,One year,1.9836400817995887,2.261660205421026,2.316048370567745
2025-05-01,One year,1.8740399385560658,2.2512887036729454,2.249383730484796
2025-04-01,One year,2.1017018659011657,2.3822111222103963,2.6573282521371904
2025-03-01,One year,2.227468692260318,2.4771483299414507,2.4958745874587476
2025-02-01,One year,2.261978202755489,2.2244824818451208,2.460965773963406
2025-01-01,One year,2.475502836513658,2.2996304642047614,2.6233927830775623
2024-12-01,One year,2.4554496477414056,2.3435841000998305,2.7468525647695357
2024-11-01,One year,2.2595356550580354,2.389182630039489,2.7427260402544533
2024-10-01,One year,1.9890189578369435,2.315318020717126,2.683512582228263
2024-09-01,One year,1.7411130687117908,2.161394302443631,2.6673640167364137
2024-08-01,One year,2.079650618696059,2.347208759735736,2.725081228382778
2024-07-01,One year,2.541043605563115,2.6765252672754185,2.7964676198486087
2024-06-01,One year,2.515723270440242,2.6019267113018634,2.845699831365939
2024-05-01,One year,2.5412160033602875,2.657249474163212,2.819727531946353
2024-04-01,One year,2.4257061850257293,2.616088973044109,2.719001269572585
2024-03-01,One year,2.3857067787703583,2.850379640783257,2.875331564986731
2024-02-01,One year,2.5192368504269003,2.9480739446015427,3.003514751304711
2024-01-01,One year,2.7448071216617245,3.179500942162827,3.2106164383561646
2023-12-01,One year,2.9766350154699586,3.3264727737975885,3.4998923110058153
2023-11-01,One year,2.5401211605909237,3.3520879915887045,3.7545985717377177
2023-10-01,One year,2.822752449936095,3.762367106776714,4.086512335615684
2023-09-01,One year,4.234633250513127,4.158328258263557,4.401004695861092
2023-08-01,One year,5.023479305449393,4.668507437263946,4.949950500494995
2023-07-01,One year,5.076365234589594,5.127858152251642,5.15144815388018
2023-06-01,One year,5.449320216646409,5.130447995025341,5.387093191158496
2023-05-01,One year,6.0822100924585145,5.292918333135649,5.304715302491099
2023-04-01,One year,6.939921392476145,5.91376852747543,5.597139984359279
2023-03-01,One year,6.958183453237424,6.102777845186568,5.768151722590058
2023-02-01,One year,8.571755550469225,6.390836850315415,5.67248171074846
2023-01-01,One year,8.809963099630998,6.435453091510313,5.486565816211334
2022-12-01,One year,9.242424242424251,6.51560018763721,5.247648192224862
2022-11-01,One year,10.085410085410091,6.923005093896487,5.034663029889768
2022-10-01,One year,10.61623659714857,7.045251087110909,5.01027162748231
2022-09-01,One year,9.940617577197138,6.7755257772126125,4.7591808717538004
2022-08-01,One year,9.076831447290042,6.1628050532059655,4.218732087584538
2022-07-01,One year,8.772558862196728,5.633826513614064,3.9053526303698503
2022-06-01,One year,8.646571394259642,5.642902644348723,3.7211981566820325
2022-05-01,One year,8.06548693872638,5.485663668153175,3.773802654356602
2022-04-01,One year,7.4185765983112075,5.0902339524368845,3.443892291690748
2022-03-01,One year,7.504531722054374,4.56664738832468,3.041165587419051
2022-02-01,One year,5.838178294573635,3.8719624826053898,2.681151045880034
2022-01-01,One year,5.10241182886922,3.297809188209073,2.2627568690833453
2021-12-01,One year,5.018359853121169,3.44222077386533,2.676597230303732
2021-11-01,One year,4.768325569992646,3.0889349717997434,2.492719860221317
2021-10-01,One year,4.1094210009813645,2.6891915006574574,2.12121212121213
2021-09-01,One year,3.465224870975679,2.4924189178958827,1.995332555425897
2021-08-01,One year,3.1580240845416654,2.3509556623506818,1.8566090611863655
2021-07-01,One year,2.348623853211011,1.6417315543362392,0.9859645052778201
2021-06-01,One year,2.009065294622076,1.5376898922366717,1.0242085661080023
2021-05-01,One year,1.9764301497667562,1.5123519894817976,0.9201024924295438
2021-04-01,One year,1.655426118945443,1.4408050056576451,0.8038210624417494
2021-03-01,One year,1.2356251529239115,1.2303149781978382,0.8160410352063451
2021-02-01,One year,0.8058608058608017,1.1142664721130902,0.9684947491248522
2021-01-01,One year,0.7325112928824423,1.2119783805423385,1.215237204954436
2020-12-01,One year,-0.25637895250884357,0.3573594209269081,0.256679500641714
2020-11-01,One year,-0.2811392250336193,0.26974090885028246,0.2569193039822479
2020-10-01,One year,-0.23252967812996908,0.30354027692346786,0.25706940874035855
2020-09-01,One year,-0.28182820732753827,0.40943108841474307,0.2573701450631713
2020-08-01,One year,-0.2206964198136425,0.5139402658628175,0.31627035258286984
2020-07-01,One year,0.3683241252301991,1.2385742704283276,1.1498298721107472
2020-06-01,One year,0.25792188651436226,1.0834653237142962,0.8450704225352099
2020-05-01,One year,0.07371007371005904,1.0114058887505775,0.9049241979080925
2020-04-01,One year,0.29516664616897664,1.0157412019827903,0.8577135471742497
2020-03-01,One year,0.7767229688077862,1.185372047123021,1.0603204524033998
2020-02-01,One year,1.1735639283508374,1.2958500552651937,1.144812935205947
2020-01-01,One year,1.3110698824984568,1.3018201789513566,1.015108593012275
2019-12-01,One year,1.3236021771400213,1.3836154126489266,1.2641776937618068
2019-11-01,One year,0.9127914148267043,1.2657885354112117,1.2174940898345168
2019-10-01,One year,0.8018751542067499,1.2077096671915029,1.1583924349881844
2019-09-01,One year,0.9025717111770575,1.227125215263858,1.1238613509996485
2019-08-01,One year,1.1157946937763523,1.447854048480734,1.089402013025461
2019-07-01,One year,1.1047666335650452,1.321363720395174,0.9834123222748794
2019-06-01,One year,1.2308839985080129,1.3390001953298902,1.067615658362996
2019-05-01,One year,1.2815727261415963,1.2753772029287886,0.8772969768820499
2019-04-01,One year,1.5613290032475642,1.3989422835257206,1.0807600950118723
2019-03-01,One year,1.5016894005756514,1.2592208045209603,0.9154678397336774
2019-02-01,One year,1.3902805611222437,1.3539514275647992,0.8450368959771578
2019-01-01,One year,1.2650300601202291,1.3248403315233497,0.9051929490233507
2018-12-01,One year,1.5577889447236295,1.2559662543954602,0.9541984732824393
2018-11-01,One year,1.9620173563073675,1.36552429923631,0.9667024704618545
2018-10-01,One year,2.2839116719242933,1.5965193170264553,1.1719684286055845
2018-09-01,One year,2.1083196566090163,1.430928009215224,0.9554520482503249
2018-08-01,One year,2.0237794080445157,1.3706918028245652,0.9563658099222919
2018-07-01,One year,2.116871593357842,1.49219497862195,1.029446971510653
2018-06-01,One year,1.9908698960182696,1.5414885061490307,0.994369234455491
2018-05-01,One year,1.8760299150716235,1.504235925593854,1.1269631938616445
2018-04-01,One year,1.3802709889831626,1.264821484084747,0.9229294018937984
2018-03-01,One year,1.318625586408003,1.3169896688856824,0.9723889555822356
2018-02-01,One year,1.1529203091346718,1.2412143385273051,1.0220031261272025
