date,Gross domestic product,Personal consumption expenditures,Gross private domestic investment,Net exports of goods and services,Government consumption expenditures and gross investment
2025 Q4,1.4,1.58,0.66,0.08,-0.9
2025 Q3,4.4,2.34,0.03,1.62,0.38
2025 Q2,3.8,1.68,-2.66,4.83,-0.01
2025 Q1,-0.6,0.42,3.79,-4.68,-0.17
2024 Q4,1.9,2.61,-1.26,-0.06,0.57
2024 Q3,3.3,2.66,0.18,-0.41,0.92
2024 Q2,3.6,2.61,1.44,-1.04,0.57
2024 Q1,0.8,1.17,-0.29,-0.42,0.39
2023 Q4,3.4,2.04,0.65,-0.06,0.79
2023 Q3,4.7,2.08,1.66,0.09,0.87
2023 Q2,2.5,1.02,1.27,-0.3,0.56
2023 Q1,2.9,2.99,-1.33,0.58,0.69
2022 Q4,2.8,0.53,1.43,0.14,0.69
2022 Q3,2.9,1.27,-1.26,2.63,0.28
2022 Q2,0.6,2.19,-1.69,0.38,-0.26
2022 Q1,-1,0.22,1.45,-2.15,-0.54
