date,Unemployment,Job vacancies,Period,geo
2001-01-01,4.233333333333333,3.6666666666666665,2001-2019,US
2001-04-01,4.4,3.2666666666666666,2001-2019,US
2001-07-01,4.833333333333333,3.1,2001-2019,US
2001-10-01,5.5,2.7333333333333334,2001-2019,US
2002-01-01,5.7,2.666666666666667,2001-2019,US
2002-04-01,5.833333333333333,2.566666666666667,2001-2019,US
2002-07-01,5.733333333333333,2.533333333333333,2001-2019,US
2002-10-01,5.866666666666667,2.533333333333333,2001-2019,US
2003-01-01,5.866666666666667,2.433333333333333,2001-2019,US
2003-04-01,6.133333333333333,2.433333333333333,2001-2019,US
2003-07-01,6.133333333333333,2.3,2001-2019,US
2003-10-01,5.833333333333333,2.5,2001-2019,US
2004-01-01,5.7,2.6,2001-2019,US
2004-04-01,5.6,2.6,2001-2019,US
2004-07-01,5.433333333333334,2.7333333333333334,2001-2019,US
2004-10-01,5.433333333333334,2.8333333333333335,2001-2019,US
2005-01-01,5.3,2.8666666666666667,2001-2019,US
2005-04-01,5.1,2.9,2001-2019,US
2005-07-01,4.966666666666667,3.066666666666667,2001-2019,US
2005-10-01,4.966666666666667,3.066666666666667,2001-2019,US
2006-01-01,4.733333333333333,3.2,2001-2019,US
2006-04-01,4.633333333333333,3.3,2001-2019,US
2006-07-01,4.633333333333334,3.2333333333333334,2001-2019,US
2006-10-01,4.433333333333334,3.2666666666666666,2001-2019,US
2007-01-01,4.5,3.3666666666666667,2001-2019,US
2007-04-01,4.5,3.333333333333333,2001-2019,US
2007-07-01,4.666666666666667,3.2333333333333334,2001-2019,US
2007-10-01,4.8,3.2333333333333334,2001-2019,US
2008-01-01,5,3.066666666666667,2001-2019,US
2008-04-01,5.333333333333333,2.8333333333333335,2001-2019,US
2008-07-01,6,2.533333333333333,2001-2019,US
2008-10-01,6.866666666666666,2.333333333333333,2001-2019,US
2009-01-01,8.266666666666666,2,2001-2019,US
2009-04-01,9.3,1.8333333333333333,2001-2019,US
2009-07-01,9.633333333333333,1.8,2001-2019,US
2009-10-01,9.933333333333334,1.8666666666666667,2001-2019,US
