Member,Date of remark,Remark,Significance,...5
Klaas Knot,2024-06-20,"<i>[The ECB will have to] wait for incoming data, including new projections, and then decide accordingly.</i>","Knot suggests that the next rate move has to take place at a projection meeting, meaning in September at the earliest.",NA
Mario Centeno,2024-06-19,"<i>Rates will fall if inflation helps us, which it’s doing [...] what would be ideal would be for interest rates to also approach 2%.</i>",,NA
Luis De Guindos,2024-06-18,"<i>[Projection meetings] are the most significant and interesting moments from the point of view of monetary policy, because our projections are a very important indicator when it comes to decide the evolution of interest rates.</i>","De Guindos suggests that future changes in rates are most likely at projection meetings, in tandem with Klaas Knot's own assessment.",NA
Christine Lagarde,2024-06-17,"<i>We do have plenty of challenges, but I really believe that we are now heading toward a disinflationary path that will have its little hiccups here and there — what we call bumps on the road.</i>","Lagarde suggests that progress on disinflation will be slow, but that the overarching trajectory is down.",NA
Philip Lane,2024-06-17,<i>3.75 is quite some distance from where this debate would really heat up.</i>,Lane suggests that current policy rates are still firmly in restrictive territory and that therefore additional cuts would keep the policy stance restrictive.,NA
Philip Lane,2024-06-17,<i>What we are seeing in the markets is a repricing but it is not in the world of disorderly markets right now.</i>,Lane downplays the prospect of ECB intervention into French bond markets.,NA
Boris Vujcic,2024-06-17,"<i>July is always an option, but much more data will be available in September.</i>",,NA
Martins Kazaks,2024-06-14,<i>Currently the market pricing seems to be reasonable but there’s no autopilot.</i>,,Kazaks endorses projections of between 1 and 2 rate cuts in 2024.
Madis Muller,2024-06-13,"<i>In order to achieve our goal, interest rates presumably still need to stay above average for some time.</i>",,NA
Joachim Nagel,2024-06-13,"<i>We are on a bumpy road, but we all know that the last mile is the most complicated one.</i>",Nagel reinforces the idea that the disinflationary process will very likely be slow.,NA
Bostjan Vasle,2024-06-13,"<i>If the baseline scenario is realized and the data are favorable, then we can probably expect further rate cuts already this year, and then also next year.</i>",,NA
Luis De Guindos,2024-06-12,"<i>The level of uncertainty is huge [...] That's why, when you are in a dark room, you have to be very careful. You have to [...] move very slowly, to move with a lot of prudence.</i>",De Guindos reiterates the ECB's core view that it needs to see more evidence of progress on inflation before cutting again.,NA
Christodoulos Patsalides,2024-06-12,<i>We will see data at our next meeting and decide accordingly.</i>,,NA
Gediminas Simkus,2024-06-11,<i>It’s too early to raise a victory flag.</i>,,NA
Francois Villeroy de Galhau,2024-06-11,"<i>As regards our next rate cuts, I plead for a pragmatic gradualism, both on the timing, without haste nor procrastination.</i>","Villeroy seems to suggest that a second consecutive cut is unlikely, but that the overall trajectory of rates is down.",NA
Olli Rehn,2024-06-11,"<i>It is important to see the forest for the trees. Considerable progress has been made in bringing inflation down to target, especially since September 2023.</i>",,NA
Peter Kazimir,2024-06-10,<i>September will be a pivotal month [...] the right moment to reassess our stance.</i>,Kazimir explicitly suggests the governing council will hold rates in July.,NA
Robert Holzmann,2024-06-08,"<i>If the original assumption of three rate cuts were to materialize, and the Federal Reserve didn’t respond, it would certainly have an impact on the exchange rate, and with it inflation.</i>","Holzmann brings back the idea that ECB divergence from the Fed could prompt a second, FX-driven inflationary spiral.",NA
Luis De Guindos,2024-06-07,<i>There will be months when inflation may even accelerate slightly but we are convinced that next year it will converge with the target.</i>,,NA
Francois Villeroy de Galhau,2024-06-07,<i>We will adapt the precise rhythm of our next rate cuts without hurrying or procrastinating as the outlook for disinflation is confirmed.</i>,,NA
Isabel Schnabel,2024-06-07,<i>The future inflation outlook remains uncertain. We cannot pre-commit to a particular rate path.</i>,,NA
Philip Lane,2024-06-07,"<i>The overall direction of wages still points to deceleration, which is essential.</i>",Lane downplays the importance of a recent data release showing that euro area negotiated wages have grown more than expected in early 2024.,NA
Gabriel Makhlouf,2024-06-07,"<i>[Policymakers don't know] how fast we’re going to carry on, or if at all because — this is the phrase we’ve been using — ‘the road is bumpy.’</i>",,NA
Madis Muller,2024-06-07,<i>The central bank needs to make its decisions rather cautiously and not to rush too much with cutting the interest rate.</i>,,NA
Martins Kazaks,2024-06-07,<i>Victory is not yet in hand [...] further reductions in interest rates should be gradual.</i>,,NA
Joachim Nagel,2024-06-07,<i>[The ECB is] not on autopilot.</i>,,NA
Gediminas Simkus,2024-06-06,"<i>[If forecasts are accurate] there will be more cuts [...] when, at what speed, what trajectory — lets wait and see.</i>",,NA
