Member,Date of remark,Remark,Significance
Lisa Cook,2024-07-11,"<i>[M]y baseline forecast [...] is that inflation will continue to move toward target over time, without much further rise in unemployment.</i>","Cook believes a soft landing for the US is possible, forecasting that unemployment will remain low and economic activity robust while inflation returns to target."
John Williams,2024-07-03,<i>The low r-star regime endures.</i>,Williams reiterates that he sees no evidence that the US netural rate of interest has risen.
Jay Powell,2024-07-02,<i>[Inflation] now shows signs of resuming its disinflationary trend.</i>,Powell indicated that the Fed would be in a position to start cutting rates if US inflation continued its recent encouraging trend
Austan Goolsbee,2024-07-02,"<i>If you just hold the rates where they are while inflation comes down, you are tightening - so you should do that by decision, not by default.</i>","Goolsbee suggests that the Fed can cut interest rates before inflation returns to target, as long as they are confident that it is making progress in the right direction."
Thomas Barkin,2024-06-28,"<i>I'm open to the idea that r-star has shifted up somewhat. It is too soon to tell, but there’s one way to find out: proceed deliberately while keeping a close eye on the real economy.</i>","Barkin suggests that the netural rate of interest may have shifted upwards, meaning that today's high interest rates are not as restrictive as we would have once expected."
Raphael Bostic,2024-06-27,<i>I continue to believe conditions will likely call for a cut in the federal funds rate in the fourth quarter of this year [...) the risks are becoming more balanced across our two mandate items.</i>,Bostic reiterates that he expects the Fed to start cutting late in 2024 but highlights the finer balance between the Fed's dual mandates of price stability and maximum employment.
Michelle Bowman,2024-06-27,"<i>We are still not yet at the point where it is appropriate to lower the policy rate, and I continue to see a number of upside risks to inflation.</i>","This is a typically hawkish comment from Bowman, who added that she remained willing to raise interest rates if the data suggests that progress on inflation has stalled or reversed."
Lisa Cook,2024-06-26,"<i>With significant progress on inflation and the labour market cooling gradually, at some point it will be appropriate to reduce the level of policy restriction to maintain a healthy balance in the economy.</i>",Cook highlights the importance of weighing up the balance of risks between the Fed's mandates on price stability and maximum employment.
Mary Daly,2024-06-24,<i>[I]nflation is not the only risk we face. We will need to keep our eyes on both sides of our mandate—inflation and full employment—as we work to achieve our goals.</i>,"Daly points to the US returning to the flatter part of the Beveridge curve, with the job vacancies rate returning to normal. This suggests that continued restrictive policy may begin to push up unemployment faster than in preceding months."
Loretta Mester,2024-06-24,"<i>At some point I would be open to selling, for the [Federal Open Market] Committee to sell MBS.</i>",Mester noted that the Fed's goal of balance sheet reduction may require it to sell mortgage bonds in the future.
Austan Goolsbee,2024-06-24,"<i>If you're going to be extra restrictive for too long, you're going to have to start worrying about what's happening to the real economy.</i>","Goolsbee said that he was ""closet optimistic"" about the outlook for inflation data, adding that very restrictive rates could start slowing down the real economy."
Austan Goolsbee,2024-06-20,"<i>If we get more inflation readings like the one we just got, which were very strong, very encouraging — looking much more like the second half of last year, around 2% —  then my view has been we can cut.</i>",
Adriana Kugler,2024-06-18,"<i>If the economy evolves as I am expecting, it will likely become appropriate to begin easing policy sometime later this year.</i>",Kugler suggests that at least one cut is justified this year based on the economic data.
