date,US,Eurozone,UK,Japan,date_popup
2024-07-29,108.96,107.93,111.33,76.8,29 Jul 2024
2024-07-28,108.96,107.93,111.33,76.8,28 Jul 2024
2024-07-27,108.96,107.93,111.33,76.8,27 Jul 2024
2024-07-26,108.75,108.14,111.44,76.37,26 Jul 2024
2024-07-25,108.74,108.04,111.48,77.26,25 Jul 2024
2024-07-24,108.72,108.14,111.97,76.65,24 Jul 2024
2024-07-23,108.56,108.27,111.93,75.63,23 Jul 2024
2024-07-22,108.58,108.44,111.86,75.28,22 Jul 2024
2024-07-21,108.58,108.44,111.86,75.28,21 Jul 2024
2024-07-20,108.58,108.44,111.86,75.28,20 Jul 2024
2024-07-19,108.43,108.48,111.79,74.9,19 Jul 2024
2024-07-18,107.96,108.53,111.99,75.23,18 Jul 2024
2024-07-17,107.94,108.54,112.35,75.15,17 Jul 2024
2024-07-16,108.14,108.45,112.09,74.4,16 Jul 2024
2024-07-15,108.11,108.43,112.1,74.56,15 Jul 2024
2024-07-14,108.11,108.43,112.1,74.56,14 Jul 2024
2024-07-13,108.11,108.43,112.1,74.56,13 Jul 2024
2024-07-12,108.05,108.26,112,74.15,12 Jul 2024
2024-07-11,108.49,108.22,111.57,72.99,11 Jul 2024
2024-07-10,108.59,108.08,111.17,73.14,10 Jul 2024
2024-07-09,108.78,108.03,111.17,73.35,09 Jul 2024
2024-07-08,108.71,108.11,111.35,73.38,08 Jul 2024
2024-07-07,108.71,108.11,111.35,73.38,07 Jul 2024
2024-07-06,108.71,108.11,111.35,73.38,06 Jul 2024
2024-07-05,108.75,108.07,111.03,73.45,05 Jul 2024
2024-07-04,108.91,107.94,110.88,73.46,04 Jul 2024
2024-07-03,109.35,107.88,110.78,73.21,03 Jul 2024
2024-07-02,109.52,107.73,110.56,73.4,02 Jul 2024
2024-07-01,109.34,107.59,110.47,73.46,01 Jul 2024
2024-06-30,109.34,107.59,110.47,73.46,30 Jun 2024
2024-06-29,109.34,107.59,110.47,73.46,29 Jun 2024
2024-06-28,109.29,107.25,110.45,73.7,28 Jun 2024
2024-06-27,109.47,107.32,110.53,73.88,27 Jun 2024
2024-06-26,109.33,107.17,110.63,73.93,26 Jun 2024
2024-06-25,108.99,107.18,110.64,74.24,25 Jun 2024
2024-06-24,108.95,107.26,110.36,74.16,24 Jun 2024
2024-06-23,108.95,107.26,110.36,74.16,23 Jun 2024
2024-06-22,108.95,107.26,110.36,74.16,22 Jun 2024
2024-06-21,109.2,107,110.42,74.52,21 Jun 2024
2024-06-20,109.2,107.09,110.55,74.7,20 Jun 2024
2024-06-19,109.12,107.32,110.76,74.86,19 Jun 2024
2024-06-18,109.24,107.23,110.54,74.89,18 Jun 2024
2024-06-17,109.35,107.27,110.53,75.01,17 Jun 2024
2024-06-16,109.35,107.27,110.53,75.01,16 Jun 2024
2024-06-15,109.35,107.27,110.53,75.01,15 Jun 2024
2024-06-14,109.38,107.02,110.86,75.44,14 Jun 2024
2024-06-13,109.2,107.64,110.93,75.15,13 Jun 2024
2024-06-12,109.35,107.52,110.99,75.17,12 Jun 2024
2024-06-11,109.08,107.22,111.03,75.34,11 Jun 2024
2024-06-10,108.98,107.38,110.64,75.34,10 Jun 2024
2024-06-09,108.98,107.38,110.64,75.34,09 Jun 2024
2024-06-08,108.98,107.38,110.64,75.34,08 Jun 2024
2024-06-07,108,108.07,110.41,75.66,07 Jun 2024
2024-06-06,107.92,107.91,110.34,75.38,06 Jun 2024
2024-06-05,107.96,108.03,110.46,75.48,05 Jun 2024
2024-06-04,108.16,108,110.28,76.08,04 Jun 2024
2024-06-03,107.96,107.88,110.16,75.17,03 Jun 2024
2024-06-02,107.96,107.88,110.16,75.17,02 Jun 2024
2024-06-01,107.96,107.88,110.16,75.17,01 Jun 2024
2024-05-31,107.51,107.92,109.94,75.01,31 May 2024
2024-05-30,107.61,107.68,110.12,75.2,30 May 2024
2024-05-29,107.32,107.9,110.26,74.87,29 May 2024
2024-05-28,106.93,107.85,110.32,74.95,28 May 2024
2024-05-27,107.15,107.75,110.22,75,27 May 2024
2024-05-26,107.15,107.75,110.22,75,26 May 2024
2024-05-25,107.15,107.75,110.22,75,25 May 2024
2024-05-24,107.23,107.81,110.02,74.92,24 May 2024
2024-05-23,107.04,107.83,110.13,75.1,23 May 2024
2024-05-22,107.15,107.72,110.05,75.15,22 May 2024
2024-05-21,106.86,107.83,109.78,75.14,21 May 2024
2024-05-20,106.88,107.83,109.63,75.36,20 May 2024
2024-05-19,106.88,107.83,109.63,75.36,19 May 2024
2024-05-18,106.88,107.83,109.63,75.36,18 May 2024
2024-05-17,107,107.78,109.38,75.39,17 May 2024
2024-05-16,106.84,107.8,109.19,75.69,16 May 2024
2024-05-15,107.18,107.74,109.15,75.58,15 May 2024
2024-05-14,107.41,107.67,108.9,75.32,14 May 2024
2024-05-13,107.35,107.67,108.83,75.62,13 May 2024
2024-05-12,107.35,107.67,108.83,75.62,12 May 2024
2024-05-11,107.35,107.67,108.83,75.62,11 May 2024
2024-05-10,107.39,107.6,108.73,75.66,10 May 2024
2024-05-09,107.75,107.35,108.64,75.7,09 May 2024
2024-05-08,107.71,107.46,108.59,75.82,08 May 2024
2024-05-07,107.39,107.46,108.96,76.18,07 May 2024
2024-05-06,107.3,107.42,109.13,76.51,06 May 2024
2024-05-05,107.3,107.42,109.13,76.51,05 May 2024
2024-05-04,107.3,107.42,109.13,76.51,04 May 2024
2024-05-03,107.53,107.35,109.19,76.98,03 May 2024
2024-05-02,107.87,107.25,109.15,76.38,02 May 2024
2024-05-01,107.97,107.51,109.4,75.36,01 May 2024
2024-04-30,107.97,107.51,109.4,75.36,30 Apr 2024
2024-04-29,107.98,107.49,109.36,75.68,29 Apr 2024
2024-04-28,107.98,107.49,109.36,75.68,28 Apr 2024
2024-04-27,107.98,107.49,109.36,75.68,27 Apr 2024
2024-04-26,108.21,107.56,109.21,75.47,26 Apr 2024
2024-04-25,107.97,107.54,109.15,76.06,25 Apr 2024
2024-04-24,107.96,107.36,108.65,76.43,24 Apr 2024
2024-04-23,108.19,107.31,108.49,76.55,23 Apr 2024
2024-04-22,108.32,107.08,107.94,76.64,22 Apr 2024
2024-04-21,108.32,107.08,107.94,76.64,21 Apr 2024
2024-04-20,108.32,107.08,107.94,76.64,20 Apr 2024
2024-04-19,108.49,107.21,108.97,76.69,19 Apr 2024
2024-04-18,108,107.26,109.01,76.68,18 Apr 2024
2024-04-17,108.26,107.07,109.17,76.63,17 Apr 2024
2024-04-16,108.11,107.03,109.09,76.61,16 Apr 2024
2024-04-15,107.62,106.93,109.09,76.83,15 Apr 2024
2024-04-14,107.62,106.93,109.09,76.83,14 Apr 2024
2024-04-13,107.62,106.93,109.09,76.83,13 Apr 2024
2024-04-12,107.51,106.74,108.97,77.16,12 Apr 2024
2024-04-11,107.13,107.18,109.14,77.05,11 Apr 2024
2024-04-10,106.36,107.77,109.59,77.3,10 Apr 2024
2024-04-09,106.34,107.83,109.43,77.29,09 Apr 2024
2024-04-08,106.67,107.67,109.13,77.38,08 Apr 2024
2024-04-07,106.67,107.67,109.13,77.38,07 Apr 2024
2024-04-06,106.67,107.67,109.13,77.38,06 Apr 2024
2024-04-05,106.61,107.73,109.2,77.61,05 Apr 2024
2024-04-04,106.58,107.86,109.26,77.39,04 Apr 2024
2024-04-03,106.88,107.51,109.1,77.53,03 Apr 2024
2024-04-02,106.97,107.27,109.21,77.63,02 Apr 2024
2024-04-01,106.7,107.62,109.46,77.71,01 Apr 2024
2024-03-31,106.7,107.62,109.46,77.71,31 Mar 2024
2024-03-30,106.7,107.62,109.46,77.71,30 Mar 2024
2024-03-29,106.69,107.61,109.46,77.7,29 Mar 2024
2024-03-28,106.7,107.62,109.46,77.71,28 Mar 2024
2024-03-27,106.73,107.7,109.15,77.72,27 Mar 2024
2024-03-26,106.61,107.85,109.16,77.42,26 Mar 2024
2024-03-25,106.65,107.62,109.21,77.56,25 Mar 2024
2024-03-24,106.65,107.62,109.21,77.56,24 Mar 2024
2024-03-23,106.65,107.62,109.21,77.56,23 Mar 2024
2024-03-22,106.78,107.63,109.09,77.61,22 Mar 2024
2024-03-21,106.28,107.9,109.46,77.27,21 Mar 2024
2024-03-20,106.68,107.61,109.58,77.19,20 Mar 2024
2024-03-19,106.62,107.58,109.56,77.77,19 Mar 2024
2024-03-18,106.18,107.65,109.52,78.3,18 Mar 2024
2024-03-17,106.18,107.65,109.52,78.3,17 Mar 2024
2024-03-16,106.18,107.65,109.52,78.3,16 Mar 2024
2024-03-15,106.08,107.51,109.59,78.46,15 Mar 2024
2024-03-14,105.8,107.59,109.64,78.69,14 Mar 2024
2024-03-13,105.84,107.68,109.66,78.7,13 Mar 2024
2024-03-12,105.88,107.47,109.5,78.71,12 Mar 2024
2024-03-11,105.76,107.43,109.82,79.21,11 Mar 2024
2024-03-10,105.76,107.43,109.82,79.21,10 Mar 2024
2024-03-09,105.76,107.43,109.82,79.21,09 Mar 2024
2024-03-08,105.8,107.52,109.92,79.03,08 Mar 2024
2024-03-07,106.07,107.41,109.48,78.89,07 Mar 2024
2024-03-06,106.38,107.46,109.42,78.1,06 Mar 2024
2024-03-05,106.58,107.41,109.31,77.84,05 Mar 2024
2024-03-04,106.6,107.34,109.21,77.69,04 Mar 2024
2024-03-03,106.6,107.34,109.21,77.69,03 Mar 2024
2024-03-02,106.6,107.34,109.21,77.69,02 Mar 2024
2024-03-01,106.72,107.1,109.05,77.74,01 Mar 2024
2024-02-29,106.74,107.2,109.02,77.96,29 Feb 2024
2024-02-28,106.83,107.05,109.07,77.72,28 Feb 2024
2024-02-27,106.55,107.32,109.16,77.85,27 Feb 2024
2024-02-26,106.63,107.3,109.31,77.66,26 Feb 2024
2024-02-25,106.63,107.3,109.31,77.66,25 Feb 2024
2024-02-24,106.63,107.3,109.31,77.66,24 Feb 2024
2024-02-23,106.57,107.11,109.39,77.76,23 Feb 2024
2024-02-22,106.51,107.15,109.05,77.67,22 Feb 2024
2024-02-21,106.63,106.95,108.91,77.97,21 Feb 2024
2024-02-20,106.62,106.96,108.85,77.94,20 Feb 2024
2024-02-19,106.68,106.74,108.99,78.07,19 Feb 2024
2024-02-18,106.68,106.74,108.99,78.07,18 Feb 2024
2024-02-17,106.68,106.74,108.99,78.07,17 Feb 2024
2024-02-16,106.71,106.74,108.76,77.86,16 Feb 2024
2024-02-15,106.85,106.57,108.61,78.03,15 Feb 2024
2024-02-14,107,106.36,108.98,77.86,14 Feb 2024
2024-02-13,106.52,106.65,109.42,78.28,13 Feb 2024
2024-02-12,106.57,106.52,108.95,78.49,12 Feb 2024
2024-02-11,106.57,106.52,108.95,78.49,11 Feb 2024
2024-02-10,106.57,106.52,108.95,78.49,10 Feb 2024
2024-02-09,106.67,106.58,108.92,78.29,09 Feb 2024
2024-02-08,106.69,106.43,108.92,78.42,08 Feb 2024
2024-02-07,106.48,106.45,109.03,78.87,07 Feb 2024
2024-02-06,106.65,106.29,108.7,78.76,06 Feb 2024
