date,geo,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Jul 2025,Aug 2025,Sep 2025,Policy rate
2022-01-01,Fed,,,,,,,,,,,,,,,,,,0.125
2022-01-02,Fed,,,,,,,,,,,,,,,,,,0.125
2022-01-03,Fed,,,,,,,,,,,,,,,,,,0.125
2022-01-04,Fed,,,,,,,,,,,,,,,,,,0.125
2022-01-05,Fed,,,,,,,,,,,,,,,,,,0.125
2022-01-06,Fed,,,,,,,,,,,,,,,,,,0.125
2022-01-07,Fed,,,,,,,,,,,,,,,,,,0.125
2022-01-08,Fed,,,,,,,,,,,,,,,,,,0.125
2022-01-09,Fed,,,,,,,,,,,,,,,,,,0.125
2022-01-10,Fed,,,,,,,,,,,,,,,,,,0.125
2022-01-11,Fed,,,,,,,,,,,,,,,,,,0.125
2022-01-12,Fed,,,,,,,,,,,,,,,,,,0.125
2022-01-13,Fed,,,,,,,,,,,,,,,,,,0.125
2022-01-14,Fed,,,,,,,,,,,,,,,,,,0.125
2022-01-15,Fed,,,,,,,,,,,,,,,,,,0.125
2022-01-16,Fed,,,,,,,,,,,,,,,,,,0.125
2022-01-17,Fed,,,,,,,,,,,,,,,,,,0.125
2022-01-18,Fed,,,,,,,,,,,,,,,,,,0.125
2022-01-19,Fed,,,,,,,,,,,,,,,,,,0.125
2022-01-20,Fed,,,,,,,,,,,,,,,,,,0.125
2022-01-21,Fed,,,,,,,,,,,,,,,,,,0.125
2022-01-22,Fed,,,,,,,,,,,,,,,,,,0.125
2022-01-23,Fed,,,,,,,,,,,,,,,,,,0.125
2022-01-24,Fed,,,,,,,,,,,,,,,,,,0.125
2022-01-25,Fed,,,,,,,,,,,,,,,,,,0.125
2022-01-26,Fed,,,,,,,,,,,,,,,,,,0.125
2022-01-27,Fed,,,,,,,,,,,,,,,,,,0.125
2022-01-28,Fed,,,,,,,,,,,,,,,,,,0.125
2022-01-29,Fed,,,,,,,,,,,,,,,,,,0.125
2022-01-30,Fed,,,,,,,,,,,,,,,,,,0.125
2022-01-31,Fed,,,,,,,,,,,,,,,,,,0.125
2022-01-31,Fed,,,,,,,,,,,,,,,,,,0.125
2022-01-31,Fed,,,,,,,,,,,,,,,,,,0.125
2022-01-31,Fed,,,,,,,,,,,,,,,,,,0.125
2022-01-31,Fed,,,,,,,,,,,,,,,,,,0.125
2022-01-31,Fed,,,,,,,,,,,,,,,,,,0.125
2022-01-31,Fed,,,,,,,,,,,,,,,,,,0.125
2022-01-31,Fed,,,,,,,,,,,,,,,,,,0.125
2022-01-31,Fed,,,,,,,,,,,,,,,,,,0.125
2022-01-31,Fed,,,,,,,,,,,,,,,,,,0.125
2022-01-31,Fed,,,,,,,,,,,,,,,,,,0.125
2022-01-31,Fed,,,,,,,,,,,,,,,,,,0.125
2022-01-31,Fed,,,,,,,,,,,,,,,,,,0.125
2022-01-31,Fed,,,,,,,,,,,,,,,,,,0.125
2022-01-31,Fed,,,,,,,,,,,,,,,,,,0.125
2022-01-31,Fed,,,,,,,,,,,,,,,,,,0.125
2022-02-01,Fed,,,,,,,,,,,,,,,,,,0.125
2022-02-02,Fed,,,,,,,,,,,,,,,,,,0.125
2022-02-03,Fed,,,,,,,,,,,,,,,,,,0.125
2022-02-04,Fed,,,,,,,,,,,,,,,,,,0.125
