date,1,2,3,4,5,6,7,8,9,10,Period,Quarter points,Popup,implied_rate_moves,geo
2024-12-13,-1,-1,-1,-1,-0.579986572265625,0,0,0,0,0,End 2024,5,2024-12-13,-4.579986572265625,ECB
2024-12-06,-1,-1,-1,-1,-0.6999999999999886,0,0,0,0,0,End 2024,5,2024-12-06,-4.699999999999989,ECB
2024-11-29,-1,-1,-1,-1,-0.8000000000000114,0,0,0,0,0,End 2024,5,2024-11-29,-4.800000000000011,ECB
2024-11-22,-1,-1,-1,-1,-1,-0.01999999999998181,0,0,0,0,End 2024,5,2024-11-22,-5.019999999999982,ECB
2024-11-15,-1,-1,-1,-1,-0.8199999999999932,0,0,0,0,0,End 2024,5,2024-11-15,-4.819999999999993,ECB
2024-11-08,-1,-1,-1,-1,-0.7200000000000273,0,0,0,0,0,End 2024,5,2024-11-08,-4.720000000000027,ECB
2024-11-01,-1,-1,-1,-1,-0.7200000000000273,0,0,0,0,0,End 2024,5,2024-11-01,-4.720000000000027,ECB
2024-10-25,-1,-1,-1,-1,-1,0,0,0,0,0,End 2024,5,2024-10-25,-5,ECB
2024-10-18,-1,-1,-1,-1,-0.8000000000000114,0,0,0,0,0,End 2024,5,2024-10-18,-4.800000000000011,ECB
2024-10-11,-1,-1,-1,-1,-0.2799999999999727,0,0,0,0,0,End 2024,4,2024-10-11,-4.279999999999973,ECB
2024-10-04,-1,-1,-1,-1,-0.5199999999999818,0,0,0,0,0,End 2024,5,2024-10-04,-4.519999999999982,ECB
2024-09-27,-1,-1,-1,-1,-0.6000000000000227,0,0,0,0,0,End 2024,5,2024-09-27,-4.600000000000023,ECB
2024-09-20,-1,-1,-1,-0.8999999999999773,0,0,0,0,0,0,End 2024,4,2024-09-20,-3.8999999999999773,ECB
2024-09-13,-1,-1,-1,-0.9599999999999795,0,0,0,0,0,0,End 2024,4,2024-09-13,-3.9599999999999795,ECB
2024-09-06,-1,-1,-1,-1,-0.19999999999998863,0,0,0,0,0,End 2024,4,2024-09-06,-4.199999999999989,ECB
2024-08-30,-1,-1,-1,-0.8999999999999773,0,0,0,0,0,0,End 2024,4,2024-08-30,-3.8999999999999773,ECB
2024-08-23,-1,-1,-1,-1,-0.07999999999998408,0,0,0,0,0,End 2024,4,2024-08-23,-4.079999999999984,ECB
2024-08-16,-1,-1,-1,-0.9200000000000159,0,0,0,0,0,0,End 2024,4,2024-08-16,-3.920000000000016,ECB
2024-08-09,-1,-1,-1,-1,-0.040000000000020464,0,0,0,0,0,End 2024,4,2024-08-09,-4.0400000000000205,ECB
2024-08-02,-1,-1,-1,-1,-0.19999999999998863,0,0,0,0,0,End 2024,4,2024-08-02,-4.199999999999989,ECB
