date,1,2,3,4,5,6,7,8,9,10,Period,Quarter points,Popup,implied_rate_moves,geo
2025-09-19,-1,-1,-0.8799999999999955,0,0,0,0,0,0,0,End 2025,3,2025-09-19,-2.8799999999999955,Fed
2025-09-12,-1,-1,-0.9599999999999795,0,0,0,0,0,0,0,End 2025,3,2025-09-12,-2.9599999999999795,Fed
2025-09-05,-1,-1,-0.9800000000000182,0,0,0,0,0,0,0,End 2025,3,2025-09-05,-2.980000000000018,Fed
2025-08-29,-1,-1,-0.4200000000000159,0,0,0,0,0,0,0,End 2025,2,2025-08-29,-2.420000000000016,Fed
2025-08-22,-1,-1,-0.4200000000000159,0,0,0,0,0,0,0,End 2025,2,2025-08-22,-2.420000000000016,Fed
2025-08-15,-1,-1,-0.3199999999999932,0,0,0,0,0,0,0,End 2025,2,2025-08-15,-2.319999999999993,Fed
2025-08-08,-1,-1,-0.45999999999997954,0,0,0,0,0,0,0,End 2025,2,2025-08-08,-2.4599999999999795,Fed
2025-08-01,-1,-1,-0.5400000000000205,0,0,0,0,0,0,0,End 2025,3,2025-08-01,-2.5400000000000205,Fed
2025-07-25,-1,-0.8199999999999932,0,0,0,0,0,0,0,0,End 2025,2,2025-07-25,-1.8199999999999932,Fed
2025-07-18,-1,-0.8999999999999773,0,0,0,0,0,0,0,0,End 2025,2,2025-07-18,-1.8999999999999773,Fed
2025-07-11,-1,-1,-0.01999999999998181,0,0,0,0,0,0,0,End 2025,2,2025-07-11,-2.019999999999982,Fed
2025-07-04,-1,-1,-0.160000000000025,0,0,0,0,0,0,0,End 2025,2,2025-07-04,-2.160000000000025,Fed
2025-06-27,-1,-1,-0.7400000000000091,0,0,0,0,0,0,0,End 2025,3,2025-06-27,-2.740000000000009,Fed
2025-06-20,-1,-1,-0.12000000000000455,0,0,0,0,0,0,0,End 2025,2,2025-06-20,-2.1200000000000045,Fed
2025-06-13,-1,-1,-0.10000000000002274,0,0,0,0,0,0,0,End 2025,2,2025-06-13,-2.1000000000000227,Fed
2025-06-06,-1,-0.8600000000000136,0,0,0,0,0,0,0,0,End 2025,2,2025-06-06,-1.8600000000000136,Fed
2025-05-30,-1,-1,-0.2799999999999727,0,0,0,0,0,0,0,End 2025,2,2025-05-30,-2.2799999999999727,Fed
2025-05-23,-1,-1,-0.07999999999998408,0,0,0,0,0,0,0,End 2025,2,2025-05-23,-2.079999999999984,Fed
2025-05-16,-1,-1,-0.19999999999998863,0,0,0,0,0,0,0,End 2025,2,2025-05-16,-2.1999999999999886,Fed
2025-05-09,-1,-1,-0.8199999999999932,0,0,0,0,0,0,0,End 2025,3,2025-05-09,-2.819999999999993,Fed
2025-05-02,-1,-1,-1,-0.2599999999999909,0,0,0,0,0,0,End 2025,3,2025-05-02,-3.259999999999991,Fed
2025-04-25,-1,-1,-1,-0.660000000000025,0,0,0,0,0,0,End 2025,4,2025-04-25,-3.660000000000025,Fed
2025-04-18,-1,-1,-1,-0.6399999999999864,0,0,0,0,0,0,End 2025,4,2025-04-18,-3.6399999999999864,Fed
2025-04-11,-1,-1,-1,-0.18000000000000682,0,0,0,0,0,0,End 2025,3,2025-04-11,-3.180000000000007,Fed
2025-04-04,-1,-1,-1,-1,-0.12000000000000455,0,0,0,0,0,End 2025,4,2025-04-04,-4.1200000000000045,Fed
