Central bank,date,Policy rate,Today,Last month,Start of year
BoE,18993,0.25,,,
BoE,18994,0.25,,,
BoE,18995,0.25,,,
BoE,18996,0.25,,,
BoE,18997,0.25,,,
BoE,18998,0.25,,,
BoE,18999,0.25,,,
BoE,19000,0.25,,,
BoE,19001,0.25,,,
BoE,19002,0.25,,,
BoE,19003,0.25,,,
BoE,19004,0.25,,,
BoE,19005,0.25,,,
BoE,19006,0.25,,,
BoE,19007,0.25,,,
BoE,19008,0.25,,,
BoE,19009,0.25,,,
BoE,19010,0.25,,,
BoE,19011,0.25,,,
BoE,19012,0.25,,,
BoE,19013,0.25,,,
BoE,19014,0.25,,,
BoE,19015,0.25,,,
BoE,19016,0.25,,,
BoE,19017,0.25,,,
BoE,19018,0.25,,,
BoE,19019,0.25,,,
BoE,19020,0.25,,,
BoE,19021,0.25,,,
BoE,19022,0.25,,,
BoE,19023,0.25,,,
BoE,19024,0.25,,,
BoE,19025,0.25,,,
BoE,19026,0.5,,,
BoE,19027,0.5,,,
BoE,19028,0.5,,,
BoE,19029,0.5,,,
BoE,19030,0.5,,,
BoE,19031,0.5,,,
BoE,19032,0.5,,,
BoE,19033,0.5,,,
BoE,19034,0.5,,,
BoE,19035,0.5,,,
BoE,19036,0.5,,,
BoE,19037,0.5,,,
BoE,19038,0.5,,,
BoE,19039,0.5,,,
BoE,19040,0.5,,,
BoE,19041,0.5,,,
BoE,19042,0.5,,,
BoE,19043,0.5,,,
BoE,19044,0.5,,,
BoE,19045,0.5,,,
BoE,19046,0.5,,,
BoE,19047,0.5,,,
BoE,19048,0.5,,,
BoE,19049,0.5,,,
BoE,19050,0.5,,,
BoE,19051,0.5,,,
BoE,19052,0.5,,,
BoE,19053,0.5,,,
BoE,19054,0.5,,,
BoE,19055,0.5,,,
BoE,19056,0.5,,,
BoE,19057,0.5,,,
BoE,19058,0.5,,,
BoE,19059,0.5,,,
BoE,19060,0.5,,,
BoE,19061,0.5,,,
BoE,19062,0.5,,,
BoE,19063,0.5,,,
BoE,19064,0.5,,,
BoE,19065,0.5,,,
BoE,19066,0.5,,,
BoE,19067,0.5,,,
BoE,19068,0.75,,,
BoE,19069,0.75,,,
BoE,19070,0.75,,,
BoE,19071,0.75,,,
BoE,19072,0.75,,,
BoE,19073,0.75,,,
BoE,19074,0.75,,,
BoE,19075,0.75,,,
BoE,19076,0.75,,,
BoE,19077,0.75,,,
BoE,19078,0.75,,,
BoE,19079,0.75,,,
BoE,19080,0.75,,,
BoE,19081,0.75,,,
BoE,19082,0.75,,,
BoE,19083,0.75,,,
BoE,19084,0.75,,,
BoE,19085,0.75,,,
BoE,19086,0.75,,,
BoE,19087,0.75,,,
BoE,19088,0.75,,,
BoE,19089,0.75,,,
BoE,19090,0.75,,,
BoE,19091,0.75,,,
BoE,19092,0.75,,,
BoE,19093,0.75,,,
BoE,19094,0.75,,,
BoE,19095,0.75,,,
BoE,19096,0.75,,,
BoE,19097,0.75,,,
BoE,19098,0.75,,,
BoE,19099,0.75,,,
BoE,19100,0.75,,,
BoE,19101,0.75,,,
BoE,19102,0.75,,,
BoE,19103,0.75,,,
BoE,19104,0.75,,,
BoE,19105,0.75,,,
BoE,19106,0.75,,,
BoE,19107,0.75,,,
BoE,19108,0.75,,,
BoE,19109,0.75,,,
BoE,19110,0.75,,,
BoE,19111,0.75,,,
BoE,19112,0.75,,,
BoE,19113,0.75,,,
BoE,19114,0.75,,,
BoE,19115,0.75,,,
BoE,19116,0.75,,,
BoE,19117,1,,,
BoE,19118,1,,,
BoE,19119,1,,,
BoE,19120,1,,,
BoE,19121,1,,,
BoE,19122,1,,,
BoE,19123,1,,,
BoE,19124,1,,,
BoE,19125,1,,,
BoE,19126,1,,,
BoE,19127,1,,,
BoE,19128,1,,,
BoE,19129,1,,,
BoE,19130,1,,,
BoE,19131,1,,,
BoE,19132,1,,,
BoE,19133,1,,,
BoE,19134,1,,,
BoE,19135,1,,,
BoE,19136,1,,,
BoE,19137,1,,,
BoE,19138,1,,,
BoE,19139,1,,,
BoE,19140,1,,,
BoE,19141,1,,,
BoE,19142,1,,,
BoE,19143,1,,,
BoE,19144,1,,,
BoE,19145,1,,,
BoE,19146,1,,,
BoE,19147,1,,,
BoE,19148,1,,,
BoE,19149,1,,,
BoE,19150,1,,,
BoE,19151,1,,,
BoE,19152,1,,,
BoE,19153,1,,,
BoE,19154,1,,,
BoE,19155,1,,,
BoE,19156,1,,,
BoE,19157,1,,,
BoE,19158,1,,,
BoE,19159,1.25,,,
BoE,19160,1.25,,,
BoE,19161,1.25,,,
BoE,19162,1.25,,,
BoE,19163,1.25,,,
BoE,19164,1.25,,,
BoE,19165,1.25,,,
BoE,19166,1.25,,,
BoE,19167,1.25,,,
BoE,19168,1.25,,,
BoE,19169,1.25,,,
BoE,19170,1.25,,,
