Central bank,date,Policy rate,Today,Last month,Start of year
BoJ,18993,-0.1,,,
BoJ,18994,-0.1,,,
BoJ,18995,-0.1,,,
BoJ,18996,-0.1,,,
BoJ,18997,-0.1,,,
BoJ,18998,-0.1,,,
BoJ,18999,-0.1,,,
BoJ,19000,-0.1,,,
BoJ,19001,-0.1,,,
BoJ,19002,-0.1,,,
BoJ,19003,-0.1,,,
BoJ,19004,-0.1,,,
BoJ,19005,-0.1,,,
BoJ,19006,-0.1,,,
BoJ,19007,-0.1,,,
BoJ,19008,-0.1,,,
BoJ,19009,-0.1,,,
BoJ,19010,-0.1,,,
BoJ,19011,-0.1,,,
BoJ,19012,-0.1,,,
BoJ,19013,-0.1,,,
BoJ,19014,-0.1,,,
BoJ,19015,-0.1,,,
BoJ,19016,-0.1,,,
BoJ,19017,-0.1,,,
BoJ,19018,-0.1,,,
BoJ,19019,-0.1,,,
BoJ,19020,-0.1,,,
BoJ,19021,-0.1,,,
BoJ,19022,-0.1,,,
BoJ,19023,-0.1,,,
BoJ,19024,-0.1,,,
BoJ,19025,-0.1,,,
BoJ,19026,-0.1,,,
BoJ,19027,-0.1,,,
BoJ,19028,-0.1,,,
BoJ,19029,-0.1,,,
BoJ,19030,-0.1,,,
BoJ,19031,-0.1,,,
BoJ,19032,-0.1,,,
BoJ,19033,-0.1,,,
BoJ,19034,-0.1,,,
BoJ,19035,-0.1,,,
BoJ,19036,-0.1,,,
BoJ,19037,-0.1,,,
BoJ,19038,-0.1,,,
BoJ,19039,-0.1,,,
BoJ,19040,-0.1,,,
BoJ,19041,-0.1,,,
BoJ,19042,-0.1,,,
BoJ,19043,-0.1,,,
BoJ,19044,-0.1,,,
BoJ,19045,-0.1,,,
BoJ,19046,-0.1,,,
BoJ,19047,-0.1,,,
BoJ,19048,-0.1,,,
BoJ,19049,-0.1,,,
BoJ,19050,-0.1,,,
BoJ,19051,-0.1,,,
BoJ,19052,-0.1,,,
BoJ,19053,-0.1,,,
BoJ,19054,-0.1,,,
BoJ,19055,-0.1,,,
BoJ,19056,-0.1,,,
BoJ,19057,-0.1,,,
BoJ,19058,-0.1,,,
BoJ,19059,-0.1,,,
BoJ,19060,-0.1,,,
BoJ,19061,-0.1,,,
BoJ,19062,-0.1,,,
BoJ,19063,-0.1,,,
BoJ,19064,-0.1,,,
BoJ,19065,-0.1,,,
BoJ,19066,-0.1,,,
BoJ,19067,-0.1,,,
BoJ,19068,-0.1,,,
BoJ,19069,-0.1,,,
BoJ,19070,-0.1,,,
BoJ,19071,-0.1,,,
BoJ,19072,-0.1,,,
BoJ,19073,-0.1,,,
BoJ,19074,-0.1,,,
BoJ,19075,-0.1,,,
BoJ,19076,-0.1,,,
BoJ,19077,-0.1,,,
BoJ,19078,-0.1,,,
BoJ,19079,-0.1,,,
BoJ,19080,-0.1,,,
BoJ,19081,-0.1,,,
BoJ,19082,-0.1,,,
BoJ,19083,-0.1,,,
BoJ,19084,-0.1,,,
BoJ,19085,-0.1,,,
BoJ,19086,-0.1,,,
BoJ,19087,-0.1,,,
BoJ,19088,-0.1,,,
BoJ,19089,-0.1,,,
BoJ,19090,-0.1,,,
BoJ,19091,-0.1,,,
BoJ,19092,-0.1,,,
BoJ,19093,-0.1,,,
BoJ,19094,-0.1,,,
BoJ,19095,-0.1,,,
BoJ,19096,-0.1,,,
BoJ,19097,-0.1,,,
BoJ,19098,-0.1,,,
BoJ,19099,-0.1,,,
BoJ,19100,-0.1,,,
BoJ,19101,-0.1,,,
BoJ,19102,-0.1,,,
BoJ,19103,-0.1,,,
BoJ,19104,-0.1,,,
BoJ,19105,-0.1,,,
BoJ,19106,-0.1,,,
BoJ,19107,-0.1,,,
BoJ,19108,-0.1,,,
BoJ,19109,-0.1,,,
BoJ,19110,-0.1,,,
BoJ,19111,-0.1,,,
BoJ,19112,-0.1,,,
BoJ,19113,-0.1,,,
BoJ,19114,-0.1,,,
BoJ,19115,-0.1,,,
BoJ,19116,-0.1,,,
BoJ,19117,-0.1,,,
BoJ,19118,-0.1,,,
BoJ,19119,-0.1,,,
BoJ,19120,-0.1,,,
BoJ,19121,-0.1,,,
BoJ,19122,-0.1,,,
BoJ,19123,-0.1,,,
BoJ,19124,-0.1,,,
BoJ,19125,-0.1,,,
BoJ,19126,-0.1,,,
BoJ,19127,-0.1,,,
BoJ,19128,-0.1,,,
BoJ,19129,-0.1,,,
BoJ,19130,-0.1,,,
BoJ,19131,-0.1,,,
BoJ,19132,-0.1,,,
BoJ,19133,-0.1,,,
BoJ,19134,-0.1,,,
BoJ,19135,-0.1,,,
BoJ,19136,-0.1,,,
BoJ,19137,-0.1,,,
BoJ,19138,-0.1,,,
BoJ,19139,-0.1,,,
BoJ,19140,-0.1,,,
BoJ,19141,-0.1,,,
BoJ,19142,-0.1,,,
BoJ,19143,-0.1,,,
BoJ,19144,-0.1,,,
BoJ,19145,-0.1,,,
BoJ,19146,-0.1,,,
BoJ,19147,-0.1,,,
BoJ,19148,-0.1,,,
BoJ,19149,-0.1,,,
BoJ,19150,-0.1,,,
BoJ,19151,-0.1,,,
BoJ,19152,-0.1,,,
BoJ,19153,-0.1,,,
BoJ,19154,-0.1,,,
BoJ,19155,-0.1,,,
BoJ,19156,-0.1,,,
BoJ,19157,-0.1,,,
BoJ,19158,-0.1,,,
BoJ,19159,-0.1,,,
BoJ,19160,-0.1,,,
BoJ,19161,-0.1,,,
BoJ,19162,-0.1,,,
BoJ,19163,-0.1,,,
BoJ,19164,-0.1,,,
BoJ,19165,-0.1,,,
BoJ,19166,-0.1,,,
BoJ,19167,-0.1,,,
BoJ,19168,-0.1,,,
BoJ,19169,-0.1,,,
BoJ,19170,-0.1,,,
BoJ,19171,-0.1,,,
BoJ,19172,-0.1,,,
BoJ,19173,-0.1,,,
BoJ,19174,-0.1,,,
BoJ,19175,-0.1,,,
BoJ,19176,-0.1,,,
BoJ,19177,-0.1,,,
BoJ,19178,-0.1,,,
BoJ,19179,-0.1,,,
BoJ,19180,-0.1,,,
BoJ,19181,-0.1,,,
BoJ,19182,-0.1,,,
BoJ,19183,-0.1,,,
BoJ,19184,-0.1,,,
BoJ,19185,-0.1,,,
BoJ,19186,-0.1,,,
BoJ,19187,-0.1,,,
BoJ,19188,-0.1,,,
BoJ,19189,-0.1,,,
BoJ,19190,-0.1,,,
BoJ,19191,-0.1,,,
BoJ,19192,-0.1,,,
BoJ,19193,-0.1,,,
BoJ,19194,-0.1,,,
BoJ,19195,-0.1,,,
BoJ,19196,-0.1,,,
