Central bank,date,Policy rate,Today,Last month,Start of year
ECB,18993,-0.5,,,
ECB,18994,-0.5,,,
ECB,18995,-0.5,,,
ECB,18996,-0.5,,,
ECB,18997,-0.5,,,
ECB,18998,-0.5,,,
ECB,18999,-0.5,,,
ECB,19000,-0.5,,,
ECB,19001,-0.5,,,
ECB,19002,-0.5,,,
ECB,19003,-0.5,,,
ECB,19004,-0.5,,,
ECB,19005,-0.5,,,
ECB,19006,-0.5,,,
ECB,19007,-0.5,,,
ECB,19008,-0.5,,,
ECB,19009,-0.5,,,
ECB,19010,-0.5,,,
ECB,19011,-0.5,,,
ECB,19012,-0.5,,,
ECB,19013,-0.5,,,
ECB,19014,-0.5,,,
ECB,19015,-0.5,,,
ECB,19016,-0.5,,,
ECB,19017,-0.5,,,
ECB,19018,-0.5,,,
ECB,19019,-0.5,,,
ECB,19020,-0.5,,,
ECB,19021,-0.5,,,
ECB,19022,-0.5,,,
ECB,19023,-0.5,,,
ECB,19024,-0.5,,,
ECB,19025,-0.5,,,
ECB,19026,-0.5,,,
ECB,19027,-0.5,,,
ECB,19028,-0.5,,,
ECB,19029,-0.5,,,
ECB,19030,-0.5,,,
ECB,19031,-0.5,,,
ECB,19032,-0.5,,,
ECB,19033,-0.5,,,
ECB,19034,-0.5,,,
ECB,19035,-0.5,,,
ECB,19036,-0.5,,,
ECB,19037,-0.5,,,
ECB,19038,-0.5,,,
ECB,19039,-0.5,,,
ECB,19040,-0.5,,,
ECB,19041,-0.5,,,
ECB,19042,-0.5,,,
ECB,19043,-0.5,,,
ECB,19044,-0.5,,,
ECB,19045,-0.5,,,
ECB,19046,-0.5,,,
ECB,19047,-0.5,,,
ECB,19048,-0.5,,,
ECB,19049,-0.5,,,
ECB,19050,-0.5,,,
ECB,19051,-0.5,,,
ECB,19052,-0.5,,,
ECB,19053,-0.5,,,
ECB,19054,-0.5,,,
ECB,19055,-0.5,,,
ECB,19056,-0.5,,,
ECB,19057,-0.5,,,
ECB,19058,-0.5,,,
ECB,19059,-0.5,,,
ECB,19060,-0.5,,,
ECB,19061,-0.5,,,
ECB,19062,-0.5,,,
ECB,19063,-0.5,,,
ECB,19064,-0.5,,,
ECB,19065,-0.5,,,
ECB,19066,-0.5,,,
ECB,19067,-0.5,,,
ECB,19068,-0.5,,,
ECB,19069,-0.5,,,
ECB,19070,-0.5,,,
ECB,19071,-0.5,,,
ECB,19072,-0.5,,,
ECB,19073,-0.5,,,
ECB,19074,-0.5,,,
ECB,19075,-0.5,,,
ECB,19076,-0.5,,,
ECB,19077,-0.5,,,
ECB,19078,-0.5,,,
ECB,19079,-0.5,,,
ECB,19080,-0.5,,,
ECB,19081,-0.5,,,
ECB,19082,-0.5,,,
ECB,19083,-0.5,,,
ECB,19084,-0.5,,,
ECB,19085,-0.5,,,
ECB,19086,-0.5,,,
ECB,19087,-0.5,,,
ECB,19088,-0.5,,,
ECB,19089,-0.5,,,
ECB,19090,-0.5,,,
ECB,19091,-0.5,,,
ECB,19092,-0.5,,,
ECB,19093,-0.5,,,
ECB,19094,-0.5,,,
ECB,19095,-0.5,,,
ECB,19096,-0.5,,,
ECB,19097,-0.5,,,
ECB,19098,-0.5,,,
ECB,19099,-0.5,,,
ECB,19100,-0.5,,,
ECB,19101,-0.5,,,
ECB,19102,-0.5,,,
ECB,19103,-0.5,,,
ECB,19104,-0.5,,,
ECB,19105,-0.5,,,
ECB,19106,-0.5,,,
ECB,19107,-0.5,,,
ECB,19108,-0.5,,,
ECB,19109,-0.5,,,
ECB,19110,-0.5,,,
ECB,19111,-0.5,,,
ECB,19112,-0.5,,,
ECB,19113,-0.5,,,
ECB,19114,-0.5,,,
ECB,19115,-0.5,,,
ECB,19116,-0.5,,,
ECB,19117,-0.5,,,
ECB,19118,-0.5,,,
ECB,19119,-0.5,,,
ECB,19120,-0.5,,,
ECB,19121,-0.5,,,
ECB,19122,-0.5,,,
ECB,19123,-0.5,,,
ECB,19124,-0.5,,,
ECB,19125,-0.5,,,
ECB,19126,-0.5,,,
ECB,19127,-0.5,,,
ECB,19128,-0.5,,,
ECB,19129,-0.5,,,
ECB,19130,-0.5,,,
ECB,19131,-0.5,,,
ECB,19132,-0.5,,,
ECB,19133,-0.5,,,
ECB,19134,-0.5,,,
ECB,19135,-0.5,,,
ECB,19136,-0.5,,,
ECB,19137,-0.5,,,
ECB,19138,-0.5,,,
ECB,19139,-0.5,,,
ECB,19140,-0.5,,,
ECB,19141,-0.5,,,
ECB,19142,-0.5,,,
ECB,19143,-0.5,,,
ECB,19144,-0.5,,,
ECB,19145,-0.5,,,
ECB,19146,-0.5,,,
ECB,19147,-0.5,,,
ECB,19148,-0.5,,,
ECB,19149,-0.5,,,
ECB,19150,-0.5,,,
ECB,19151,-0.5,,,
ECB,19152,-0.5,,,
ECB,19153,-0.5,,,
ECB,19154,-0.5,,,
ECB,19155,-0.5,,,
ECB,19156,-0.5,,,
ECB,19157,-0.5,,,
ECB,19158,-0.5,,,
ECB,19159,-0.5,,,
ECB,19160,-0.5,,,
ECB,19161,-0.5,,,
ECB,19162,-0.5,,,
ECB,19163,-0.5,,,
ECB,19164,-0.5,,,
