Date,Meeting,meeting_month,forecast_category, ,Probability
2022-12-15,2023-02-01,Feb 2023,Cut,Superforecasters,0
2022-12-15,2023-02-01,Feb 2023,Hold,Superforecasters,3
2022-12-15,2023-02-01,Feb 2023,Raise,Superforecasters,97
2022-12-16,2023-02-01,Feb 2023,Cut,Superforecasters,0
2022-12-16,2023-02-01,Feb 2023,Hold,Superforecasters,2
2022-12-16,2023-02-01,Feb 2023,Raise,Superforecasters,98
2022-12-17,2023-02-01,Feb 2023,Cut,Superforecasters,0
2022-12-17,2023-02-01,Feb 2023,Hold,Superforecasters,2
2022-12-17,2023-02-01,Feb 2023,Raise,Superforecasters,98
2022-12-18,2023-02-01,Feb 2023,Cut,Superforecasters,0
2022-12-18,2023-02-01,Feb 2023,Hold,Superforecasters,4
2022-12-18,2023-02-01,Feb 2023,Raise,Superforecasters,96
2022-12-19,2023-02-01,Feb 2023,Cut,Superforecasters,0
2022-12-19,2023-02-01,Feb 2023,Hold,Superforecasters,4
2022-12-19,2023-02-01,Feb 2023,Raise,Superforecasters,96
2022-12-20,2023-02-01,Feb 2023,Cut,Superforecasters,0
2022-12-20,2023-02-01,Feb 2023,Hold,Superforecasters,7.000000000000001
2022-12-20,2023-02-01,Feb 2023,Raise,Superforecasters,93
2022-12-21,2023-02-01,Feb 2023,Cut,Superforecasters,0
2022-12-21,2023-02-01,Feb 2023,Hold,Superforecasters,5
2022-12-21,2023-02-01,Feb 2023,Raise,Superforecasters,95
2022-12-22,2023-02-01,Feb 2023,Cut,Superforecasters,0
2022-12-22,2023-02-01,Feb 2023,Hold,Superforecasters,5
2022-12-22,2023-02-01,Feb 2023,Raise,Superforecasters,95
2022-12-23,2023-02-01,Feb 2023,Cut,Superforecasters,0
2022-12-23,2023-02-01,Feb 2023,Hold,Superforecasters,7.000000000000001
2022-12-23,2023-02-01,Feb 2023,Raise,Superforecasters,93
2022-12-24,2023-02-01,Feb 2023,Cut,Superforecasters,0
2022-12-24,2023-02-01,Feb 2023,Hold,Superforecasters,7.000000000000001
2022-12-24,2023-02-01,Feb 2023,Raise,Superforecasters,93
2022-12-25,2023-02-01,Feb 2023,Cut,Superforecasters,0
2022-12-25,2023-02-01,Feb 2023,Hold,Superforecasters,8
2022-12-25,2023-02-01,Feb 2023,Raise,Superforecasters,92
2022-12-26,2023-02-01,Feb 2023,Cut,Superforecasters,0
2022-12-26,2023-02-01,Feb 2023,Hold,Superforecasters,8
2022-12-26,2023-02-01,Feb 2023,Raise,Superforecasters,92
2022-12-27,2023-02-01,Feb 2023,Cut,Superforecasters,0
2022-12-27,2023-02-01,Feb 2023,Hold,Superforecasters,8
2022-12-27,2023-02-01,Feb 2023,Raise,Superforecasters,92
2022-12-28,2023-02-01,Feb 2023,Cut,Superforecasters,0
2022-12-28,2023-02-01,Feb 2023,Hold,Superforecasters,8
2022-12-28,2023-02-01,Feb 2023,Raise,Superforecasters,92
2022-12-29,2023-02-01,Feb 2023,Cut,Superforecasters,0
2022-12-29,2023-02-01,Feb 2023,Hold,Superforecasters,7.000000000000001
2022-12-29,2023-02-01,Feb 2023,Raise,Superforecasters,93
2022-12-30,2023-02-01,Feb 2023,Cut,Superforecasters,0
2022-12-30,2023-02-01,Feb 2023,Hold,Superforecasters,7.000000000000001
2022-12-30,2023-02-01,Feb 2023,Raise,Superforecasters,93
2022-12-31,2023-02-01,Feb 2023,Cut,Superforecasters,0
2022-12-31,2023-02-01,Feb 2023,Hold,Superforecasters,7.000000000000001
2022-12-31,2023-02-01,Feb 2023,Raise,Superforecasters,93
2023-01-01,2023-02-01,Feb 2023,Cut,Superforecasters,0
