date,Date,Macro Mood (daily),Macro Mood,n_articles
2025-08-30,2025-08-30,-0.02033882545908401,NA,43
2025-08-29,2025-08-29,-0.03939401248309676,NA,129
2025-08-28,2025-08-28,-0.06052337953895979,NA,100
2025-08-27,2025-08-27,-0.05076680791498985,NA,93
2025-08-26,2025-08-26,-0.08608593581377212,NA,76
2025-08-25,2025-08-25,-0.05910807861993127,NA,72
2025-08-24,2025-08-24,-0.0534060043852578,-0.05280329203072737,34
2025-08-23,2025-08-23,-0.03822723994945299,-0.05535877981506579,43
2025-08-22,2025-08-22,-0.04306363624728977,-0.05588301178137907,109
2025-08-21,2025-08-21,-0.0308929193769017,-0.05165008890108507,95
2025-08-20,2025-08-20,-0.04827833071604327,-0.05129459215837841,91
2025-08-19,2025-08-19,-0.03420559115385706,-0.04388311434981912,86
2025-08-18,2025-08-18,-0.02189907403233414,-0.03856754226587667,163
2025-08-17,2025-08-17,-0.07684537665623936,-0.04191602401887404,29
2025-08-16,2025-08-16,-0.0294968530262255,-0.0406688258869844,59
2025-08-15,2025-08-15,-0.02938952361653001,-0.03871538122544728,155
2025-08-14,2025-08-14,-0.02748286391964272,-0.03822823044583886,93
2025-08-13,2025-08-13,-0.03868446934608828,-0.03685767882155959,113
2025-08-12,2025-08-12,-0.0472478394078612,-0.03872085714356017,87
2025-08-11,2025-08-11,-0.04894322684217715,-0.04258430754496632,97
2025-08-10,2025-08-10,-0.05228186861787155,-0.03907523496805663,31
2025-08-09,2025-08-09,-0.04315230537035704,-0.04102601387436113,42
2025-08-08,2025-08-08,-0.05078805836942227,-0.0440829474104886,121
2025-08-07,2025-08-07,-0.04430575084711274,-0.04648621697155575,139
2025-08-06,2025-08-06,-0.06356073518627187,-0.05003996923443912,102
2025-08-05,2025-08-05,-0.07924472214686856,-0.05461095248286874,86
2025-08-04,2025-08-04,-0.0557748361877735,-0.05558689667509679,94
2025-08-03,2025-08-03,-0.0738263394128951,-0.05866467821724301,37
2025-08-02,2025-08-02,-0.03055202905212775,-0.05686463874321025,46
2025-08-01,2025-08-01,-0.05212324605444437,-0.05705537984107056,157
2025-07-31,2025-07-31,-0.04040749421913539,-0.05649848603707379,134
2025-07-30,2025-07-30,-0.01629868406996495,-0.04974676444902994,137
2025-07-29,2025-07-29,-0.03335917401528983,-0.04319168614451869,100
2025-07-28,2025-07-28,-0.05300641034795698,-0.04279619673883063,142
2025-07-27,2025-07-27,-0.08046638657261798,-0.04374477490450531,42
2025-07-26,2025-07-26,-0.0286328031529184,-0.04347059977604684,40
2025-07-25,2025-07-25,-0.04410571956826591,-0.04232523884944991,124
2025-07-24,2025-07-24,-0.0537254196309907,-0.0442277996225721,119
2025-07-23,2025-07-23,-0.05689621125343246,-0.05002744636306747,100
2025-07-22,2025-07-22,-0.05238531942425143,-0.05274546713577627,101
2025-07-21,2025-07-21,-0.07669321750135648,-0.05612929672911905,94
2025-07-20,2025-07-20,-0.07597210321852056,-0.05548725624996227,39
2025-07-19,2025-07-19,-0.0216975709311436,-0.05449650878970873,41
2025-07-18,2025-07-18,-0.03727359804350837,-0.05352049142902909,123
2025-07-17,2025-07-17,-0.06805457893568542,-0.05556751418684263,101
2025-07-16,2025-07-16,-0.0381609425670136,-0.05289104723163993,107
2025-07-15,2025-07-15,-0.00780704860343235,-0.04652272282866577,155
2025-07-14,2025-07-14,-0.04627472040892039,-0.04217722324403205,98
2025-07-13,2025-07-13,-0.05306685311724993,-0.03890504465813625,43
2025-07-12,2025-07-12,-0.03668041631888565,-0.04104545114209939,41
2025-07-11,2025-07-11,-0.04598611044876159,-0.04229009577142128,116
2025-07-10,2025-07-10,-0.05042069973450747,-0.03977097017125301,120
2025-07-09,2025-07-09,-0.06643851322770762,-0.04381062312278071,139
2025-07-08,2025-07-08,-0.04636712072270809,-0.04931920485410582,134
2025-07-07,2025-07-07,-0.04474729405728334,-0.04910100108958624,97
2025-07-06,2025-07-06,-0.08416812072202172,-0.05354403931883935,46
2025-07-05,2025-07-05,-0.02623195638528019,-0.05205140218546715,50
2025-07-04,2025-07-04,-0.04826337607341865,-0.05237672584613244,110
2025-07-03,2025-07-03,-0.04150653933776159,-0.05110327436088303,104
2025-07-02,2025-07-02,-0.06962066336963008,-0.05155786723830052,106
2025-07-01,2025-07-01,-0.05793320761887714,-0.05321016536632467,95
2025-06-30,2025-06-30,-0.06605575324957798,-0.05625423096522391,100
2025-06-29,2025-06-29,-0.08927757801106352,-0.05698415343508702,48
2025-06-28,2025-06-28,-0.02868900723169547,-0.05733516069886063,55
2025-06-27,2025-06-27,-0.05764382579962826,-0.05867522494546201,114
2025-06-26,2025-06-26,-0.08701208709175429,-0.06517601748174669,104
2025-06-25,2025-06-25,-0.02273314198382944,-0.05847780014091802,175
2025-06-24,2025-06-24,-0.05515286334296883,-0.05808060810150254,149
2025-06-23,2025-06-23,-0.04144640015970578,-0.0545649862315208,202
2025-06-22,2025-06-22,-0.03747169789351928,-0.04716414621472877,146
2025-06-21,2025-06-21,-0.02413055323876759,-0.04651293850145334,48
2025-06-20,2025-06-20,-0.03788794148497841,-0.04369066931364623,169
2025-06-19,2025-06-19,-0.05995574914652733,-0.03982547817861381,98
2025-06-18,2025-06-18,-0.05353226702223923,-0.04422535318410092,117
2025-06-17,2025-06-17,-0.0524343613763558,-0.04383699576029905,121
2025-06-16,2025-06-16,-0.05875274987599731,-0.046309331434055,101
2025-06-15,2025-06-15,-0.06793262629474119,-0.05066089263422956,51
2025-06-14,2025-06-14,-0.03392442436752033,-0.05206001708119423,67
2025-06-13,2025-06-13,-0.05125043823040128,-0.05396894518768321,107
2025-06-12,2025-06-12,-0.05528339611837061,-0.05330146618366083,109
2025-06-11,2025-06-11,-0.045055291228371,-0.05209046964167965,110
2025-06-10,2025-06-10,-0.05340892859772381,-0.05222969353044651,105
2025-06-09,2025-06-09,-0.04759954180142917,-0.05063637809122249,101
2025-06-08,2025-06-08,-0.06818768538608701,-0.05067281510427189,49
2025-06-07,2025-06-07,-0.03718537441764691,-0.05113866511143283,59
2025-06-06,2025-06-06,-0.05177516924860617,-0.0512136266854621,109
2025-06-05,2025-06-05,-0.07913835979536198,-0.05462147863931799,108
2025-06-04,2025-06-04,-0.06377722089870297,-0.05729604002079401,107
2025-06-03,2025-06-03,-0.07085392846633788,-0.05978818285916743,98
2025-06-02,2025-06-02,-0.05285531476725866,-0.06053900756857165,101
2025-06-01,2025-06-01,-0.06072324344041662,-0.05947265871919018,61
2025-05-31,2025-05-31,-0.02922174222025423,-0.05833499697670551,58
2025-05-30,2025-05-30,-0.04853178970317192,-0.05787165704164347,112
2025-05-29,2025-05-29,-0.08283157355527654,-0.05839925900734555,88
2025-05-28,2025-05-28,-0.05771521237755384,-0.05753325779003853,108
2025-05-27,2025-05-27,-0.05167337679037286,-0.05479317897918639,95
2025-05-26,2025-05-26,-0.0443578781027468,-0.05357925945568469,83
2025-05-25,2025-05-25,-0.06195106590586014,-0.05375466266503376,44
2025-05-24,2025-05-24,-0.02961628710180725,-0.05381102621954133,57
2025-05-23,2025-05-23,-0.04642967855041764,-0.05351072462629073,124
2025-05-22,2025-05-22,-0.08035293870652672,-0.05315663393361218,112
2025-05-21,2025-05-21,-0.05402019680887376,-0.05262877456665788,122
2025-05-20,2025-05-20,-0.07482816202004025,-0.05593660102803894,69
2025-05-19,2025-05-19,-0.05803103361731174,-0.05788990895869107,92
2025-05-18,2025-05-18,-0.04952184482445174,-0.0561143059470613,48
2025-05-17,2025-05-17,-0.02253584140002644,-0.05510281370394975,63
2025-05-16,2025-05-16,-0.04961363174303646,-0.05555766416003816,128
2025-05-15,2025-05-15,-0.05352594076909678,-0.05172523588326246,112
2025-05-14,2025-05-14,-0.04891407020847795,-0.05099578922606306,105
2025-05-13,2025-05-13,-0.06037626944019211,-0.04893123314322761,107
2025-05-12,2025-05-12,-0.04095802465813036,-0.04649223186334455,101
2025-05-11,2025-05-11,-0.0590922229204413,-0.0478594287342002,44
2025-05-10,2025-05-10,-0.02693720751008196,-0.04848819532135099,63
2025-05-09,2025-05-09,-0.02815352326606607,-0.04542246553892665,121
2025-05-08,2025-05-08,-0.05215964141307196,-0.04522727991663738,103
2025-05-07,2025-05-07,-0.06093847172576341,-0.04694505156196388,105
2025-05-06,2025-05-06,-0.07762565710932183,-0.04940924980041099,88
2025-05-05,2025-05-05,-0.0649529717263828,-0.0528370993815899,86
2025-05-04,2025-05-04,-0.06251541313134404,-0.053326126554576,45
