week,n,Mood (weekly),Mood,Week
2025-07-05,137,-0.05012611314242345,-0.0812960612777752,2025-07-05
2025-06-28,125,-0.05910697513035611,-0.06619409769819035,2025-06-28
2025-06-21,136,-0.29930383763441215,-0.0753859123457043,2025-06-21
2025-06-14,178,0.08335268079609093,-0.00684750851473963,2025-06-14
2025-06-07,180,0.01028174117591594,-0.01166123162034928,2025-06-07
2025-05-31,148,-0.09587423372041191,-0.04761855818799851,2025-05-31
2025-05-24,144,-0.02515022231055351,-0.05943898009511336,2025-05-24
2025-05-17,163,0.06409778837365235,-0.07772012248704549,2025-05-17
2025-05-10,180,-0.13354756509468096,-0.13353315403577642,2025-05-10
2025-05-03,183,-0.14315592134887134,-0.18077528914174687,2025-05-03
2025-04-26,162,-0.098274791878282,-0.23462137603865865,2025-04-26
2025-04-19,191,-0.15915433782127142,-0.2260424595009517,2025-04-19
2025-04-12,274,-0.3225161055185627,-0.27799947637650113,2025-04-12
2025-04-05,196,-0.35854026893651836,-0.265838073088178,2025-04-05
2025-03-29,184,-0.0639591257274543,-0.2370720978628107,2025-03-29
2025-03-22,168,-0.3669824053234691,-0.2381411609454044,2025-03-22
2025-03-15,160,-0.27387049236527006,-0.19852144120075343,2025-03-15
2025-03-08,163,-0.2434763680350494,-0.1720098796141782,2025-03-08
2025-03-01,142,-0.06823537805782906,-0.1967283825004184,2025-03-01
2025-02-22,121,-0.20850352634486524,-0.2101256852018678,2025-02-22
2025-02-15,142,-0.16782424601896914,-0.22689149063435687,2025-02-15
2025-02-08,156,-0.34235037958001013,-0.21404416494160977,2025-02-08
2025-02-01,148,-0.12182458886362664,-0.23140138215930223,2025-02-01
2025-01-25,142,-0.27556674807482157,-0.26833926911942374,2025-01-25
2025-01-18,123,-0.11643494324798064,-0.2842743145987972,2025-01-18
2025-01-11,108,-0.41177924845078007,-0.3026099091943868,2025-01-11
2025-01-04,80,-0.2695761367041128,-0.2954215728984636,2025-01-04
2024-12-28,59,-0.33930692999231526,-0.28971169226442683,2024-12-28
2024-12-21,138,-0.18977732163033917,-0.28415705795662805,2024-12-21
2024-12-14,161,-0.3830259032670874,-0.30334898588471754,2024-12-14
2024-12-07,135,-0.2467366141679657,-0.2346904468144282,2024-12-07
2024-11-30,139,-0.3170883927611199,-0.2058369342300124,2024-11-30
2024-11-23,131,-0.26654503334269714,-0.16506915779451456,2024-11-23
2024-11-16,124,-0.10839174698593018,-0.15602698721415104,2024-11-16
2024-11-09,159,-0.1313225638303025,-0.1769547397197439,2024-11-09
2024-11-02,184,-0.15401728701912842,-0.1788240418482165,2024-11-02
2024-10-26,133,-0.230376351021243,-0.15828319154995643,2024-10-26
2024-10-19,138,-0.19210275700830168,-0.18736418939984745,2024-10-19
2024-10-12,135,-0.13879977234419286,-0.1981105365261583,2024-10-12
2024-10-05,107,-0.07185388582608825,-0.2234337670894753,2024-10-05
2024-09-28,138,-0.3467003424208069,-0.2756394597433589,2024-09-28
2024-09-21,133,-0.23508814551354512,-0.2518076526205846,2024-09-21
2024-09-14,130,-0.2400926945974608,-0.24557514720572737,2024-09-14
2024-09-07,139,-0.2806766564416227,-0.2297302319759294,2024-09-07
2024-08-31,115,-0.2513731139297098,-0.20512090179324777,2024-08-31
2024-08-24,118,-0.2101581238541162,-0.2156667000691849,2024-08-24
2024-08-17,99,-0.17671303367826902,-0.21241762946124804,2024-08-17
2024-08-10,96,-0.1822393357108959,-0.2256344333287026,2024-08-10
2024-08-03,125,-0.2935563070334585,-0.19076617138064225,2024-08-03
2024-07-27,109,-0.1971618414223688,-0.17280219252963253,2024-07-27
2024-07-20,114,-0.2295802491480872,-0.181591744285958,2024-07-20
2024-07-13,103,-0.04276628791865446,-0.19833666243655795,2024-07-13
2024-07-06,92,-0.22170039162941968,-0.24256143265841484,2024-07-06
2024-06-29,124,-0.23232004844767068,-0.22154984928696295,2024-06-29
2024-06-22,125,-0.29655992175048695,-0.1995759485456988,2024-06-22
2024-06-15,123,-0.21966536880608217,-0.18520108343103023,2024-06-15
2024-06-08,104,-0.13765405814361198,-0.15290266498183108,2024-06-08
2024-06-01,113,-0.144424445482614,-0.11715756713197506,2024-06-01
2024-05-25,118,-0.2390604612918128,-0.15700882473273065,2024-05-25
2024-05-18,129,-0.0904716950092855,-0.14624995324509155,2024-05-18
2024-05-11,107,0.00532633325581204,-0.1932442312137235,2024-05-11
2024-05-04,119,-0.30382947588563636,-0.2232404002977833,2024-05-04
2024-04-27,123,-0.19602497534125657,-0.17144656936770294,2024-04-27
2024-04-20,127,-0.2784488068838131,-0.1981326964777047,2024-04-20
2024-04-13,134,-0.11465834308042726,-0.1461714225746338,2024-04-13
2024-04-06,114,-0.09665415216531492,-0.1532771012621761,2024-04-06
2024-03-30,94,-0.30276948378126356,-0.1831896830819952,2024-03-30
2024-03-23,126,-0.07060371127152955,-0.1452529858706031,2024-03-23
2024-03-16,146,-0.14308105783059646,-0.1774596284688857,2024-03-16
2024-03-09,154,-0.21630447944459127,-0.19484010216596087,2024-03-09
2024-03-02,114,-0.15102269493569503,-0.20423757183965072,2024-03-02
2024-02-24,136,-0.19943028166466,-0.2196457061764731,2024-02-24
2024-02-17,103,-0.21260295261889728,-0.20401588171174329,2024-02-17
2024-02-10,124,-0.2538943581393507,-0.2213296324196711,2024-02-10
2024-02-03,128,-0.21265523228298447,-0.2208556839536832,2024-02-03
2024-01-27,128,-0.13691098380574077,-0.2182590083786719,2024-01-27
2024-01-20,155,-0.28185795545060854,-0.2594752694698458,2024-01-20
2024-01-13,120,-0.2519985642753991,-0.2794857750221932,2024-01-13
2024-01-06,104,-0.2022685299829393,-0.27321919787135496,2024-01-06
2023-12-30,62,-0.30177602817043636,-0.2846730140835938,2023-12-30
2023-12-23,127,-0.361899977659998,-0.29119762580331415,2023-12-23
2023-12-16,129,-0.2269322556720462,-0.266566597109264,2023-12-16
2023-12-09,154,-0.24808379483189472,-0.2648223241375426,2023-12-09
2023-12-02,130,-0.32787447504931766,-0.28103062968644793,2023-12-02
2023-11-25,175,-0.26337586288379744,-0.3042073550441967,2023-11-25
2023-11-18,146,-0.21995516378516047,-0.3206289671164276,2023-11-18
2023-11-11,143,-0.31291701702751623,-0.33344433299634674,2023-11-11
2023-11-04,140,-0.4205813764803128,-0.3234257955899744,2023-11-04
2023-10-28,132,-0.3290623111727208,-0.31545234643605824,2023-10-28
2023-10-21,114,-0.27121662730483714,-0.3183078918751574,2023-10-21
2023-10-14,120,-0.27284286740202696,-0.2824001462457643,2023-10-14
2023-10-07,151,-0.388687579864648,-0.2899828076565495,2023-10-07
2023-09-30,157,-0.3404844929291174,-0.27029978186424475,2023-09-30
2023-09-23,159,-0.12758564478726497,-0.2451929137550797,2023-09-23
2023-09-16,153,-0.3031735130451676,-0.3229811839981432,2023-09-16
2023-09-09,158,-0.309955476695429,-0.32168994620949987,2023-09-09
2023-09-02,128,-0.24005702049245728,-0.3298721859357645,2023-09-02
2023-08-26,125,-0.4387387257595188,-0.3294256049367158,2023-08-26
2023-08-19,134,-0.29800856189059427,-0.27931623390299865,2023-08-19
2023-08-12,118,-0.3426844356004878,-0.2451638238820607,2023-08-12
2023-08-05,122,-0.23827069649626245,-0.20645944657361637,2023-08-05
2023-07-29,138,-0.2383012416246501,-0.20559685047080356,2023-07-29
2023-07-22,145,-0.16139892180684262,-0.19914782325260905,2023-07-22
2023-07-15,168,-0.18786692636671024,-0.17102810981179783,2023-07-15
2023-07-08,157,-0.2348203120850112,-0.2017404242637764,2023-07-08
2023-07-01,156,-0.2125051327518721,-0.21866543372896977,2023-07-01
