date,Week,Macro Mood (week),Macro Mood
2025-09-27,2025-09-27,-0.04008935459074038,-0.0459515339951169
2025-09-20,2025-09-20,-0.04374251162742712,-0.04947343006932703
2025-09-13,2025-09-13,-0.04845000818681373,-0.04762812816798039
2025-09-06,2025-09-06,-0.05152426157548637,-0.04484701778626646
2025-08-30,2025-08-30,-0.0541769388875809,-0.04619313439704546
2025-08-23,2025-08-23,-0.03636130402204055,-0.04303751634327154
2025-08-16,2025-08-16,-0.037325566659958,-0.04778850279582949
2025-08-09,2025-08-09,-0.05690872801860239,-0.04761176000051501
2025-08-02,2025-08-02,-0.04155446667248522,-0.04656969287376314
2025-07-26,2025-07-26,-0.05536524983227237,-0.05037250620750473
2025-07-19,2025-07-19,-0.03661859547870005,-0.04796972967706368
2025-07-12,2025-07-12,-0.05274045951159492,-0.0513836683000945
2025-07-05,2025-07-05,-0.05676572000745158,-0.05073535640982062
2025-06-28,2025-06-28,-0.04575414371050815,-0.05178293327571013
2025-06-21,2025-06-21,-0.05027434997082333,-0.05393681421995444
2025-06-14,2025-06-14,-0.0501472119504994,-0.05575702819945115
2025-06-07,2025-06-07,-0.06095602747100965,-0.05537865882486057
2025-05-31,2025-05-31,-0.05436966748748538,-0.0532758262492851
2025-05-24,2025-05-24,-0.05755520588881015,-0.0531089964050813
2025-05-17,2025-05-17,-0.04863373445213711,-0.05345261956007058
2025-05-10,2025-05-10,-0.05254469716870778,-0.0600953250656658
2025-05-03,2025-05-03,-0.05370234811067017,-0.07011948912681275
2025-04-26,2025-04-26,-0.05892969850876727,-0.07574976306140732
2025-04-19,2025-04-19,-0.07520455647451799,-0.07632256818189474
2025-04-12,2025-04-12,-0.0926413534132956,-0.07272711922682606
2025-04-05,2025-04-05,-0.07622344384904847,-0.06470407101452523
2025-03-29,2025-03-29,-0.06122091899071695,-0.05884227085108873
2025-03-22,2025-03-22,-0.06082276065424323,-0.05661893728206934
2025-03-15,2025-03-15,-0.06054916056409224,-0.0543526705794885
2025-03-08,2025-03-08,-0.05277624319530252,-0.0520319020056426
2025-03-01,2025-03-01,-0.05232758471463936,-0.05439582219518624
2025-02-22,2025-02-22,-0.05175769384391991,-0.05406994474037872
2025-02-15,2025-02-15,-0.05126608626870861,-0.05300953705422482
2025-02-08,2025-02-08,-0.06223192395347707,-0.05035769213162488
2025-02-01,2025-02-01,-0.05102407489540929,-0.04729804037094316
2025-01-25,2025-01-25,-0.04751606309930432,-0.04449414144247526
2025-01-18,2025-01-18,-0.04065870657830883,-0.04403273908542978
2025-01-11,2025-01-11,-0.04999331691075018,-0.04709651840194649
2025-01-04,2025-01-04,-0.03980847918153775,-0.04641652063613641
2024-12-28,2024-12-28,-0.04567045367112236,-0.04839163015605904
2024-12-21,2024-12-21,-0.05291382384437569,-0.05076167226972933
2024-12-14,2024-12-14,-0.04727332584750982,-0.04974466307089532
2024-12-07,2024-12-07,-0.04770891726122831,-0.04785441032764467
2024-11-30,2024-11-30,-0.0551506221258035,-0.04867108816008222
2024-11-23,2024-11-23,-0.0488457870490397,-0.04810828457613832
2024-11-16,2024-11-16,-0.03971231487450719,-0.04709414515817811
2024-11-09,2024-11-09,-0.05097562859097847,-0.04961115791084773
2024-11-02,2024-11-02,-0.05289940779002795,-0.04892641777964334
2024-10-26,2024-10-26,-0.04478922937719883,-0.04655732762127499
2024-10-19,2024-10-19,-0.04978036588518565,-0.04702528518079119
2024-10-12,2024-10-12,-0.048236668066160913,-0.04578049387325033
2024-10-05,2024-10-05,-0.04342304715655457,-0.04791224352679269
2024-09-28,2024-09-28,-0.04666105961526363,-0.05206605682723315
2024-09-21,2024-09-21,-0.04480120065502221,-0.05214234123702409
2024-09-14,2024-09-14,-0.05676366668033033,-0.05061985125428446
2024-09-07,2024-09-07,-0.06003830035831646,-0.04578689296726521
2024-08-31,2024-08-31,-0.04696619725442737,-0.04272946221494975
2024-08-24,2024-08-24,-0.03871124072406368,-0.03959556337013972
2024-08-17,2024-08-17,-0.03743183353225331,-0.04122563589495369
2024-08-10,2024-08-10,-0.04780857734905465,-0.04180068499605175
2024-08-03,2024-08-03,-0.03443060187518723,-0.04091910723125158
2024-07-27,2024-07-27,-0.04523153082331958,-0.04232335599745368
2024-07-20,2024-07-20,-0.03973202993664554,-0.04496329321337662
2024-07-13,2024-07-13,-0.044282266289854,-0.04717417410098831
2024-07-06,2024-07-06,-0.04004759693999561,-0.04826638388678569
2024-06-29,2024-06-29,-0.05579127968701133,-0.04980511257447397
2024-06-22,2024-06-22,-0.0485755534870923,-0.04756186043055897
2024-06-15,2024-06-15,-0.04865110543304355,-0.04768794130157311
2024-06-08,2024-06-08,-0.04620251169074867,-0.04676052394556675
2024-06-01,2024-06-01,-0.04681827111135141,-0.04334804266136802
2024-05-25,2024-05-25,-0.0490798769711488,-0.04294546264166307
2024-05-18,2024-05-18,-0.04494143600901814,-0.03918745077649271
2024-05-11,2024-05-11,-0.03255258655395371,-0.04252803342903766
2024-05-04,2024-05-04,-0.04520795103253164,-0.04492406673213127
