date,Unemployment,Job vacancies,Negotiated wages,Unit labour costs,Compensation per employee
2024-06-30,6.464403,2.6,3.55,NA,NA
2024-05-31,6.448925,NA,NA,NA,NA
2024-04-30,6.43186,NA,NA,NA,NA
2024-03-31,6.494515,2.8692685596335,4.74,5.391191706805818,4.773724850389302
2024-02-29,6.548372,NA,NA,NA,NA
2024-01-31,6.53818,NA,NA,NA,NA
2023-12-31,6.518218,2.8688713560873,4.48,3.960678233141684,4.88073084703008
2023-11-30,6.538834,NA,NA,NA,NA
2023-10-31,6.567132,NA,NA,NA,NA
2023-09-30,6.561707,2.9813353375924,4.71,5.411354192977908,5.316664187990923
2023-08-31,6.523365,NA,NA,NA,NA
2023-07-31,6.549637,NA,NA,NA,NA
2023-06-30,6.484802,3.1187380350901,4.39,5.2984069711530575,5.471281952666047
2023-05-31,6.503823,NA,NA,NA,NA
2023-04-30,6.530822,NA,NA,NA,NA
2023-03-31,6.550682,3.1990853535202,4.32,3.9970927842666613,5.451163325531612
2023-02-28,6.589453,NA,NA,NA,NA
2023-01-31,6.671844,NA,NA,NA,NA
2022-12-31,6.708703,3.2123981393839,3.09,4.807230585954898,4.859909364956602
2022-11-30,6.681886,NA,NA,NA,NA
2022-10-31,6.664902,NA,NA,NA,NA
2022-09-30,6.699271,3.2080441613257,3,3.6712825396789848,4.069173876000088
2022-08-31,6.724133,NA,NA,NA,NA
2022-07-31,6.683682,NA,NA,NA,NA
2022-06-30,6.751478,3.3,2.61,2.1149954695425888,4.409195798192455
2022-05-31,6.751565,NA,NA,NA,NA
2022-04-30,6.780711,NA,NA,NA,NA
2022-03-31,6.822005,3.2426444231879,2.98,2.2876728212305677,4.4683280621813095
2022-02-28,6.831916,NA,NA,NA,NA
2022-01-31,6.913552,NA,NA,NA,NA
2021-12-31,7.014152,2.9041296998588,1.36,1.3483774433034157,3.8687260759025346
2021-11-30,7.122751,NA,NA,NA,NA
2021-10-31,7.250274,NA,NA,NA,NA
2021-09-30,7.390054,2.6604661899935,1.13,3.466886446975264,3.6068590394670514
2021-08-31,7.553067,NA,NA,NA,NA
2021-07-31,7.688952,NA,NA,NA,NA
2021-06-30,7.898931,2.3980485455029,1.62,-2.962941378391647,7.543052416888924
2021-05-31,8.102954,NA,NA,NA,NA
2021-04-30,8.276153,NA,NA,NA,NA
2021-03-31,8.217788,2.1777050107812,1.32,2.869333818982421,2.273015457908988
2021-02-28,8.253198,NA,NA,NA,NA
2021-01-31,8.254308,NA,NA,NA,NA
2020-12-31,8.20862,1.9042006235962,1.87,5.625227198168669,1.1611544650178682
2020-11-30,8.193981,NA,NA,NA,NA
2020-10-31,8.353134,NA,NA,NA,NA
2020-09-30,8.554749,1.7886556829319,1.61,2.907536338729768,0.8195664374327122
2020-08-31,8.60026,NA,NA,NA,NA
2020-07-31,8.471135,NA,NA,NA,NA
2020-06-30,8.089845,1.684265088023,1.67,10.751944157494368,-4.162697598509813
2020-05-31,7.646498,NA,NA,NA,NA
2020-04-30,7.416385,NA,NA,NA,NA
2020-03-31,7.20849,2.104577908262,1.92,4.78449575939647,0.5748501199797938
2020-02-29,7.327555,NA,NA,NA,NA
2020-01-31,7.482392,NA,NA,NA,NA
2019-12-31,7.474221,2.3142448730464,1.96,2.8215052337595954,1.823134924603224
2019-11-30,7.47188,NA,NA,NA,NA
2019-10-31,7.427549,NA,NA,NA,NA
2019-09-30,7.44003,2.2584488803207,2.52,2.4382024813541396,2.2157113816907903
2019-08-31,7.4561,NA,NA,NA,NA
2019-07-31,7.523087,NA,NA,NA,NA
2019-06-30,7.551933,2.3462622075821,1.97,2.699986685278939,2.402258737331876
2019-05-31,7.638639,NA,NA,NA,NA
2019-04-30,7.727731,NA,NA,NA,NA
2019-03-31,7.729396,2.395745075401,2.21,2.625341871719606,2.4279459547137527
2019-02-28,7.812955,NA,NA,NA,NA
2019-01-31,7.849038,NA,NA,NA,NA
2018-12-31,7.867704,2.3086326831149,2.07,2.8262466211136474,2.231247076084497
2018-11-30,7.94367,NA,NA,NA,NA
2018-10-31,8.018982,NA,NA,NA,NA
2018-09-30,8.00872,2.1419958389384,2.09,3.253809928347557,2.4230271467177102
2018-08-31,8.049909,NA,NA,NA,NA
2018-07-31,8.10966,NA,NA,NA,NA
2018-06-30,8.243213,2.1261016714049,2.18,2.4339984566097517,2.0519549047143855
2018-05-31,8.31608,NA,NA,NA,NA
2018-04-30,8.444889,NA,NA,NA,NA
2018-03-31,8.528351,2.1688842039735,1.74,2.2786653004173636,1.7400730726012095
2018-02-28,8.595014,NA,NA,NA,NA
2018-01-31,8.682233,NA,NA,NA,NA
2017-12-31,8.714186,1.9960552623147,1.46,1.9612925204291243,1.9348227585908266
2017-11-30,8.745972,NA,NA,NA,NA
2017-10-31,8.817177,NA,NA,NA,NA
