date,rate,member,vote
1997-06-06,6.5,Willem Buiter,6.5
1997-06-06,6.5,Howard Davies,6.5
1997-06-06,6.5,Eddie George,6.5
1997-06-06,6.5,Charles Goodhart,6.5
1997-06-06,6.5,Mervyn King,6.5
1997-06-06,6.5,Ian Plenderleith,6.5
1997-07-10,6.75,Willem Buiter,6.75
1997-07-10,6.75,Howard Davies,6.75
1997-07-10,6.75,Eddie George,6.75
1997-07-10,6.75,Charles Goodhart,6.75
1997-07-10,6.75,Mervyn King,6.75
1997-07-10,6.75,Ian Plenderleith,6.75
1997-08-07,7.000000000000001,Willem Buiter,7.000000000000001
1997-08-07,7.000000000000001,Eddie George,7.000000000000001
1997-08-07,7.000000000000001,Charles Goodhart,7.000000000000001
1997-08-07,7.000000000000001,Mervyn King,7.000000000000001
1997-08-07,7.000000000000001,Ian Plenderleith,7.000000000000001
1997-09-11,7.000000000000001,Willem Buiter,7.000000000000001
1997-09-11,7.000000000000001,David Clementi,7.000000000000001
1997-09-11,7.000000000000001,Eddie George,7.000000000000001
1997-09-11,7.000000000000001,Charles Goodhart,7.000000000000001
1997-09-11,7.000000000000001,DeAnne Julius,7.000000000000001
1997-09-11,7.000000000000001,Mervyn King,7.000000000000001
1997-09-11,7.000000000000001,Ian Plenderleith,7.000000000000001
1997-10-09,7.000000000000001,Willem Buiter,7.000000000000001
1997-10-09,7.000000000000001,David Clementi,7.000000000000001
1997-10-09,7.000000000000001,Eddie George,7.000000000000001
1997-10-09,7.000000000000001,Charles Goodhart,7.000000000000001
1997-10-09,7.000000000000001,DeAnne Julius,7.000000000000001
1997-10-09,7.000000000000001,Mervyn King,7.000000000000001
1997-10-09,7.000000000000001,Ian Plenderleith,7.000000000000001
1997-11-06,7.249999999999999,Willem Buiter,7.249999999999999
1997-11-06,7.249999999999999,David Clementi,7.249999999999999
1997-11-06,7.249999999999999,Eddie George,7.249999999999999
1997-11-06,7.249999999999999,Charles Goodhart,7.249999999999999
1997-11-06,7.249999999999999,DeAnne Julius,7.249999999999999
1997-11-06,7.249999999999999,Mervyn King,7.249999999999999
1997-11-06,7.249999999999999,Ian Plenderleith,7.249999999999999
1997-12-04,7.249999999999999,Alan Budd,7.249999999999999
1997-12-04,7.249999999999999,Willem Buiter,7.249999999999999
1997-12-04,7.249999999999999,David Clementi,7.249999999999999
1997-12-04,7.249999999999999,Eddie George,7.249999999999999
1997-12-04,7.249999999999999,Charles Goodhart,7.249999999999999
1997-12-04,7.249999999999999,DeAnne Julius,7.249999999999999
1997-12-04,7.249999999999999,Mervyn King,7.249999999999999
1997-12-04,7.249999999999999,Ian Plenderleith,7.249999999999999
1998-01-08,7.249999999999999,Alan Budd,727.5
1998-01-08,7.249999999999999,Willem Buiter,727.5
1998-01-08,7.249999999999999,David Clementi,7.249999999999999
1998-01-08,7.249999999999999,Eddie George,7.249999999999999
1998-01-08,7.249999999999999,Charles Goodhart,727.5
1998-01-08,7.249999999999999,DeAnne Julius,7.249999999999999
1998-01-08,7.249999999999999,Mervyn King,7.249999999999999
1998-01-08,7.249999999999999,Ian Plenderleith,7.249999999999999
1998-02-05,7.249999999999999,Alan Budd,727.5
1998-02-05,7.249999999999999,Willem Buiter,727.5
1998-02-05,7.249999999999999,David Clementi,7.249999999999999
1998-02-05,7.249999999999999,Eddie George,7.249999999999999
1998-02-05,7.249999999999999,Charles Goodhart,727.5
1998-02-05,7.249999999999999,DeAnne Julius,7.249999999999999
1998-02-05,7.249999999999999,Mervyn King,727.5
1998-02-05,7.249999999999999,Ian Plenderleith,7.249999999999999
1998-03-05,7.249999999999999,Alan Budd,727.5
1998-03-05,7.249999999999999,Willem Buiter,727.5
1998-03-05,7.249999999999999,David Clementi,7.249999999999999
1998-03-05,7.249999999999999,Eddie George,7.249999999999999
1998-03-05,7.249999999999999,Charles Goodhart,727.5
1998-03-05,7.249999999999999,DeAnne Julius,7.249999999999999
1998-03-05,7.249999999999999,Mervyn King,727.5
1998-03-05,7.249999999999999,Ian Plenderleith,7.249999999999999
1998-04-09,7.249999999999999,Alan Budd,727.5
1998-04-09,7.249999999999999,Willem Buiter,727.5
1998-04-09,7.249999999999999,David Clementi,7.249999999999999
1998-04-09,7.249999999999999,Eddie George,7.249999999999999
1998-04-09,7.249999999999999,Charles Goodhart,7.249999999999999
1998-04-09,7.249999999999999,DeAnne Julius,7.249999999999999
1998-04-09,7.249999999999999,Mervyn King,727.5
1998-04-09,7.249999999999999,Ian Plenderleith,7.249999999999999
1998-05-07,7.249999999999999,Alan Budd,7.249999999999999
1998-05-07,7.249999999999999,Willem Buiter,727.5
1998-05-07,7.249999999999999,David Clementi,7.249999999999999
1998-05-07,7.249999999999999,Eddie George,7.249999999999999
1998-05-07,7.249999999999999,Charles Goodhart,7.249999999999999
1998-05-07,7.249999999999999,DeAnne Julius,722.5
1998-05-07,7.249999999999999,Mervyn King,7.249999999999999
1998-05-07,7.249999999999999,Ian Plenderleith,7.249999999999999
1998-06-04,7.5,Alan Budd,7.5
1998-06-04,7.5,Willem Buiter,7.5
1998-06-04,7.5,David Clementi,7.5
1998-06-04,7.5,Eddie George,7.5
1998-06-04,7.5,Charles Goodhart,7.5
1998-06-04,7.5,DeAnne Julius,747.5
1998-06-04,7.5,Mervyn King,7.5
1998-06-04,7.5,Ian Plenderleith,7.5
1998-06-04,7.5,John Vickers,7.5
1998-07-09,7.5,Alan Budd,7.5
1998-07-09,7.5,Willem Buiter,7.5
1998-07-09,7.5,David Clementi,7.5
1998-07-09,7.5,Eddie George,7.5
1998-07-09,7.5,Charles Goodhart,7.5
1998-07-09,7.5,DeAnne Julius,7.5
1998-07-09,7.5,Mervyn King,7.5
1998-07-09,7.5,Ian Plenderleith,7.5
1998-07-09,7.5,John Vickers,7.5
1998-08-06,7.5,Alan Budd,7.5
1998-08-06,7.5,Willem Buiter,752.5
1998-08-06,7.5,David Clementi,7.5
1998-08-06,7.5,Eddie George,7.5
1998-08-06,7.5,Charles Goodhart,7.5
1998-08-06,7.5,DeAnne Julius,747.5
1998-08-06,7.5,Mervyn King,7.5
1998-08-06,7.5,Ian Plenderleith,7.5
1998-08-06,7.5,John Vickers,7.5
1998-09-10,7.5,Alan Budd,7.5
1998-09-10,7.5,Willem Buiter,747.5
1998-09-10,7.5,David Clementi,7.5
1998-09-10,7.5,Eddie George,7.5
1998-09-10,7.5,Charles Goodhart,7.5
1998-09-10,7.5,DeAnne Julius,747.5
1998-09-10,7.5,Mervyn King,7.5
1998-09-10,7.5,Ian Plenderleith,7.5
1998-09-10,7.5,John Vickers,7.5
1998-10-08,7.249999999999999,Alan Budd,7.249999999999999
1998-10-08,7.249999999999999,Willem Buiter,722.5
