date,unemp_rate,employed,vacancies,unemployed,unemployed_job,job_unemployed,vu,paye_wage_yoy,paye_payrolls_chg,ons_awe
2025-07-01,NA,NA,718,NA,NA,NA,NA,NA,-8353,NA
2025-06-01,4.7,32565597,725,1672,2.3,0.4347826086956522,0.43361244019138756,3.560274828232355,-26408,4.6
2025-05-01,4.7,32531466,738,1673,2.3,0.4347826086956522,0.4411237298266587,4.230648699467252,-21559,5
2025-04-01,4.6,32430327,762,1640,2.2,0.45454545454545453,0.46463414634146344,4.203262233375157,-17446,5.4
2025-03-01,4.5,32383015,783,1614,2.1,0.47619047619047616,0.4851301115241636,5.611921369689283,-25047,5.6
2025-02-01,4.4,32389768,799,1574,2,0.5,0.5076238881829733,5.966815571155074,-24972,5.7
2025-01-01,4.4,32341895,804,1545,1.9,0.5263157894736842,0.5203883495145631,5.504,2085,5.7
2024-12-01,4.4,32290593,806,1552,1.9,0.5263157894736842,0.5193298969072165,5.393258426966292,-15441,6.1
2024-11-01,4.4,32226702,807,1560,1.9,0.5263157894736842,0.5173076923076924,6.06647305582446,-27500,5.6
2024-10-01,4.3,32225135,823,1505,1.8,0.5555555555555556,0.546843853820598,7.084822879428014,24549,5.4
2024-09-01,4.3,31765852,832,1507,1.8,0.5555555555555556,0.5520902455209025,5.210029306414849,-886,4.6
2024-08-01,4,31839293,845,1440,1.7,0.5882352941176471,0.5868055555555556,4.915364583333334,-23009,4.1
2024-07-01,4.1,31737021,863,1480,1.7,0.5882352941176471,0.5831081081081081,4.5335942596216565,6813,4.4
2024-06-01,4.2,31612373,870,1467,1.7,0.5882352941176471,0.5930470347648262,2.925104468016715,1110,4.8
2024-05-01,4.4,31535253,886,1549,1.7,0.5882352941176471,0.5719819238218206,4.760341431385424,39787,5.8
2024-04-01,4.4,31497628,892,1524,1.7,0.5882352941176471,0.5853018372703412,5.179808644011877,5386,5.8
2024-03-01,4.3,31551506,905,1513,1.7,0.5882352941176471,0.5981493721083939,4.40251572327044,22221,5.9
2024-02-01,4.2,31556283,904,1460,1.6,0.625,0.6191780821917808,4.781009695753928,5957,5.7
2024-01-01,4,31697244,916,1414,1.5,0.6666666666666666,0.6478076379066479,5.006720430107527,14885,5.7
2023-12-01,3.8,31754887,924,1339,1.4,0.7142857142857143,0.690067214339059,5.272051368705643,49522,5.8
2023-11-01,3.9,31735033,948,1373,1.4,0.7142857142857143,0.6904588492352512,4.660587639311044,26279,6.6
2023-10-01,4,31756258,952,1397,1.5,0.6666666666666666,0.6814602720114531,5.196581196581197,29840,7.1
2023-09-01,4.1,31653585,973,1428,1.5,0.6666666666666666,0.6813725490196079,5.5326460481099655,36330,7.8
2023-08-01,4.2,31599739,988,1487,1.5,0.6666666666666666,0.6644250168123739,6.334371754932502,21486,8.2
2023-07-01,4.3,31659430,1010,1511,1.5,0.6666666666666666,0.6684315023163467,6.569343065693431,7323,8.4
2023-06-01,4.2,31757495,1025,1472,1.4,0.7142857142857143,0.6963315217391305,8.852344296710987,40631,8.3
2023-05-01,4,31869886,1043,1396,1.3,0.7692307692307692,0.747134670487106,7.178043631245602,30845,7.2
2023-04-01,3.9,31846604,1075,1350,1.3,0.7692307692307692,0.7962962962962963,6.91358024691358,47241,6.8
2023-03-01,4,31771429,1104,1389,1.3,0.7692307692307692,0.7948164146868251,6.7114093959731544,55813,6.3
2023-02-01,3.9,31743994,1112,1376,1.2,0.8333333333333334,0.8081395348837209,5.763790664780764,55506,5.9
2023-01-01,3.8,31735819,1114,1335,1.2,0.8333333333333334,0.8344569288389513,5.047652665019414,29634,6.1
2022-12-01,3.9,31700244,1138,1350,1.2,0.8333333333333334,0.8429629629629629,6.09537468626748,44938,6.2
2022-11-01,3.8,31710825,1167,1330,1.1,0.9090909090909091,0.8774436090225564,7.516339869281046,63587,6.6
2022-10-01,3.9,31618916,1208,1316,1.1,0.9090909090909091,0.9179331306990881,6.441048034934497,38456,6.2
2022-09-01,3.8,31577044,1222,1275,1,1,0.9584313725490196,6.24315443592552,71323,6
2022-08-01,3.6,31592231,1244,1231,1,1,1.0105605199025183,5.9405940594059405,55038,6.1
2022-07-01,3.7,31519843,1263,1242,1,1,1.0169082125603865,5.733186328555679,73550,5.5
2022-06-01,3.9,31509047,1290,1298,1,1,0.9938366718027735,5.969595847237671,16070,5.2
2022-05-01,3.9,31636559,1300,1281,1,1,1.014832162373146,4.870848708487085,33884,6.5
2022-04-01,4,31524787,1291,1307,1,1,0.9877582249426167,4.41988950276243,26373,7.1
2022-03-01,3.9,31502925,1276,1292,1,1,0.9876160990712074,7.929851315287838,80817,7.3
2022-02-01,4,31416140,1267,1335,1.1,0.9090909090909091,0.949063670411985,7.283763277693475,115977,5.9
2022-01-01,4.1,31387733,1250,1402,1.1,0.9090909090909091,0.891583452211127,7.3106060606060606,51721,5.2
2021-12-01,4.2,31402557,1243,1426,1.1,0.9090909090909091,0.87166900420757365,5.364563656970154,81947,4.9
2021-11-01,4.2,31382106,1223,1435,1.2,0.8333333333333334,0.8522648083623693,4.595518420053171,98224,4.4
2021-10-01,4.3,31371374,1198,1473,1.2,0.8333333333333334,0.813306177868296,4.885496183206107,20146,5.1
2021-09-01,4.4,31335852,1125,1497,1.3,0.7692307692307692,0.751503006012024,5.427251732101617,104343,5.9
2021-08-01,4.6,31279386,1052,1545,1.5,0.6666666666666666,0.6809061488673139,6.108949416342412,148320,7.2
2021-07-01,4.7,31211552,968,1564,1.6,0.625,0.618925831202046,7.379636937647987,117020,8.4
2021-06-01,4.8,31120998,867,1589,1.8,0.5555555555555556,0.5456261799874135,8.052884615384617,164034,8.9
2021-05-01,5,31002079,764,1628,2.1,0.47619047619047616,0.4692874692874693,9.805510534846029,198584,7.5
2021-04-01,5,30965276,659,1640,2.5,0.4,0.40182926829268295,9.652665589660742,116200,5.6
2021-03-01,5.1,30951828,626,1667,2.7,0.37037037037037035,0.3755248950209958,4.3772383605252685,42028,4.2
2021-02-01,5.2,30960641,621,1718,2.8,0.35714285714285715,0.36146682188591384,5.061777600637704,-4244,4.5
2021-01-01,5.3,30901626,617,1761,2.9,0.3448275862068966,0.35036910846110164,5.137395459976105,39617,4.8
2020-12-01,5.3,30915700,602,1791,3,0.3333333333333333,0.3361250697934115,5.668662674650698,36355,4.6
2020-11-01,5.2,31037461,560,1782,3.2,0.3125,0.31425364758698093,5.319999999999999,-75014,3.7
2020-10-01,5.2,31034836,535,1758,3.3,0.30303030303030304,0.3043230944254835,4.925911093311974,-31395,2.8
2020-09-01,5,31062438,490,1688,3.4,0.29411764705882354,0.2902843601895735,4.253611556982344,-62481,1.5
2020-08-01,4.7,31208167,428,1579,3.7,0.27027027027027023,0.2710576314122863,3.295819935691318,-65520,0.1
2020-07-01,4.4,31303116,369,1488,4,0.25,0.24798387096774194,1.56312625250501,-30137,-0.9
2020-06-01,4.2,31328878,328,1390,4.2,0.23809523809523808,0.23597122302158274,0.20072260136491368,-55030,-1.1
2020-05-01,4.2,31404047,471,1408,3,0.3333333333333333,0.33451704545454547,-0.923323966278603,-154333,-0.4
2020-04-01,4.2,31452518,637,1400,2.2,0.45454545454545453,0.455,-0.681909346169274,-448568,0.9
2020-03-01,4.1,31614802,795,1411,1.8,0.5555555555555556,0.5634301913536499,1.1267605633802817,-30755,2.2
2020-02-01,4.1,31729860,819,1364,1.7,0.5882352941176471,0.6004398826979472,3.1661184210526314,-12997,2.8
2020-01-01,4,31681147,812,1341,1.7,0.5882352941176471,0.6055182699478001,3.5891089108910887,59178,3
2019-12-01,3.9,31682071,811,1283,1.6,0.625,0.6321122369446609,3.1713344316309717,18053,2.7
2019-11-01,3.9,31623389,809,1313,1.6,0.625,0.6161462300076161,2.8383381324557795,6714,3.2
2019-10-01,3.9,31540067,813,1300,1.6,0.625,0.6253846153846154,2.504105090311987,6293,3.2
2019-09-01,3.9,31491035,818,1325,1.6,0.625,0.6173584905660378,2.8052805280528053,30926,3.8
2019-08-01,4,31414789,815,1328,1.6,0.625,0.6137048192771084,2.3447141094199915,34180,3.8
2019-07-01,3.9,31513765,821,1321,1.6,0.625,0.6214988644965935,3.2271410839884154,-5240,4
2019-06-01,4,31497329,822,1332,1.6,0.625,0.6171171171171171,2.764026402640264,1560,3.9
2019-05-01,3.9,31469291,835,1300,1.6,0.625,0.6423076923076924,3.575883575883576,12261,3.4
2019-04-01,3.9,31489371,840,1312,1.6,0.625,0.6402439024390244,4.178854993731718,11662,3.2
2019-03-01,3.9,31459754,845,1304,1.5,0.6666666666666666,0.6480061349693251,4.061976549413735,52403,3.3
2019-02-01,4,31482696,847,1343,1.6,0.625,0.6306775874906925,2.1848739495798317,27207,3.6
2019-01-01,4,31467829,855,1338,1.6,0.625,0.6390134529147982,2.4081115335868186,39597,3.4
2018-12-01,4.1,31348633,856,1363,1.6,0.625,0.6280264123257521,2.8813559322033897,105,3.5
2018-11-01,4.1,31312485,862,1370,1.6,0.625,0.6291970802919709,3.4028073160357297,55736,3.4
2018-10-01,4.1,31286018,864,1373,1.6,0.625,0.629278951201748,3.880597014925373,32319,3.4
2018-09-01,4.2,31214083,846,1377,1.6,0.625,0.6143790849673203,3.324808184143223,10069,3.1
2018-08-01,4.1,31209678,842,1363,1.6,0.625,0.6177549523110785,4.022250748823278,38757,2.9
2018-07-01,4.1,31187993,837,1358,1.6,0.625,0.6163475699558174,3.7339055793991416,40138,2.7
2018-06-01,4.1,31195140,832,1362,1.6,0.625,0.6108663729809104,3.900557222460351,18009,2.4
2018-05-01,4.2,31224892,821,1408,1.7,0.5882352941176471,0.5830965909090909,3.086155165023575,27741,2.5
2018-04-01,4.3,31203578,811,1416,1.7,0.5882352941176471,0.5727401129943502,3.05770887166236,36776,2.6
2018-03-01,4.3,31185135,815,1417,1.7,0.5882352941176471,0.5751587861679605,3.1533477321814254,5144,2.6
2018-02-01,4.3,31103811,814,1419,1.7,0.5882352941176471,0.5736434108527132,3.298611111111111,7428,2.9
2018-01-01,4.4,31068746,817,1451,1.8,0.5555555555555556,0.5630599586492074,3.4527972027972025,21376,2.7
2017-12-01,4.4,31011713,820,1463,1.8,0.5555555555555556,0.5604921394395078,2.921936327954645,26924,2.6
2017-11-01,4.3,31073891,819,1437,1.8,0.5555555555555556,0.569937369519833,2.529437418229394,33494,2.5
2017-10-01,4.3,30960928,812,1422,1.8,0.5555555555555556,0.5710267229254571,2.3570493234395458,31994,2.6
2017-09-01,4.3,30927623,800,1429,1.8,0.5555555555555556,0.5598320503848845,2.579798863139484,37459,2.3
2017-08-01,4.4,30976335,793,1452,1.8,0.5555555555555556,0.5461432506887053,2.951541850220264,35203,2.4
2017-07-01,4.4,31023345,784,1457,1.9,0.5263157894736842,0.5380919698009609,2.417582417582418,21090,2.2
2017-06-01,4.5,30950917,786,1485,1.9,0.5263157894736842,0.5292929292929293,2.8206258263552226,34247,2.2
2017-05-01,4.5,30864270,786,1489,1.9,0.5263157894736842,0.5278710543989255,3.093239063190455,39874,1.9
2017-04-01,4.6,30798965,791,1520,1.9,0.5263157894736842,0.5203947368421052,2.471315092674316,34270,2.2
2017-03-01,4.6,30792887,771,1527,2,0.5,0.5049115913555993,3.11804008908686,39209,2.3
2017-02-01,4.7,30727162,764,1550,2,0.5,0.49290322580645163,2.949061662198391,40155,2.1
2017-01-01,4.8,30684575,748,1573,2.1,0.47619047619047616,0.4755244755244755,2.371364653243848,8155,2.1
2016-12-01,4.8,30690531,755,1585,2.1,0.47619047619047616,0.47634069400630913,2.41179097811523,31275,2.5
2016-11-01,4.9,30634996,758,1602,2.1,0.47619047619047616,0.4731585518102372,2.5491949910554563,35940,2.7
2016-10-01,4.9,30622327,765,1613,2.1,0.47619047619047616,0.47427154370737756,2.7354260089686098,28236,2.5
2016-09-01,4.9,30621726,753,1618,2.1,0.47619047619047616,0.465389369592089,2.7865168539325844,33769,2.4
2016-08-01,5,30631231,752,1668,2.2,0.45454545454545453,0.45083932853717024,1.8850987432675044,3515,2.4
2016-07-01,4.9,30632586,747,1635,2.2,0.45454545454545453,0.45688073394495415,2.10951526032316,39254,2.5
2016-06-01,5,30583439,746,1643,2.2,0.45454545454545453,0.4540474741326841,2.115211521152115,38491,2.6
2016-05-01,5,30545784,745,1648,2.2,0.45454545454545453,0.4520631067961165,1.8451845184518452,55454,2.4
2016-04-01,5.1,30464898,742,1666,2.2,0.45454545454545453,0.44537815126050423,1.7055655296229804,-3470,2.2
