geo,Month,Central estimate,bottom,lower_band,central_band,upper_band,Long run,commentary_central,commentary_higher,commentary_lower
Eurozone,2025-06-01,2,1.75,0.25,0,0.25,,Easing continues and the ECB reduces rates again at the prevailing quarter point pace in response to the tariff threa,Inflation expectations jump either from retaliatory tariffs or some other extraneous shock and the ECB holds,"Tariffs hit consumer and business confidence harder than expected, unemployment rises sharply and forces the ECB to cut by a half point"
Eurozone,2025-07-01,2,1.75,0.25,0,0.25,,Having delivered four cuts in total in 2025 and on the cusp of “accomodative” territory the bar to push below 2 per cent will be high,Elevated inflation risks keep the ECB holding higher for longer than expected,The ECB is forced to cut faster as economic data such as unemployment start to show signs of a contraction caused by tariffs and high uncertainty
Eurozone,2025-08-01,,1.6,0.35,0.05,0.25,,,,
Eurozone,2025-09-01,,1.45,0.45,0.1,0.25,,,,
Eurozone,2025-10-01,,1.3,0.55,0.15,0.25,,,,
Eurozone,2025-11-01,,1.15,0.65,0.2,0.25,,,,
Eurozone,2025-12-01,1.875,1,0.75,0.25,0.25,,"The ECB cuts rates five times, taking the benchmark at or just below neutral as the European economy slows down",Tariff impact is less severe than expected and recoveries in consumer spending and investment arrive as expected,The ECB takes rates well below neutral as tariffs prove a bigger shcok to growth than expected and unemployment begins to rise
Eurozone,2026-01-01,,1,0.708333333333333,0.25,0.333333333333333,,,,
Eurozone,2026-02-01,,1,0.666666666666667,0.25,0.416666666666667,,,,
Eurozone,2026-03-01,,1,0.625,0.25,0.5,,,,
Eurozone,2026-04-01,,1,0.583333333333333,0.25,0.583333333333333,,,,
Eurozone,2026-05-01,,1,0.541666666666667,0.25,0.666666666666667,,,,
Eurozone,2026-06-01,1.625,1,0.5,0.25,0.75,,"The ECB delivers another rate cut after December 2025, keeping the stance slightly accommodative",The ECB keeps rates close to neutral as a strong pick-up in consumption keeps inflation at target,The ECB delivers additional rate cuts after persistently weak consumption and an unfavourable international environment raise the risks of undershooting.
Eurozone,2026-07-01,,1,0.5,0.25,0.75,,,,
Eurozone,2026-08-01,,1,0.5,0.25,0.75,,,,
Eurozone,2026-09-01,,1,0.5,0.25,0.75,,,,
Eurozone,2026-10-01,,1,0.5,0.25,0.75,,,,
Eurozone,2026-11-01,,1,0.5,0.25,0.75,,,,
Eurozone,2026-12-01,1.625,1,0.5,0.25,0.75,1.625,"The ECB delivers another rate cut after December 2025, keeping the stance slightly accommodative",The ECB keeps rates close to neutral as a strong pick-up in consumption keeps inflation at target,The ECB delivers additional rate cuts after persistently weak consumption and an unfavourable international environment raise the risks of undershooting.
Eurozone,2027-01-01,,,,,,,,,
Eurozone,2027-02-01,,,,,,,,,
Eurozone,2027-03-01,,0.5,1,1,0.75,2,Interest rates converge on a rate similar to the expected inflation rate and lower than nominal GDP.,More potential investment opportunity or an uplift in productivity would require a higher neutral interest rate.,"Weak potential output and persistently low investment generate few outside options for savings, helping the long-term interest rate to fall to low levels."
