geo,Month,Central estimate,bottom,lower_band,central_band,upper_band,Long run,commentary_central,commentary_higher,commentary_lower
US,2025-12-01,3.625,3,0.5,0.25,0.25,,"The Fed takes another step towards neutral, as signalled",An unexpected development sways the FOMC into a hold,The Fed delivers a jumbo cut as economic activity falls sharply
US,2026-01-01,3.625,3,0.5,0.25,0.5,,The Fed pauses after delivering a rate cut in December,Very firm inflation forces the FOMC into a second consecutive hold,The Fed delivers a fourth consecutive cut as economic activity falls sharply
US,2026-02-01,,2.85,0.55,0.25,0.55,,,,
US,2026-03-01,,2.7,0.6,0.25,0.6,,,,
US,2026-04-01,,2.55,0.65,0.25,0.65,,,,
US,2026-05-01,,2.4,0.7,0.25,0.7,,,,
US,2026-06-01,3.125,2.25,0.75,0.25,0.75,,The Fed continues to reduce rates at a quarterly pace,Persistently high inflation forces the Fed to reduce rates at a slower pace,Economic weakness forces the Fed to move the policy stance into accommodative territory
US,2026-07-01,,2.20833333333333,0.75,0.291666666666667,0.75,,,,
US,2026-08-01,,2.16666666666667,0.75,0.333333333333333,0.75,,,,
US,2026-09-01,,2.125,0.75,0.375,0.75,,,,
US,2026-10-01,,2.08333333333333,0.75,0.416666666666667,0.75,,,,
US,2026-11-01,,2.04166666666667,0.75,0.458333333333333,0.75,,,,
US,2026-12-01,3,2,0.75,0.5,0.75,,Fed continues path of easing to neutral or just below,Inflationary policies require interest rates to stay higher or rise,Weakness in real economy leads to faster pace of cuts or a lower estimate of neutral rates
US,2027-01-01,,2.04166666666667,0.75,0.5,0.75,,,,
US,2027-02-01,,2.08333333333333,0.75,0.5,0.75,,,,
US,2027-03-01,,2.125,0.75,0.5,0.75,,,,
US,2027-04-01,,2.16666666666667,0.75,0.5,0.75,,,,
US,2027-05-01,,2.20833333333333,0.75,0.5,0.75,,,,
US,2027-06-01,3.25,2.25,0.75,0.5,0.75,,"The Fed gradually brings the benchmark rate back to neutral, after taking it below neutral levels in 2026",The Fed is forced to remain cautious as inflation rises to well above target as a result of tariffs,Political pressures or weak demand force the Fed to retain an accommodative stance
US,2027-07-01,,2.25,0.75,0.5,0.75,,,,
US,2027-08-01,,2.25,0.75,0.5,0.75,,,,
US,2027-09-01,,2.25,0.75,0.5,0.75,,,,
US,2027-10-01,,2.25,0.75,0.5,0.75,,,,
US,2027-11-01,,2.25,0.75,0.5,0.75,,,,
US,2027-12-01,3.25,2.25,0.75,0.5,0.75,3.25,"The Fed gradually brings the benchmark rate back to neutral, after taking it below neutral levels in 2026",The Fed is forced to remain cautious as inflation rises to well above target as a result of tariffs,Political pressures or weak demand force the Fed to retain an accommodative stance
US,2028-01-01,,,,,,,,,
US,2028-02-01,,,,,,,,,
US,2028-03-01,,1.5,1,1.5,1,3.25,"Interest rates converge on a rate similar to the long-term trend growth of the US economy plus inflation, although the path towards these rates might be bumpy with long periods outside the range.",Strong growth or a growing lack of confidence in US public finances requires a higher neutral interest rate.,"Weak and persistently low growth generates few outside options for savings, helping the longer-term interest rate to fall to low levels."
Eurozone,2025-12-01,2,1.75,0.25,0,0.25,,Rates remain on hold with inflation at target and signs of better economic activity,The ECB is very unlikely to reverse course so soon after easing,Another shock emerges from either trade or other geopolitical considerations and the ECB cuts in response
Eurozone,2026-01-01,,1.75,0.25,0,0.25,,,,
Eurozone,2026-02-01,2,1.75,0.25,0,0.25,,The ECB maintains rates in the middle of its estimate of the neutral range,A rate rise just as the easin cycle appears to have ended is extremely unlikely,The ECB is forced to cut again as a downside shock to the economy or inflation materialises
Eurozone,2026-03-01,,1.5625,0.375,0.0625,0.25,,,,
Eurozone,2026-04-01,,1.375,0.5,0.125,0.25,,,,
Eurozone,2026-05-01,,1.1875,0.625,0.1875,0.25,,,,
Eurozone,2026-06-01,1.875,1,0.75,0.25,0.25,,The ECB keeps rates close to neutral as a strong pick-up in consumption keeps inflation at target,Higher-than-expected inflationary pressures force the ECB to keep rates slightly above neutral territory,The ECB delivers additional rate cuts after persistently weak consumption and an unfavourable international environment raise the risks of undershooting.
Eurozone,2026-07-01,,1,0.75,0.25,0.25,,,,
Eurozone,2026-08-01,,1,0.75,0.25,0.25,,,,
Eurozone,2026-09-01,,1,0.75,0.25,0.25,,,,
Eurozone,2026-10-01,,1,0.75,0.25,0.25,,,,
Eurozone,2026-11-01,,1,0.75,0.25,0.25,,,,
Eurozone,2026-12-01,1.875,1,0.75,0.25,0.25,,The ECB keeps rates close to but below neutral as a mild pick-up in consumption keeps inflation at target,The ECB keeps rates around neutral as a strong pick-up in consumption keeps inflation at target,The ECB delivers additional rate cuts after persistently weak consumption and an unfavourable international environment raise the risks of undershooting.
Eurozone,2027-01-01,,1,0.75,0.25,0.25,,,,
Eurozone,2027-02-01,,1,0.75,0.25,0.25,,,,
Eurozone,2027-03-01,,1,0.75,0.25,0.25,,,,
Eurozone,2027-04-01,,1,0.75,0.25,0.25,,,,
Eurozone,2027-05-01,,1,0.75,0.25,0.25,,,,
Eurozone,2027-06-01,1.875,1,0.75,0.25,0.25,,The path of ECB rates in 2027 will become clearer over the next 12-months,,
Eurozone,2027-07-01,,1,0.75,0.25,0.25,,,,
Eurozone,2027-08-01,,1,0.75,0.25,0.25,,,,
Eurozone,2027-09-01,,1,0.75,0.25,0.25,,,,
Eurozone,2027-10-01,,1,0.75,0.25,0.25,,,,
Eurozone,2027-11-01,,1,0.75,0.25,0.25,,,,
Eurozone,2027-12-01,1.875,1,0.75,0.25,0.25,1.875,The path of ECB rates in 2027 will become clearer over the next 12-months,,
Eurozone,2028-01-01,,,,,,,,,
Eurozone,2028-02-01,,,,,,,,,
Eurozone,2028-03-01,,0.5,1,1,0.75,2,Interest rates converge on a rate similar to the expected inflation rate and lower than nominal GDP.,More potential investment opportunity or an uplift in productivity would require a higher neutral interest rate.,"Weak potential output and persistently low investment generate few outside options for savings, helping the long-term interest rate to fall to low levels."
UK,2026-02-01,3.75,3.25,0.5,0,0.25,,The BoE holds rates in February after cutting in December as it waits for more evidence on disinflation,Concerns about the persistence of inflation and an unhelpful Budget persuade a majority of the MPC to hold rates again,A sudden deterioration in the UK economy requires the BoE to stimulate demand
UK,2026-03-01,3.5,3.25,0.25,0,0.5,,The BoE holds rates in February after cutting in December as it waits for more evidence on disinflation,Concerns about the persistence of inflation leave the MPC on pause,"The UK economy weakens, requiring the BoE to stimulate demand"
UK,2026-04-01,,3.08333333333333,0.333333333333333,0.0833333333333333,0.583333333333333,,,,
UK,2026-05-01,,2.91666666666667,0.416666666666667,0.166666666666667,0.666666666666667,,,,
UK,2026-06-01,3.375,2.75,0.5,0.25,0.75,,Inflation is on course to fall back to target by the end of 2026 and the bank continues slow loosening,"The BoE wants to ease back to neutral more slowly, holding rates higher for longer",Weak growth or an external shock forces the bank to cut rates to stimulate the economy and keep unemployment in check
UK,2026-07-01,,2.625,0.583333333333333,0.25,0.791666666666667,,,,
UK,2026-08-01,,2.5,0.666666666666667,0.25,0.833333333333333,,,,
UK,2026-09-01,,2.375,0.75,0.25,0.875,,,,
UK,2026-10-01,,2.25,0.833333333333333,0.25,0.916666666666667,,,,
UK,2026-11-01,,2.125,0.916666666666667,0.25,0.958333333333333,,,,
UK,2026-12-01,3.125,2,1,0.25,1,,"Inflation appears on track to hit target in a sustainable way the bank feels its way towards neutral, but is not there yet",Inflation remains above target forcing the bank to hold rates higher for longer and reconsider estimates of the neutral rate,Weak growth or an external shock forces the bank to cut rates to stimulate the economy and keep unemployment in check
UK,2027-01-01,,1.91666666666667,1.04166666666667,0.291666666666667,1.04166666666667,,,,
UK,2027-02-01,,1.83333333333333,1.08333333333333,0.333333333333333,1.08333333333333,,,,
UK,2027-03-01,,1.75,1.125,0.375,1.125,,,,
UK,2027-04-01,,1.66666666666667,1.16666666666667,0.416666666666667,1.16666666666667,,,,
UK,2027-05-01,,1.58333333333333,1.20833333333333,0.458333333333333,1.20833333333333,,,,
UK,2027-06-01,3,1.5,1.25,0.5,1.25,,Inflation has hit target in a sustainable way and the bank achieves neutral rates,Inflation remains above target forcing the bank to hold rates higher for longer and reconsider estimates of the neutral rate,Weak growth or an external shock forces the bank to cut rates to stimulate the economy and keep unemployment in check
UK,2027-07-01,,1.5,1.20833333333333,0.5,1.29166666666667,,,,
UK,2027-08-01,,1.5,1.16666666666667,0.5,1.33333333333333,,,,
UK,2027-09-01,,1.5,1.125,0.5,1.375,,,,
UK,2027-10-01,,1.5,1.08333333333333,0.5,1.41666666666667,,,,
UK,2027-11-01,,1.5,1.04166666666667,0.5,1.45833333333333,,,,
UK,2027-12-01,2.75,1.5,1,0.5,1.5,2.75,Inflation has hit target in a sustainable way and the BoE has achieved a broadly neutral interest rate,Inflation remains above target forcing the bank to hold rates higher for longer and reconsider estimates of the neutral rate,Weak growth or an external shock forces the bank to cut rates to stimulate the economy and keep unemployment in check
UK,2028-01-01,,,,,,,,,
UK,2028-02-01,,,,,,,,,
UK,2028-03-01,,1.25,1,1,1,2.75,"Interest rates converge on a rate similar to the expected inflation rate and lower than nominal GDP, due to stronger public finances and lower potential growth rates. The path towards these rates might be bumpy with long periods outside the range. Hence the low probability for a central scenario.",Stronger growth or a growing lack of confidence in UK public finances would require a higher neutral interest rate. Strong growth because plentiful potential alternative investments allow savers to demand higher returns and weak public finances because government needs to attract more savings.,"Weak growth and persistently low investment generates few outside options for savings, helping the longer-term interest rate to fall to low levels."
Japan,2025-12-01,0.5,0.25,0.25,0,0.25,,"Given Japan’s recently announced fiscal stimulus programme, the BoJ holds steady in December",The BoJ raises rates faster due to a much weaker yen,
Japan,2026-01-01,0.75,0.25,0.5,0,0.25,,"After holding in December, the BoJ raises rates in January","The BoJ raises rates faster due to a much weaker yen, or faster growth and stronger indications of a wage-price cycle",Weak economic growth keeps the BoJ on hold
Japan,2026-02-01,,0.3,0.5,0.05,0.3,,,,
Japan,2026-03-01,,0.35,0.5,0.1,0.35,,,,
Japan,2026-04-01,,0.4,0.5,0.15,0.4,,,,
Japan,2026-05-01,,0.45,0.5,0.2,0.45,,,,
