geo,Month,Central estimate,bottom,lower_band,central_band,upper_band,Long run,commentary_central,commentary_higher,commentary_lower
US,2025-03-01,4.375,4,0.25,0.25,0.25,,Higher inflation data continues into February and is compounded by policy actions that lead the Fed to hold rates again,Inflationary resurgence leads the Fed to reverse course and raise rates,Further inflationary progress towards target and/or still cooling labour market means the Fed continues removing restrictiveness
US,2025-04-01,,4,0.25,0.25,0.25,,,,
US,2025-05-01,4.375,4,0.25,0.25,0.25,,Disinflationary pressures remain elusive in the first quarter of the year and the Fed wants confirmation of inflation moving back to target before it cuts and continues to hold,Inflationary trends are judged to be more than seasonal or just one off hits from tariffs and the Fed raises rates in response,"Consumer confidence or business sentiment weaken dramatically and begin to spill over into the labour market and prompt the Fed to move faster, downplaying inflation concerns"
US,2025-06-01,4.125,3.5,0.5,0.25,0.5,,The Fed cuts once as broad disinflation continues and activity and labour market indicators continue to trend lower,Inflationary policies from a new US administration and a lack of meaningful additional progress force the Fed to move at a slow pace and keep rates higher for longer,The Fed has to deliver more cuts owing to a sharp deterioration in the real economy including declines in consumption and business investment as sentiment declines
US,2025-07-01,,3.41666666666667,0.541666666666667,0.25,0.541666666666667,,,,
US,2025-08-01,,3.33333333333333,0.583333333333333,0.25,0.583333333333333,,,,
US,2025-09-01,,3.25,0.625,0.25,0.625,,,,
US,2025-10-01,,3.16666666666667,0.666666666666667,0.25,0.666666666666667,,,,
US,2025-11-01,,3.08333333333333,0.708333333333333,0.25,0.708333333333333,,,,
US,2025-12-01,3.875,3,0.75,0.25,0.75,,The Fed continues very gradual policy normalisation as new policies do not fully offset the broader disinflationary trend,Expansionary policies from a new US administration and a lack of meaningful additional progress on inflation force the Fed to keep rates higher for longer,The Fed has to deliver more cuts owing to weakness in the real economy
US,2026-01-01,,2.95833333333333,0.75,0.25,0.833333333333333,,,,
US,2026-02-01,,2.91666666666667,0.75,0.25,0.916666666666667,,,,
US,2026-03-01,,2.875,0.75,0.25,1,,,,
US,2026-04-01,,2.83333333333333,0.75,0.25,1.08333333333333,,,,
US,2026-05-01,,2.79166666666667,0.75,0.25,1.16666666666667,,,,
US,2026-06-01,3.625,2.75,0.75,0.25,1.25,,The Fed continues gradual path of easing towards neutral,Inflationary policies require interest rates to stay higher or rise,Weakness in real economy leads to faster pace of cuts
US,2026-07-01,,2.70833333333333,0.708333333333333,0.291666666666667,1.29166666666667,,,,
US,2026-08-01,,2.66666666666667,0.666666666666667,0.333333333333333,1.33333333333333,,,,
US,2026-09-01,,2.625,0.625,0.375,1.375,,,,
US,2026-10-01,,2.58333333333333,0.583333333333333,0.416666666666667,1.41666666666667,,,,
US,2026-11-01,,2.54166666666667,0.541666666666667,0.458333333333333,1.45833333333333,,,,
US,2026-12-01,3.25,2.5,0.5,0.5,1.5,3.25,The Fed continues gradual path of easing towards neutral,Inflationary policies require interest rates to stay higher or rise,Weakness in real economy leads to faster pace of cuts
US,2027-01-01,,,,,,,,,
US,2027-02-01,,,,,,,,,
US,2027-03-01,,1.5,1,1.5,1,3.25,"Interest rates converge on a rate similar to the long-term trend growth of the US economy plus inflation, although the path towards these rates might be bumpy with long periods outside the range.",Strong growth or a growing lack of confidence in US public finances requires a higher neutral interest rate.,"Weak and persistently low growth generates few outside options for savings, helping the longer-term interest rate to fall to low levels."
Eurozone,2025-03-01,2.5,2.25,0.25,0,0.25,,"Disinflation continues and the pick-up in activity is mild, prompting the ECB to continue with a gradual pace of easing.","The consumer recovery is stronger than expected and Trump’s early policy signals milder, convincing the ECB to keep a restrictive stance","Trump’s policy agenda turns out to be more aggressive than expected, or private consumption fails to pick up as hoped, prompting the ECB to cut faster."
Eurozone,2025-04-01,2.5,2.25,0.25,0,0.25,,"Disinflation continues and the pick-up in activity is mild, prompting the ECB to continue with a gradual pace of easing.","The consumer recovery is stronger than expected and Trump’s early policy signals milder, convincing the ECB to keep a restrictive stance","Trump’s policy agenda turns out to be more aggressive than expected, or private consumption fails to pick up as hoped, prompting the ECB to cut faster."
Eurozone,2025-05-01,,2.125,0.25,0.125,0.25,,,,
Eurozone,2025-06-01,2.375,2,0.25,0.25,0.25,,Disinflation continues on track and growth continues to disappoint in the first half. The ECB responds by cutting rates for the third time in 2025 in June.,"The consumer recovery emerges stronger than expected, reigniting fears of inflation and prompting the ECB to proceed more cautiously.","Signs of a consumer-led recovery fail to emerge and growth indicators continue to tick down, concerns about labour market strength have risen. The ECB delivers its fourth quarter-point cut for the year in June and the debate about additional easing to promote growth begins."
Eurozone,2025-07-01,,1.91666666666667,0.25,0.25,0.25,,,,
Eurozone,2025-08-01,,1.83333333333333,0.25,0.25,0.25,,,,
Eurozone,2025-09-01,,1.75,0.25,0.25,0.25,,,,
Eurozone,2025-10-01,,1.66666666666667,0.25,0.25,0.25,,,,
Eurozone,2025-11-01,,1.58333333333333,0.25,0.25,0.25,,,,
Eurozone,2025-12-01,1.875,1.5,0.25,0.25,0.25,,"The ECB cuts rates four to five times, taking the benchmark at or just below neutral as the European economy slows down.",Growth and consumption both respond well to lower rates and the ECB fears resurgent inflation and fails to take rates to their neutral levels by the end of the year.,Consumer weakness becomes apparent and fears of undershooting become the primary driver of policy. Rates fall below neutral.
Eurozone,2026-01-01,,1.41666666666667,0.291666666666667,0.25,0.333333333333333,,,,
Eurozone,2026-02-01,,1.33333333333333,0.333333333333333,0.25,0.416666666666667,,,,
Eurozone,2026-03-01,,1.25,0.375,0.25,0.5,,,,
Eurozone,2026-04-01,,1.16666666666667,0.416666666666667,0.25,0.583333333333333,,,,
Eurozone,2026-05-01,,1.08333333333333,0.458333333333333,0.25,0.666666666666667,,,,
