geo,Month,Central estimate,bottom,lower_band,central_band,upper_band,Long run,commentary_central,commentary_higher,commentary_lower
US,2025-01-01,4.375,4,0.25,0.25,0.25,,The Fed holds to see concrete evidence of further progress on inflation and clarity on Trump policies,Aggressive inflationary policies by the new administration in its early days forces the Fed to hike,The Fed cuts rates again as labour market data suggests sharp deterioration and inflation in December falls much faster than expected
US,2025-02-01,,4,0.25,0.25,0.25,,,,
US,2025-03-01,4.375,4,0.25,0.25,0.25,,The Fed remains cautious as Trump 2.0 takes shape,Inflationary resurgence leads the Fed to reverse course and raise rates,Further inflationary progress towards target and/or still cooling labour market means the Fed can continues removing restrictiveness
US,2025-04-01,,3.83333333333333,0.333333333333333,0.25,0.333333333333333,,,,
US,2025-05-01,,3.66666666666667,0.416666666666667,0.25,0.416666666666667,,,,
US,2025-06-01,4.125,3.5,0.5,0.25,0.5,,The Fed cuts once very gradual policy normalisation as broad disinflation is offset by fiscal expansion,Inflationary policies from a new US administration and a lack of meaningful additional progress on inflation force the Fed to normalise at a very slow pace,The Fed has to deliver more cuts owing to a sharp deterioration in the real economy
US,2025-07-01,,3.41666666666667,0.541666666666667,0.25,0.541666666666667,,,,
US,2025-08-01,,3.33333333333333,0.583333333333333,0.25,0.583333333333333,,,,
US,2025-09-01,,3.25,0.625,0.25,0.625,,,,
US,2025-10-01,,3.16666666666667,0.666666666666667,0.25,0.666666666666667,,,,
US,2025-11-01,,3.08333333333333,0.708333333333333,0.25,0.708333333333333,,,,
US,2025-12-01,3.875,3,0.75,0.25,0.75,,The Fed continues very gradual policy normalisation as expansionary policies do not fully offset the broader disinflationary trend,Expansionary policies from a new US administration and a lack of meaningful additional progress on inflation force the Fed to normalise at a very slow pace,The Fed has to deliver more cuts owing to weakness in the real economy
US,2026-01-01,,2.95833333333333,0.75,0.25,0.833333333333333,,,,
US,2026-02-01,,2.91666666666667,0.75,0.25,0.916666666666667,,,,
US,2026-03-01,,2.875,0.75,0.25,1,,,,
US,2026-04-01,,2.83333333333333,0.75,0.25,1.08333333333333,,,,
US,2026-05-01,,2.79166666666667,0.75,0.25,1.16666666666667,,,,
US,2026-06-01,3.625,2.75,0.75,0.25,1.25,,The Fed continues gradual path of easing towards neutral,Inflationary policies require interest rates to stay higher or rise,Weakness in real economy leads to faster pace of cuts
US,2026-07-01,,2.70833333333333,0.708333333333333,0.291666666666667,1.29166666666667,,,,
US,2026-08-01,,2.66666666666667,0.666666666666667,0.333333333333333,1.33333333333333,,,,
US,2026-09-01,,2.625,0.625,0.375,1.375,,,,
US,2026-10-01,,2.58333333333333,0.583333333333333,0.416666666666667,1.41666666666667,,,,
US,2026-11-01,,2.54166666666667,0.541666666666667,0.458333333333333,1.45833333333333,,,,
US,2026-12-01,3.25,2.5,0.5,0.5,1.5,3.25,The Fed continues gradual path of easing towards neutral,Inflationary policies require interest rates to stay higher or rise,Weakness in real economy leads to faster pace of cuts
US,2027-01-01,,,,,,,,,
US,2027-02-01,,,,,,,,,
US,2027-03-01,,1.5,1,1.5,1,3.25,"Interest rates converge on a rate similar to the long-term trend growth of the US economy plus inflation, although the path towards these rates might be bumpy with long periods outside the range.",Strong growth or a growing lack of confidence in US public finances requires a higher neutral interest rate.,"Weak and persistently low growth generates few outside options for savings, helping the longer-term interest rate to fall to low levels."
Eurozone,2025-01-01,2.75,2.5,0.25,0,0.25,,There are few signs yet that European consumers are responding positively to lower rates and with risks to economic growth growing the ECB is more likely to start 2025 off with one more quarter-point cut.,The ECB takes a wait-and-see approach and keeps rates on hold.,Sharp disinflation or disappointing leading indicators force the ECB to cut faster.
Eurozone,2025-02-01,,2.375,0.25,0,0.25,,,,
Eurozone,2025-03-01,2.5,2.25,0.25,0,0.25,,"Disinflation continues and the pick-up in activity is mild, prompting the ECB to continue with a gradual pace of easing.","The consumer recovery is stronger than expected and Trump’s early policy signals milder, convincing the ECB to keep a restrictive stance","Trump’s policy agenda turns out to be more aggressive than expected, or private consumption fails to pick up as hoped, prompting the ECB to cut faster."
Eurozone,2025-04-01,,2.16666666666667,0.25,0.0833333333333333,0.25,,,,
Eurozone,2025-05-01,,2.08333333333333,0.25,0.166666666666667,0.25,,,,
Eurozone,2025-06-01,2.375,2,0.25,0.25,0.25,,Disinflation continues on track and growth continues to disappoint in the first half. The ECB responds by cutting rates for the third time in 2025 in June.,"The consumer recovery emerges stronger than expected, reigniting fears of inflation and prompting the ECB to proceed more cautiously.","Signs of a consumer-led recovery fail to emerge and growth indicators continue to tick down, concerns about labour market strength have risen. The ECB delivers its fourth quarter-point cut for the year in June and the debate about additional easing to promote growth begins."
Eurozone,2025-07-01,,1.91666666666667,0.25,0.25,0.25,,,,
Eurozone,2025-08-01,,1.83333333333333,0.25,0.25,0.25,,,,
Eurozone,2025-09-01,,1.75,0.25,0.25,0.25,,,,
Eurozone,2025-10-01,,1.66666666666667,0.25,0.25,0.25,,,,
Eurozone,2025-11-01,,1.58333333333333,0.25,0.25,0.25,,,,
Eurozone,2025-12-01,1.875,1.5,0.25,0.25,0.25,,"The ECB cuts rates four to five times, taking the benchmark at or just below neutral as the European economy slows down.",Growth and consumption both respond well to lower rates and the ECB fears resurgent inflation and fails to take rates to their neutral levels by the end of the year.,Consumer weakness becomes apparent and fears of undershooting become the primary driver of policy. Rates fall below neutral.
Eurozone,2026-01-01,,1.41666666666667,0.291666666666667,0.25,0.333333333333333,,,,
Eurozone,2026-02-01,,1.33333333333333,0.333333333333333,0.25,0.416666666666667,,,,
Eurozone,2026-03-01,,1.25,0.375,0.25,0.5,,,,
Eurozone,2026-04-01,,1.16666666666667,0.416666666666667,0.25,0.583333333333333,,,,
Eurozone,2026-05-01,,1.08333333333333,0.458333333333333,0.25,0.666666666666667,,,,
Eurozone,2026-06-01,1.625,1,0.5,0.25,0.75,,"The ECB delivers another rate cut after December 2025, keeping the stance slightly accommodative",The ECB keeps rates close to neutral as a strong pick-up in consumption keeps inflation at target,The ECB delivers additional rate cuts after persistently weak consumption and an unfavourable international environment raise the risks of undershooting.
Eurozone,2026-07-01,,1,0.5,0.25,0.75,,,,
Eurozone,2026-08-01,,1,0.5,0.25,0.75,,,,
Eurozone,2026-09-01,,1,0.5,0.25,0.75,,,,
Eurozone,2026-10-01,,1,0.5,0.25,0.75,,,,
Eurozone,2026-11-01,,1,0.5,0.25,0.75,,,,
Eurozone,2026-12-01,1.625,1,0.5,0.25,0.75,1.625,"The ECB delivers another rate cut after December 2025, keeping the stance slightly accommodative",The ECB keeps rates close to neutral as a strong pick-up in consumption keeps inflation at target,The ECB delivers additional rate cuts after persistently weak consumption and an unfavourable international environment raise the risks of undershooting.
Eurozone,2027-01-01,,,,,,,,,
Eurozone,2027-02-01,,,,,,,,,
Eurozone,2027-03-01,,0.5,1,1,0.75,2,Interest rates converge on a rate similar to the expected inflation rate and lower than nominal GDP.,More potential investment opportunity or an uplift in productivity would require a higher neutral interest rate.,"Weak potential output and persistently low investment generate few outside options for savings, helping the long-term interest rate to fall to low levels."
UK,2025-02-01,4.5,4.25,0.25,0,0.25,,"We expect the BoE to cut in February, maintaining the gradual pace of monetary easing since August. This is a high probability","MPC decide to leave rates unchanged, noting greater inflationary pressures from October’s Budget than they had at first expected","UK activity and inflation slows significantly in the first months of 2025, leading to fears of stagnation and a rapid drop in inflation without a more aggressive programme of cuts"
UK,2025-03-01,4.5,4.25,0.25,0,0.25,,"We expect the BoE to hold in March, maintaining the gradual pace of monetary easing since August.","MPC decide to leave rates unchanged, noting greater inflationary pressures from October’s Budget than they had at first expected","UK activity and inflation slows significantly in the first months of 2025, leading to fears of stagnation and a rapid drop in inflation without a more aggressive programme of cuts"
UK,2025-04-01,,4.08333333333333,0.333333333333333,0,0.333333333333333,,,,
UK,2025-05-01,,3.91666666666667,0.416666666666667,0,0.416666666666667,,,,
UK,2025-06-01,4.25,3.75,0.5,0,0.5,,"The UK economy continues to disinflate gradually, allowing two quarter point rate cuts by summer 2025. Fears of inflation persistence beginning to subside","MPC decides to slow rate cuts in 2025 on evidence that inflation pass through has been higher than hoped, raising the unpleasant prospect of continued persistence in too rapid price and wage rises","UK activity and inflation stagnates in 2025, requiring the MPC to bring rates quickly out of a restrictive position, seeking to boost economic activity"
UK,2025-07-01,,3.54166666666667,0.583333333333333,0,0.583333333333333,,,,
UK,2025-08-01,,3.33333333333333,0.666666666666667,0,0.666666666666667,,,,
UK,2025-09-01,,3.125,0.75,0,0.75,,,,
UK,2025-10-01,,2.91666666666667,0.833333333333333,0,0.833333333333333,,,,
UK,2025-11-01,,2.70833333333333,0.916666666666667,0,0.916666666666667,,,,
UK,2025-12-01,3.5,2.5,1,0,1,,The BoE will deliver five cuts in 2025 as it eases policy towards a more neutral rate.,Concerns about remaining inflationary pressure leaves the MPC reluctant to significantly relax its stance.,"The UK economy weakens significantly, requiring the BoE to stimulate demand."
UK,2026-01-01,,2.33333333333333,1.04166666666667,0.0833333333333333,1.04166666666667,,,,
UK,2026-02-01,,2.16666666666667,1.08333333333333,0.166666666666667,1.08333333333333,,,,
UK,2026-03-01,,2,1.125,0.25,1.125,,,,
UK,2026-04-01,,1.83333333333333,1.16666666666667,0.333333333333333,1.16666666666667,,,,
UK,2026-05-01,,1.66666666666667,1.20833333333333,0.416666666666667,1.20833333333333,,,,
UK,2026-06-01,3,1.5,1.25,0.5,1.25,,The BoE delivers two more cuts by mid-2026 as interest rates converge towards neutral levels.,Ongoing strong wage demands and the resulting higher inflation mean fewer rate cuts from the MPC,"A weak economic outlook sees the MPC cut rates close to, or even below, the neutral rate."
UK,2026-07-01,,1.5,1.20833333333333,0.541666666666667,1.25,,,,
UK,2026-08-01,,1.5,1.16666666666667,0.583333333333333,1.25,,,,
UK,2026-09-01,,1.5,1.125,0.625,1.25,,,,
UK,2026-10-01,,1.5,1.08333333333333,0.666666666666667,1.25,,,,
UK,2026-11-01,,1.5,1.04166666666667,0.708333333333333,1.25,,,,
UK,2026-12-01,2.875,1.5,1,0.75,1.25,2.875,"The BoE continues to gradually ease rates by end 2026, converging towards neutral levels.",Ongoing strong wage demands and the resulting higher inflation mean fewer rate cuts from the MPC,"A weak economic outlook sees the MPC cut rates close to, or even below, the neutral rate."
UK,2027-01-01,,,,,,,,,
UK,2027-02-01,,,,,,,,,
UK,2027-03-01,,1.25,1,1,1,2.75,"Interest rates converge on a rate similar to the expected inflation rate and lower than nominal GDP, due to stronger public finances and lower potential growth rates. The path towards these rates might be bumpy with long periods outside the range. Hence the low probability for a central scenario.",Stronger growth or a growing lack of confidence in UK public finances would require a higher neutral interest rate. Strong growth because plentiful potential alternative investments allow savers to demand higher returns and weak public finances because government needs to attract more savings.,"Weak growth and persistently low investment generates few outside options for savings, helping the longer-term interest rate to fall to low levels."
Japan,2025-03-01,0.5,0.25,0.25,0,0.25,,The BoJ continues to wait for more evidence of Trump’s impact and avoids being forced to tighten by yen weakness,BoJ imposes back-to-back rate rises after serious dislocation in currency markets requires tighter monetary policy to restore stability,The BoJ lowers rates to respond to sudden economic threats
Japan,2025-04-01,,0.25,0.25,0,0.25,,,,
Japan,2025-05-01,0.5,0.25,0.25,0,0.25,,"The BoJ raises rates in March having received the reassurance it needed that wages were growing reasonably, economic activity was holding up and Trump was not a severe risk to the Japanese economy",Rapid wage growth and sharp yen weakening prompts the BoJ to opt for back-to-back rate increases,The BoJ maintains a tightening bias but decides to wait for more information on wages and activity in the nervous first few months of a Trump US presidency
Japan,2025-06-01,0.5,0.25,0.25,0,0.25,,The BoJ assesses that wage growth inflation trends are on track following spring wage negotiations but wants to normalise rates slowly,"Wage trends and inflation meet the BoJ’s expectations, allowing it to set a faster path of normalisation",The BoJ continues to hold rates in response to weaker wage and inflation developments or increased risks from an external shock such as trade tariffs
Japan,2025-07-01,,0.25,0.270833333333333,0.0416666666666667,0.25,,,,
Japan,2025-08-01,,0.25,0.291666666666667,0.0833333333333333,0.25,,,,
Japan,2025-09-01,,0.25,0.3125,0.125,0.25,,,,
Japan,2025-10-01,,0.25,0.333333333333333,0.166666666666667,0.25,,,,
Japan,2025-11-01,,0.25,0.354166666666667,0.208333333333333,0.25,,,,
Japan,2025-12-01,0.75,0.25,0.375,0.25,0.25,,The BoJ assesses that wage growth inflation trends are still on track and can take another step towards normalisation in the second half of 2025,Above trend growth and a falling yen spark inflationary pressures in excess of the BoJ’s desires forcing a faster rise in interest rates,The BoJ continues to hold rates in response to weaker wage and inflation developments or increased risks from an external shock such as trade tariffs
Japan,2026-01-01,,0.208333333333333,0.395833333333333,0.291666666666667,0.291666666666667,,,,
Japan,2026-02-01,,0.166666666666667,0.416666666666667,0.333333333333333,0.333333333333333,,,,
Japan,2026-03-01,,0.125,0.4375,0.375,0.375,,,,
Japan,2026-04-01,,0.0833333333333333,0.458333333333333,0.416666666666667,0.416666666666667,,,,
Japan,2026-05-01,,0.0416666666666667,0.479166666666667,0.458333333333333,0.458333333333333,,,,
Japan,2026-06-01,0.75,0,0.5,0.5,0.5,,The BoJ assesses that wage growth inflation trends are on track following spring wage negotiations and continues to push rates higher very slowly,The BoJ becomes confident that wages and prices will reinforce one another and seeks a more normal range for interest rates,The BoJ holds rates in response to weaker wage and inflation developments or increased risks from an external shock such as trade tariffs
Japan,2026-07-01,,0,0.541666666666667,0.5,0.541666666666667,,,,
Japan,2026-08-01,,0,0.583333333333333,0.5,0.583333333333333,,,,
Japan,2026-09-01,,0,0.625,0.5,0.625,,,,
Japan,2026-10-01,,0,0.666666666666667,0.5,0.666666666666667,,,,
Japan,2026-11-01,,0,0.708333333333333,0.5,0.708333333333333,,,,
Japan,2026-12-01,1,0,0.75,0.5,0.75,1,The BoJ assesses that wage growth inflation trends are on track following spring wage negotiations and continues to push rates higher very slowl,The BoJ becomes confident that wages and prices will reinforce one another and seeks a more normal range for interest rates,The BoJ holds rates in response to weaker wage and inflation developments or increased risks from an external shock such as trade tariffs
Japan,2027-01-01,,,,,,,,,
Japan,2027-02-01,,,,,,,,,
Japan,2027-03-01,,0,0.75,1,1,1.25,Interest rates converge on a relatively low neutral rate.,A successful emergence from decades of weak growth and inflation would require higher neutral interest rates.,"Japan falls back into its low inflation trap, failing to generate domestic inflation and wage growth."
