geo,Month,Central estimate,bottom,lower_band,central_band,upper_band,Long run,commentary_central,commentary_higher,commentary_lower
US,2024-12-01,4.375,4,0.25,0.25,0.25,,"The Fed, satisfied with yet more progress on disinflation in the autumn, eases in line with its projections.",A lack of meaningful additional progress on inflation forces the Fed to normalise at a very slow pace.,A sudden and sharp weakening of the labour market prompts the Fed to deliver another 0.5 percentage point cut.
US,2025-01-01,,3.875,0.375,0.25,0.25,,,,
US,2025-02-01,4.375,3.75,0.5,0.25,0.25,,"The Fed cuts once over the next two meetings, delivering gradual further easing","A lack of meaningful additional progress on inflation, or aggressive expansionary policies by the new administration, forces the Fed to pause for two meetings in a row.",The Fed is forced to cut rates twice over two meetings owing to severe weakness in the economy
US,2025-03-01,,3.6875,0.5,0.25,0.3125,,,,
US,2025-04-01,,3.625,0.5,0.25,0.375,,,,
US,2025-05-01,,3.5625,0.5,0.25,0.4375,,,,
US,2025-06-01,4.125,3.5,0.5,0.25,0.5,,The Fed continues very gradual policy normalisation as broad disinflation is offset by fiscal expansion.,Very expansionary policies from a new US administration and a lack of meaningful additional progress on inflation force the Fed to normalise at a very slow pace.,A lack of meaningful additional progress on inflation forces the Fed to normalise at a very slow pace
US,2025-07-01,,3.41666666666667,0.541666666666667,0.25,0.541666666666667,,,,
US,2025-08-01,,3.33333333333333,0.583333333333333,0.25,0.583333333333333,,,,
US,2025-09-01,,3.25,0.625,0.25,0.625,,,,
US,2025-10-01,,3.16666666666667,0.666666666666667,0.25,0.666666666666667,,,,
US,2025-11-01,,3.08333333333333,0.708333333333333,0.25,0.708333333333333,,,,
US,2025-12-01,3.875,3,0.75,0.25,0.75,,The Fed continues very gradual policy normalisation as expansionary policies do not fully offset the broader disinflationary trend.,Expansionary policies from a new US administration and a lack of meaningful additional progress on inflation force the Fed to normalise at a very slow pace.,The Fed has to deliver more cuts owing to weakness in the real economy
US,2026-01-01,,2.875,0.75,0.333333333333333,0.791666666666667,,,,
US,2026-02-01,,2.75,0.75,0.416666666666667,0.833333333333333,,,,
US,2026-03-01,,2.625,0.75,0.5,0.875,,,,
US,2026-04-01,,2.5,0.75,0.583333333333333,0.916666666666667,,,,
US,2026-05-01,,2.375,0.75,0.666666666666667,0.958333333333333,,,,
US,2026-06-01,3.375,2.25,0.75,0.75,1,,,,
US,2026-07-01,,2.20833333333333,0.708333333333333,0.875,1,,,,
US,2026-08-01,,2.16666666666667,0.666666666666667,1,1,,,,
US,2026-09-01,,2.125,0.625,1.125,1,,,,
