geo,Month,Central estimate,bottom,lower_band,central_band,upper_band,Long run,commentary_central,commentary_higher,commentary_lower
US,2024-11-01,4.625,4.5,0,0.25,0.25,,The Fed holds rates as part of a gradual easing process,The Fed decides to hold rates after progress on disinflation stalls.,"With inflation under control, the Fed seeks to offset a weakening labour market with a second consecutive cut"
US,2024-12-01,4.375,4,0.25,0.25,0.25,,"The Fed, satisfied with yet more progress on disinflation in the autumn, delivers a second rate cut before year end.",A lack of meaningful additional progress on inflation forces the Fed to normalise at a very slow pace.,"A sudden and sharp weakening of the labour market, prompting the Fed to deliver multiple cuts"
US,2025-01-01,,3.95833333333333,0.291666666666667,0.25,0.291666666666667,,,,
US,2025-02-01,,3.91666666666667,0.333333333333333,0.25,0.333333333333333,,,,
US,2025-03-01,,3.875,0.375,0.25,0.375,,,,
US,2025-04-01,,3.83333333333333,0.416666666666667,0.25,0.416666666666667,,,,
US,2025-05-01,,3.79166666666667,0.458333333333333,0.25,0.458333333333333,,,,
US,2025-06-01,4.375,3.75,0.5,0.25,0.5,,The Fed continues gradual policy normalisation as the economy slows and inflation remains under control,Expansionary policies from a new US administration and a lack of meaningful additional progress on inflation forces the Fed to normalise at a very slow pace.,Continued weakness in the labour market and tame inflation without a big change in policy forces the Fed into multiple rate cuts
US,2025-07-01,,3.58333333333333,0.541666666666667,0.291666666666667,0.583333333333333,,,,
US,2025-08-01,,3.41666666666667,0.583333333333333,0.333333333333333,0.666666666666667,,,,
US,2025-09-01,,3.25,0.625,0.375,0.75,,,,
US,2025-10-01,,3.08333333333333,0.666666666666667,0.416666666666667,0.833333333333333,,,,
US,2025-11-01,,2.91666666666667,0.708333333333333,0.458333333333333,0.916666666666667,,,,
US,2025-12-01,3.75,2.75,0.75,0.5,1,,The Fed continues gradual policy normalisation as the economy slows and inflation remains under control,Expansionary policies from a new US administration and a lack of meaningful additional progress on inflation forces the Fed to normalise at a very slow pace.,The Fed has to deliver more cuts due to further weakness in the economy
US,2026-01-01,,2.625,0.791666666666667,0.5,1.08333333333333,,,,
US,2026-02-01,,2.5,0.833333333333333,0.5,1.16666666666667,,,,
US,2026-03-01,,2.375,0.875,0.5,1.25,,,,
US,2026-04-01,,2.25,0.916666666666667,0.5,1.33333333333333,,,,
US,2026-05-01,,2.125,0.958333333333333,0.5,1.41666666666667,,,,
US,2026-06-01,3.25,2,1,0.5,1.5,,The Fed continues gradual policy normalisation as the economy slows and inflation remains under control,Expansionary policies from a new US administration and a lack of meaningful additional progress on inflation forces the Fed to normalise at a very slow pace.,The Fed has to deliver more cuts due to further weakness in the economy
US,2026-07-01,,2,1,0.5,1.5,,,,
US,2026-08-01,,2,1,0.5,1.5,,,,
US,2026-09-01,,2,1,0.5,1.5,,,,
US,2026-10-01,,2,1,0.5,1.5,,,,
US,2026-11-01,,2,1,0.5,1.5,,,,
US,2026-12-01,3.25,2,1,0.5,1.5,3.25,The Fed continues gradual policy normalisation as the economy slows and inflation remains under control,Expansionary policies from a new US administration and a lack of meaningful additional progress on inflation forces the Fed to normalise at a very slow pace.,The Fed has to deliver more cuts due to further weakness in the economy
US,2027-01-01,,,,,,,,,
US,2027-02-01,,,,,,,,,
