date,Numeric score,Colour,Size,Line,author,title,Numeric score std err,Numeric score min,Numeric score max,not_related,Prediction,Probability,Prob std err,Prediction confidence,Key quote,Quote confidence,Rationale,date_popup,unrelated
2024-11-18,0.68,#440154FF,3,,Kazuo Ueda,Japan's Economy and Monetary Policy,0.035,0.6,0.7,FALSE,Raise,0.71,0.07,1,"Regarding the future conduct of monetary policy, if the outlook for economic activity and prices that I have outlined today is realized, the Bank will accordingly continue to raise the policy interest rate and adjust the degree of monetary accommodation.",0.7,The speech emphasizes the shift from cost-push inflation to domestic wage-driven inflation and highlights the Bank of Japan's plan to continue raising policy interest rates if economic projections are met. This indicates a somewhat hawkish stance as the focus is on adjusting monetary policy in response to improving economic conditions.,2024-11-18,No
2024-09-24,0.64,#440154FF,3,,Kazuo Ueda,Japan's Economy and Monetary Policy,0.081,0.5,0.7,FALSE,Raise,0.75,0.045,0.6,"The Bank considers that, if underlying inflation rises in line with its outlook, it will be appropriate to accordingly raise the policy interest rate and adjust the degree of monetary accommodation.",0.5,"The speech discusses favorable economic conditions, moderate price rises, and underlying inflation approaching the target. The call for potentially raising rates suggests a somewhat hawkish stance, despite reiterating the need for careful monitoring of various risks.",2024-09-24,No
2025-03-05,0.68,#481467FF,3,,Shinichi Uchida,Japan's Economy and Monetary Policy,0.114,0.5,0.9,FALSE,Raise,0.812,0.064,0.8,"In this situation, adjusting the degree of monetary accommodation gradually, while maintaining accommodative financial conditions, will lead to stability in economic activity and prices in the long run.",0.3,"The Bank of Japan speaker emphasized that underlying inflation and wage growth have not yet reached the target levels, and the expectation is to continue adjusting the policy rate upwards to achieve price stability. The gradual rate hikes indicate a somewhat hawkish stance aimed at sustaining economic recovery while managing inflation and wage growth.",2025-03-05,No
2025-01-30,0.63,#482576FF,3,,Ryozo Himino,An Economy with Positive Interest Rates,0.082,0.5,0.7,FALSE,Raise,0.738,0.035,0.8,"Looking ahead, the Bank will adjust the degree of monetary accommodation by raising the policy rate, if the outlook we have for the economy and prices continues to be realized.",1,"The speech discusses a gradual adjustment to reduce monetary accommodation, signaling a somewhat hawkish stance aimed at normalizing interest rates. The reference to adjusting the rate upwards suggests a potential preference for a rate hike if economic and price expectations are met.",2025-01-30,No
2025-01-14,0.56,#482576FF,3,,Ryozo Himino,Japan's Economy and Monetary Policy,0.135,0.3,0.7,FALSE,Hold,0.7,0,0.6,"If this outlook will continue to be realized, the Bank will raise the policy interest rate accordingly and adjust the degree of monetary easing, as it did in March and July last year.",0.7,"The speech presents a balanced assessment of Japan's economic outlook, acknowledging both resolved and persistent challenges. While suggesting that some issues have been largely resolved, the speech does not signal an urgent need for rate adjustments, indicating a neutral stance. The possibility of a future rate increase contingent on continued economic improvement supports a 'Hold' prediction for the next meeting.",2025-01-14,No
2025-05-16,0.42,#463480FF,3,,Toyoaki Nakamura,"Economic Activity, Prices, and Monetary Policy in Japan",0.142,0.25,0.7,FALSE,Hold,0.76,0.046,1,"Therefore, I believe it is appropriate for the Bank to maintain its current monetary policy for the time being.",1,"The speech highlights concerns over U.S. tariff policies and global uncertainties while recognizing moderate economic recovery and growth in Japan. The speaker's cautious tone suggests maintaining the status quo rather than aggressive monetary policy changes, leading to a 'Hold' prediction.",2025-05-16,No
2025-05-22,0.645,#3B528BFF,3,,Asahi Noguchi,"Economic Activity, Prices, and Monetary Policy in Japan",0.083,0.5,0.7,FALSE,Raise,0.694,0.05,0.8,The Bank will adjust its policy interest rate while carefully monitoring developments in the underlying trend to make sure that inflation begins to stabilize at around 2 percent.,1,"The speech suggests that the Bank of Japan aims to continue adjusting its policy rate to maintain stable inflation, indicating a somewhat hawkish stance. The focus is on ensuring sustainable inflation and wage growth, with potential rate hikes anticipated.",2025-05-22,No
2024-10-03,0.35,#3B528BFF,3,,Asahi Noguchi,"Economic Activity, Prices, and Monetary Policy in Japan",0.162,0.25,0.7,FALSE,Hold,0.655,0.05,1,"I opposed the policy interest rate hike from the standpoint that it was necessary to more carefully assess how the economic situation had improved with wage hikes becoming widespread, based on relevant data.",0.3,"The speaker highlights the importance of maintaining accommodative financial conditions due to ongoing economic uncertainties and the need for further stabilization. Despite improvements in wage growth and inflation, concerns remain about underlying inflation and inflation expectations, leading to a call for careful, patient policy adjustments.",2024-10-03,No
2025-02-06,0.8,#35608DFF,3,,Naoki Tamura,"Economic Activity, Prices, and Monetary Policy in Japan",0.113,0.7,1,FALSE,Raise,0.83,0.042,1,"Therefore, I think it is necessary for the Bank to raise the short-term interest rate to at least that level by the second half of fiscal 2025 to contain the upside risks to prices and achieve the price stability target in a sustainable and stable manner.",0.6,"The speech emphasizes the need to increase interest rates to handle upside risks to prices, highlighting inflation above the target level and changes in wage and price-setting behavior. The speaker suggests a gradual rate increase and believes the neutral rate should be achieved by the second half of fiscal 2025, indicating a hawkish tendency to raise rates.",2025-02-06,No
2024-12-20,0.75,#35608DFF,3,,Naoki Tamura,"Economic Activity, Prices, and Monetary Policy in Japan",0.082,0.7,0.9,FALSE,Raise,0.825,0.035,1,"If this outlook is realized, I think it will be necessary for the Bank to raise the short-term policy interest rate to a level that is neutral to economic activity and prices.",0.3,"The speech emphasizes the necessity to raise interest rates to address potential upside risks to inflation and to achieve the price stability target sustainably. The speaker suggests a gradual approach to raising the rate, indicating a likelihood of voting to raise rates at the next meeting.",2024-12-20,No
