date,author,HDS,HDS_low,HDS_high,HDS_low_2sd,HDS_high_2sd,title,Numeric score std err,Numeric score min,Numeric score max,Prediction,Probability,Prob std err,Prediction confidence,Key quote,Quote confidence,Rationale,description,cb,url,Colour,date_popup
2024-08-23,Jerome H Powell,0.31,0.24,0.38,0.5,0.25,Review and outlook,0.07,0.25,0.5,Hold,0.706,0.073,0.8,"The time has come for policy to adjust. The direction of travel is clear, and the timing and pace of rate cuts will depend on incoming data, the evolving outlook, and the balance of risks.",0.8,"Jerome Powell acknowledges that the policy may need to adjust soon but emphasizes that this adjustment will depend on future data and evolving risks. This suggests a neutral stance as no clear direction on the policy rate is set, pointing towards holding rates for the moment.","Speech by Mr Jerome H Powell, Chair of the Board of Governors of the Federal Reserve System, at ""Reassessing the Effectiveness and Transmission of Monetary Policy"", an economic symposium sponsored by the Federal Reserve Bank of Kansas City, Jackson Hole, Wyoming, 23 August 2024.",Fed,https://www.bis.org/review/r240826a.htm,#440154FF,2024-08-23
2024-04-03,Jerome H Powell,0.585,0.474,0.696,0.75,0.5,"Opening remarks - Stanford Business, Government, and Society Forum",0.111,0.5,0.75,Hold,0.74,0.057,1,We do not expect that it will be appropriate to lower our policy rate until we have greater confidence that inflation is moving sustainably down toward 2 percent.,0.7,Chair Powell acknowledges progress on inflation but emphasizes the need to maintain the current policy rate until more concrete evidence shows inflation reaching targeted levels. This cautious position suggests holding rates steady in the immediate term to monitor developments.,"Opening remarks by Mr Jerome H Powell, Chair of the Board of Governors of the Federal Reserve System, at the Stanford Business, Government, and Society Forum, Stanford Graduate School of Business, Stanford, California, 3 April 2024.",Fed,https://www.bis.org/review/r240404b.htm,#440154FF,2024-04-03
2024-03-06,Jerome H Powell,0.54,0.382,0.698,0.7,0.3,Semiannual Monetary Policy Report to the Congress,0.158,0.3,0.7,Hold,0.775,0.049,1,We believe that our policy rate is likely at its peak for this tightening cycle.,0.4,"Powell acknowledges progress in easing inflation and the balance of risks improving, but remains cautious about adjusting the policy rate until more confidence is gained about inflation sustainably moving toward the 2 percent target. This suggests a neutral stance with a high likelihood to maintain rates.","Testimony by Mr Jerome H Powell, Chair of the Board of Governors of the Federal Reserve System, before the Committee on Financial Services, US House of Representatives, Washington DC, 6 March 2024.",Fed,https://www.bis.org/review/r240306e.htm,#440154FF,2024-03-06
2023-12-01,Jerome H Powell,0.675,0.58,0.77,0.75,0.5,Opening remarks - fireside chat at Spelman College,0.095,0.5,0.75,Hold,0.66,0.057,1,"The FOMC is strongly committed to bringing inflation down to 2 percent over time, and to keeping policy restrictive until we are confident that inflation is on a path to that objective.",0.5,"Powell emphasizes the Federal Reserve's commitment to maintaining restrictive policy to achieve the 2 percent inflation target. While acknowledging progress, he does not rule out further tightening and states commitment to careful meeting-by-meeting assessment, which suggests a somewhat hawkish stance.","Opening remarks by Mr Jerome H Powell, Chair of the Board of Governors of the Federal Reserve System, at a fireside chat at Spelman College, Atlanta, Georgia, 1 December 2023.",Fed,https://www.bis.org/review/r231204v.htm,#440154FF,2023-12-01
2023-11-09,Jerome H Powell,0.74,0.623,0.857,1,0.6,"Opening remarks - ""Monetary Policy in a Global Economy""",0.117,0.6,1,Hold,0.636,0.063,0.7,"If it becomes appropriate to tighten policy further, we will not hesitate to do so.",1,"Powell emphasizes that the path to bringing inflation down to the 2% target remains long and that further tightening could be warranted. However, he also notes the importance of being careful not to overtighten and mentions meeting-by-meeting decisions, suggesting a cautious approach that indicates holding rates is more likely at the next meeting.","Opening remarks by Mr Jerome H Powell, Chair of the Board of Governors of the Federal Reserve System, at ""Monetary Policy Challenges in a Global Economy"", a policy panel at the 24th Jacques Polak Annual Research Conference, hosted by the International Monetary Fund, Washington DC, 9 November 2023.",Fed,https://www.bis.org/review/r231115d.htm,#440154FF,2023-11-09
2023-10-19,Jerome H Powell,0.66,0.576,0.744,0.7,0.5,Opening remarks - Economic Club of New York luncheon,0.084,0.5,0.7,Hold,0.67,0.086,1,"Additional evidence of persistently above-trend growth, or that tightness in the labor market is no longer easing, could put further progress on inflation at risk and could warrant further tightening of monetary policy.",0.5,"The speech indicates that while inflation is trending downwards, it remains above target, and the Federal Reserve is committed to maintaining a restrictive policy. Powell acknowledges that further policy firming could be warranted if economic conditions require it, indicating a somewhat hawkish stance. However, there is an emphasis on proceeding carefully due to uncertainties, suggesting they are not in a rush to raise rates again immediately.","Opening remarks by Mr Jerome H Powell, Chair of the Board of Governors of the Federal Reserve System, at the Economic Club of New York Luncheon, New York City, 19 October 2023.",Fed,https://www.bis.org/review/r231020c.htm,#440154FF,2023-10-19
2023-08-25,Jerome H Powell,0.76,0.672,0.848,1,0.7,Inflation - progress and the path ahead,0.088,0.7,1,Hold,0.622,0.044,0.9,"We are prepared to raise rates further if appropriate, and intend to hold policy at a restrictive level until we are confident that inflation is moving sustainably down toward our objective.",1,"While Jerome Powell acknowledges progress made in reducing inflation, the emphasis on preparedness to raise rates further if necessary and maintaining a restrictive policy is indicative of a somewhat hawkish stance. However, the focus is also on proceeding carefully, suggesting a likely decision to hold rates at the next meeting.","Speech by Mr Jerome H Powell, Chair of the Board of Governors of the Federal Reserve System, at ""Structural Shifts in the Global Economy"", an economic policy symposium sponsored by the Federal Reserve Bank of Kansas City, Jackson Hole, Wyoming, 25 August 2023.",Fed,http://www.bis.org/review/r230830a.htm,#440154FF,2023-08-25
2023-06-29,Jerome H Powell,0.73,0.663,0.797,0.9,0.7,Financial stability and economic developments,0.067,0.7,0.9,Raise,0.767,0.025,0.9,A strong majority of Committee participants expect that it will be appropriate to raise interest rates two or more times by the end of the year.,0.4,"Despite noting some economic challenges, Powell emphasizes the intention to raise interest rates further due to persistent inflation above the target, indicating a somewhat hawkish stance. This suggests a likelihood of voting to raise rates in the next meeting.","Speech by Mr Jerome H Powell, Chair of the Board of Governors of the Federal Reserve System, at the Bank of Spain Fourth Conference on Financial Stability, Madrid, Spain, 29 June 2023.",Fed,http://www.bis.org/review/r230703e.htm,#440154FF,2023-06-29
2023-06-21,Jerome H Powell,0.71,0.689,0.731,0.75,0.7,Semiannual Monetary Policy Report to the Congress,0.021,0.7,0.75,Raise,0.75,0.065,0.8,Nearly all FOMC participants expect that it will be appropriate to raise interest rates somewhat further by the end of the year.,0.6,"While the Fed paused rate hikes to assess impacts, Powell signals a likelihood of future rate increases due to ongoing high inflation and strong labor market conditions. This indicates a somewhat hawkish stance with an inclination to raise rates.","Testimony by Mr Jerome H Powell, Chair of the Board of Governors of the Federal Reserve System, before the Committee on Financial Services, US House of Representatives, Washington DC, 21 June 2023.",Fed,http://www.bis.org/review/r230622b.htm,#440154FF,2023-06-21
2023-03-07,Jerome H Powell,0.96,0.908,1,1,0.9,Semiannual Monetary Policy Report to the Congress,0.052,0.9,1,Raise,0.89,0.039,1,"If the totality of the data were to indicate that faster tightening is warranted, we would be prepared to increase the pace of rate hikes.",0.6,"The speech emphasizes the need for ongoing interest rate increases, higher ultimate levels of rates than previously anticipated, and readiness to increase the pace of rate hikes if data suggests it's necessary, indicating a strong commitment to combating inflation.","Testimony by Mr Jerome H Powell, Chair of the Board of Governors of the Federal Reserve System, before the Committee on Banking, Housing, and Urban Affairs, US Senate, Washington DC, 7 March 2023.",Fed,http://www.bis.org/review/r230308j.htm,#440154FF,2023-03-07
