date,time,event,geo
2025-01-10,10:00 (EST),"University of Michigan, Survey of Consumers (January Prelim) (<a href='https://data.sca.isr.umich.edu/' target='_top'>link</a>)",Fed
2025-01-24,10:00 (EST),"University of Michigan, Survey of Consumers (January Final) (<a href='https://data.sca.isr.umich.edu/' target='_top'>link</a>)",Fed
2025-02-07,10:00 (EST),"University of Michigan, Survey of Consumers (February Prelim) (<a href='https://data.sca.isr.umich.edu/' target='_top'>link</a>)",Fed
2025-02-21,10:00 (EST),"University of Michigan, Survey of Consumers (February Final) (<a href='https://data.sca.isr.umich.edu/' target='_top'>link</a>)",Fed
2025-03-14,10:00 (EST),"University of Michigan, Survey of Consumers (March Prelim) (<a href='https://data.sca.isr.umich.edu/' target='_top'>link</a>)",Fed
2025-03-28,10:00 (EST),"University of Michigan, Survey of Consumers (March Final) (<a href='https://data.sca.isr.umich.edu/' target='_top'>link</a>)",Fed
2025-04-11,10:00 (EST),"University of Michigan, Survey of Consumers (April Prelim) (<a href='https://data.sca.isr.umich.edu/' target='_top'>link</a>)",Fed
2025-04-25,10:00 (EST),"University of Michigan, Survey of Consumers (April Final) (<a href='https://data.sca.isr.umich.edu/' target='_top'>link</a>)",Fed
2025-05-16,10:00 (EST),"University of Michigan, Survey of Consumers (May Prelim) (<a href='https://data.sca.isr.umich.edu/' target='_top'>link</a>)",Fed
2025-05-30,10:00 (EST),"University of Michigan, Survey of Consumers (May Final) (<a href='https://data.sca.isr.umich.edu/' target='_top'>link</a>)",Fed
2025-06-13,10:00 (EST),"University of Michigan, Survey of Consumers (June Prelim) (<a href='https://data.sca.isr.umich.edu/' target='_top'>link</a>)",Fed
2025-06-27,10:00 (EST),"University of Michigan, Survey of Consumers (June Final) (<a href='https://data.sca.isr.umich.edu/' target='_top'>link</a>)",Fed
2025-07-18,10:00 (EST),"University of Michigan, Survey of Consumers (July Prelim) (<a href='https://data.sca.isr.umich.edu/' target='_top'>link</a>)",Fed
2025-08-01,10:00 (EST),"University of Michigan, Survey of Consumers (July Final) (<a href='https://data.sca.isr.umich.edu/' target='_top'>link</a>)",Fed
2025-08-15,10:00 (EST),"University of Michigan, Survey of Consumers (August Prelim) (<a href='https://data.sca.isr.umich.edu/' target='_top'>link</a>)",Fed
2025-08-29,10:00 (EST),"University of Michigan, Survey of Consumers (August Final) (<a href='https://data.sca.isr.umich.edu/' target='_top'>link</a>)",Fed
2025-09-12,10:00 (EST),"University of Michigan, Survey of Consumers (September Prelim) (<a href='https://data.sca.isr.umich.edu/' target='_top'>link</a>)",Fed
2025-09-26,10:00 (EST),"University of Michigan, Survey of Consumers (September Final) (<a href='https://data.sca.isr.umich.edu/' target='_top'>link</a>)",Fed
2025-10-10,10:00 (EST),"University of Michigan, Survey of Consumers (October Prelim) (<a href='https://data.sca.isr.umich.edu/' target='_top'>link</a>)",Fed
2025-10-24,10:00 (EST),"University of Michigan, Survey of Consumers (October Final) (<a href='https://data.sca.isr.umich.edu/' target='_top'>link</a>)",Fed
2025-11-07,10:00 (EST),"University of Michigan, Survey of Consumers (November Prelim) (<a href='https://data.sca.isr.umich.edu/' target='_top'>link</a>)",Fed
2025-11-21,10:00 (EST),"University of Michigan, Survey of Consumers (November Final) (<a href='https://data.sca.isr.umich.edu/' target='_top'>link</a>)",Fed
2025-12-05,10:00 (EST),"University of Michigan, Survey of Consumers (December Prelim) (<a href='https://data.sca.isr.umich.edu/' target='_top'>link</a>)",Fed
2025-12-19,10:00 (EST),"University of Michigan, Survey of Consumers (December Final) (<a href='https://data.sca.isr.umich.edu/' target='_top'>link</a>)",Fed
